AHL_GP,AHL_total_TOI,AHL_goals,primary_assists,secondary_assists,ev_goals,ev_primary_assists,ev_secondary_assists,AHL_shots,ev_shots,passes,ev_passes,ze_controlled_entry,ze_uncontrolled_entry,ze_controlled_exit,ze_uncontrolled_exit,penalties_taken,penalties_drawn,team_ev_shots_for,team_ev_shots_against,GP,G,A,P,PlusMinus,PIM,PointPerGame,PPG,PPP,SHG,SHP,GWG,OTG,S,ShootingPercentage,NHL_TOIPerGame_sec,ShiftsPerGame,FaceoffWinPercentage
2,1258,0,0,0,0,0,0,2,2,21,19,2,4,3,5,4,2,13,16,41,1,5,6,-9,8,0.15,0,0,0,0,0,0,42,2.4,790,18.8,43
2,1258,0,0,0,0,0,0,2,2,21,19,2,4,3,5,4,2,13,16,25,0,1,1,-4,4,0.04,0,0,0,0,0,0,12,0,700,18.3,46.3
2,1258,0,0,0,0,0,0,2,2,21,19,2,4,3,5,4,2,13,16,71,7,22,29,10,14,0.41,0,0,2,6,0,0,104,6.7,952,23.8,52.1
2,1258,0,0,0,0,0,0,2,2,21,19,2,4,3,5,4,2,13,16,7,0,0,0,-2,0,0,0,0,0,0,0,0,5,0,802,20.3,47.4
2,1258,0,0,0,0,0,0,2,2,21,19,2,4,3,5,4,2,13,16,67,7,9,16,5,12,0.24,0,0,1,1,0,0,100,7,944,21.8,55.8
2,1258,0,0,0,0,0,0,2,2,21,19,2,4,3,5,4,2,13,16,14,0,3,3,-1,4,0.21,0,0,0,2,0,0,10,0,676,18,63.3
2,1258,0,0,0,0,0,0,2,2,21,19,2,4,3,5,4,2,13,16,63,5,9,14,-4,16,0.22,0,0,1,1,2,0,69,7.2,807,18.3,56.1
2,1258,0,0,0,0,0,0,2,2,21,19,2,4,3,5,4,2,13,16,6,1,1,2,2,0,0.33,0,0,1,2,0,0,11,9.1,661,16.7,67.9
2,1258,0,0,0,0,0,0,2,2,21,19,2,4,3,5,4,2,13,16,36,4,6,10,4,12,0.28,0,0,0,0,0,0,40,10,617,14.3,61
2,1258,0,0,0,0,0,0,2,2,21,19,2,4,3,5,4,2,13,16,9,0,0,0,-1,6,0,0,0,0,0,0,0,13,0,774,22.1,68.8
2,1258,0,0,0,0,0,0,2,2,21,19,2,4,3,5,4,2,13,16,60,3,6,9,-5,16,0.15,0,0,1,1,1,0,77,3.9,782,19.4,58
2,1258,0,0,0,0,0,0,2,2,21,19,2,4,3,5,4,2,13,16,16,0,2,2,-2,6,0.13,0,0,0,0,0,0,17,0,1069,25.8,59.3
2,1258,0,0,0,0,0,0,2,2,21,19,2,4,3,5,4,2,13,16,75,8,15,23,9,10,0.31,0,0,1,3,2,0,114,7,955,21.5,56.8
2,1258,0,0,0,0,0,0,2,2,21,19,2,4,3,5,4,2,13,16,48,4,10,14,0,8,0.29,0,2,0,1,0,0,59,6.8,900,21.9,57.3
2,1258,0,0,0,0,0,0,2,2,21,19,2,4,3,5,4,2,13,16,74,8,13,21,-15,20,0.28,1,4,1,2,1,0,80,10,885,24.5,56.5
2,1258,0,0,0,0,0,0,2,2,21,19,2,4,3,5,4,2,13,16,68,6,7,13,-5,17,0.19,1,1,1,2,1,0,65,9.2,799,22.4,55.9
2,1258,0,0,0,0,0,0,2,2,21,19,2,4,3,5,4,2,13,16,65,2,2,4,-7,10,0.06,0,0,1,1,0,0,53,3.8,732,18.8,57.9
2,1258,0,0,0,0,0,0,2,2,21,19,2,4,3,5,4,2,13,16,13,1,0,1,-5,2,0.08,0,0,0,0,0,0,8,12.5,490,14.2,55.8
2,1258,0,0,0,0,0,0,2,2,21,19,2,4,3,5,4,2,13,16,13,1,0,1,-5,2,0.08,0,0,0,0,0,0,8,12.5,490,14.2,55.8
28,30919,14,7,8,0,2,4,81,70,423,298,57,70,58,40,4,10,371,373,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,434,9.6,50
28,30919,14,7,8,0,2,4,81,70,423,298,57,70,58,40,4,10,371,373,7,0,0,0,-1,2,0,0,0,0,0,0,0,4,0,456,13.4,0
28,30919,14,7,8,0,2,4,81,70,423,298,57,70,58,40,4,10,371,373,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,724,18,0
28,30919,14,7,8,0,2,4,81,70,423,298,57,70,58,40,4,10,371,373,25,3,2,5,-2,6,0.2,1,1,0,0,0,0,37,8.1,791,20.1,42.3
28,30919,14,7,8,0,2,4,81,70,423,298,57,70,58,40,4,10,371,373,2,0,1,1,1,4,0.5,0,0,0,1,0,0,0,0,953,20.5,66.7
28,30919,14,7,8,0,2,4,81,70,423,298,57,70,58,40,4,10,371,373,2,0,0,0,-1,2,0,0,0,0,0,0,0,3,0,671,15.5,58.8
28,30919,14,7,8,0,2,4,81,70,423,298,57,70,58,40,4,10,371,373,2,0,0,0,-1,2,0,0,0,0,0,0,0,3,0,671,15.5,58.8
32,28320,3,3,4,0,1,4,62,46,345,232,42,44,43,24,13,8,251,297,9,0,2,2,1,0,0.22,0,0,0,0,0,0,6,0,602,15,12.5
32,28320,3,3,4,0,1,4,62,46,345,232,42,44,43,24,13,8,251,297,13,1,1,2,-7,16,0.15,0,0,0,0,0,0,10,10,527,13.7,47.8
