#,PLAYER,TEAM,GP,G,A,TP,PPG,PIM,Plus/Minus
34,Jake Virtanen(RW),Calgary Hitmen,50,21,31,52,1.04,82,15
35,Ryan Pilon(D),Brandon Wheat Kings,68,11,41,52,0.76,40,36
36,Noah Juulsen(D),Everett Silvertips,68,9,43,52,0.76,42,22
37,Giorgio Estephan(C),Lethbridge Hurricanes,64,23,28,51,0.8,18,-1
38,Jackson Houck(RW),Vancouver Giants,65,22,29,51,0.78,84,-9
39,Justin Kirkland(LW/RW),Kelowna Rockets,50,21,30,51,1.02,25,31
40,Richard Nejezchleb(LW/RW),totals,49,20,31,51,1.04,62,-25
,,Brandon Wheat Kings,2,1,1,2,1,0,2
,,Tri-City Americans,47,19,30,49,1.04,62,-27
41,Reid Duke(C/RW),totals,53,20,31,51,0.96,66,19
,,Lethbridge Hurricanes,1,0,0,0,0,0,-3
,,Brandon Wheat Kings,52,20,31,51,0.98,66,22
42,Radel Fazleyev(C/W),Calgary Hitmen,71,18,33,51,0.72,36,23
43,Dysin Mayo(D),Edmonton Oil Kings,72,14,37,51,0.71,75,14
44,Conner Bleackley(C),Red Deer Rebels,51,27,22,49,0.96,49,13
45,Brad Morrison(C),Prince George Cougars,67,23,26,49,0.73,30,-3
46,Shea Theodore(D),Seattle Thunderbirds,43,13,35,48,1.12,16,17
47,John Quenneville(C/LW),Brandon Wheat Kings,57,17,30,47,0.82,63,12
48,Brett Howden(C/LW),Moose Jaw Warriors,68,22,24,46,0.68,24,-31
49,Rinat Valiyev(D),Kootenay Ice,52,9,37,46,0.88,53,22
50,Tyrell Goulbourne(LW/C),Kelowna Rockets,62,22,23,45,0.73,76,20
51,Tyler Benson(LW),Vancouver Giants,62,14,31,45,0.73,55,-1
52,Tyler Lewington(D),Medicine Hat Tigers,69,9,36,45,0.65,113,25
53,Eric Roy(D),Brandon Wheat Kings,66,5,40,45,0.68,55,31
54,Jesse Gabrielle(LW),totals,66,23,21,44,0.67,112,2
,,Brandon Wheat Kings,33,13,12,25,0.76,69,10
,,Regina Pats,33,10,9,19,0.58,43,-8
55,Dominic Turgeon(C),Portland Winterhawks,67,18,25,43,0.64,36,14
56,Pavel Karnaukhov(LW/C),Calgary Hitmen,69,20,22,42,0.61,51,-4
57,Zach Pochiro(LW/C),Prince George Cougars,41,19,23,42,1.02,69,0
58,Deven Sideroff(RW),Kamloops Blazers,64,17,25,42,0.66,25,18
59,Brett Lernout(D),Swift Current Broncos,72,14,28,42,0.58,68,-12
60,Parker Wotherspoon(D),Tri-City Americans,72,9,33,42,0.58,93,-13
61,Colby Williams(D),Regina Pats,64,11,30,41,0.64,95,45
62,Brandon Baddock(LW),Edmonton Oil Kings,71,19,21,40,0.56,136,-11
63,Matthew Bradley(C),Medicine Hat Tigers,71,17,23,40,0.56,24,-2
64,Maxime Lajoie(D),Swift Current Broncos,72,7,33,40,0.56,22,-10
65,Austin Wagner(LW/C),Regina Pats,61,20,19,39,0.64,53,13
66,Adam Musil(C),Red Deer Rebels,66,15,24,39,0.59,71,-7
67,Keegan Iverson(RW/C),Portland Winterhawks,68,15,24,39,0.57,91,3
68,Kyle Burroughs(D),totals,66,7,32,39,0.59,85,35
,,Regina Pats,36,5,17,22,0.61,47,31
,,Medicine Hat Tigers,30,2,15,17,0.57,38,4
69,Jake Bean(D),Calgary Hitmen,51,5,34,39,0.76,2,20
70,Keegan Kolesar(RW),Seattle Thunderbirds,64,19,19,38,0.59,85,-7
71,Josh Morrissey(D),totals,47,13,25,38,0.81,62,1
,,Prince Albert Raiders,27,7,14,21,0.78,28,-9
,,Kelowna Rockets,20,6,11,17,0.85,34,10
72,Ethan Bear(D),Seattle Thunderbirds,69,13,25,38,0.55,23,1
73,Mason Geertsen(D),Vancouver Giants,69,13,25,38,0.55,107,3
74,Brycen Martin(D),totals,69,7,31,38,0.55,41,-13
,,Swift Current Broncos,39,2,14,16,0.41,22,1
,,Saskatoon Blades,30,5,17,22,0.73,19,-14
75,Tommy Vannelli(D),Medicine Hat Tigers,44,12,23,35,0.8,52,19
76,Alex Schoenborn(RW),Portland Winterhawks,49,15,18,33,0.67,66,-11
77,Brendan Guhle(D),Prince Albert Raiders,72,5,27,32,0.44,36,-6
78,Matteo Gennaro(C/LW),Prince Albert Raiders,72,16,15,31,0.43,44,-9
79,Ben Thomas(D),Calgary Hitmen,60,7,24,31,0.52,28,14
80,Ben Betker(D),Everett Silvertips,64,6,25,31,0.48,63,19
81,Edgars Kulda(LW),Edmonton Oil Kings,47,13,17,30,0.64,35,-8
82,Haydn Fleury(D),Red Deer Rebels,63,6,22,28,0.44,63,4
83,Dillon Dubé(C/LW),Kelowna Rockets,45,17,10,27,0.6,12,17
84,Marc McNulty(D),totals,60,8,19,27,0.45,117,2
,,Prince George Cougars,30,5,10,15,0.5,64,4
,,Kamloops Blazers,30,3,9,12,0.4,53,-2
85,Jordy Stallard(C),Calgary Hitmen,58,6,20,26,0.45,12,9
86,Sam Ruopp(D),Prince George Cougars,64,3,23,26,0.41,140,3
87,Brandon Carlo(D),Tri-City Americans,63,4,21,25,0.4,90,-15
88,Andrew Nielsen(D),Lethbridge Hurricanes,59,7,17,24,0.41,101,-9
89,Tate Olson(D),Prince George Cougars,68,5,19,24,0.35,69,-13
90,Carsen Twarynski(LW/D),Calgary Hitmen,58,6,16,22,0.38,22,5
91,Blake Heinrich(D),Portland Winterhawks,62,5,17,22,0.35,53,32
92,Keegan Kanzig(D),totals,70,3,19,22,0.31,166,38
,,Victoria Royals,21,0,6,6,0.29,51,5
,,Calgary Hitmen,49,3,13,16,0.33,115,33
93,Chaz Reddekopp(D),Victoria Royals,72,5,16,21,0.29,53,12
94,Ryan Rehill(D),Kamloops Blazers,68,7,13,20,0.29,128,-6
95,David Quenneville(D),Medicine Hat Tigers,66,6,14,20,0.3,47,2
96,Anton Cederholm(D),Portland Winterhawks,68,9,10,19,0.28,84,15
97,Nelson Nogier(D),totals,70,3,16,19,0.27,84,-28
,,Saskatoon Blades,32,1,7,8,0.25,42,-27
,,Red Deer Rebels,38,2,9,11,0.29,42,-1
98,Sergei Zborovsky(D),Regina Pats,71,3,16,19,0.27,70,15
99,Connor Hobbs(D),totals,45,2,16,18,0.4,36,6
,,Medicine Hat Tigers,12,1,1,2,0.17,15,1
,,Regina Pats,33,1,15,16,0.48,21,5
100,Tanner Kaspick(C/LW),Brandon Wheat Kings,53,1,17,18,0.34,15,6
101,Jakob Stukel(LW),Vancouver Giants,49,5,11,16,0.33,10,-6
102,Dillon Heatherington(D),Swift Current Broncos,48,1,14,15,0.31,48,-16
103,Aaron Irving(D),Edmonton Oil Kings,65,6,7,13,0.2,58,-8
104,Kale Clague(D),Brandon Wheat Kings,20,4,9,13,0.65,6,-1
105,Beck Malenstyn(C),Calgary Hitmen,51,8,4,12,0.24,25,1
106,Mackenze Stewart(D/LW),Prince Albert Raiders,66,5,6,11,0.17,114,-7
107,Devante Stephens(D),Kelowna Rockets,64,4,7,11,0.17,33,17
108,Vladimir Bobylyov(W/C),Vancouver Giants,52,3,6,9,0.17,39,-2
109,Hudson Elynuik(C/LW),Spokane Chiefs,27,2,6,8,0.3,16,-4
110,Josh Mahura(D),Red Deer Rebels,51,2,6,8,0.16,20,-10
111,Lucas Johansen(D),Kelowna Rockets,65,1,7,8,0.12,16,20
112,Noah Gregor(C),Moose Jaw Warriors,10,2,4,6,0.6,0,4
113,Tanner Faith(D),Kootenay Ice,19,1,5,6,0.32,29,-4
114,Josh Anderson(D),Prince George Cougars,42,2,2,4,0.1,52,-9
115,Matthew Phillips(C/LW),Victoria Royals,2,1,2,3,1.5,0,0
116,Ty Ronning(RW),Vancouver Giants,24,1,1,2,0.08,8,-20
117,Mitch Wheaton(D),Kelowna Rockets,4,0,1,1,0.25,6,1
118,Braydyn Chizen(D),Kelowna Rockets,2,0,0,0,0,0,0
