#,PLAYER,TEAM,GP,G,A,TP,PPG,PIM,Plus/Minus
66,Radel Fazleyev(C/W),Calgary Hitmen,38,5,20,25,0.66,12,1
67,Giorgio Estephan(C),Lethbridge Hurricanes,64,12,12,24,0.38,18,-25
68,Lukas Sutter(C),Red Deer Rebels,45,10,13,23,0.51,76,-6
69,Mason Geertsen(D),Vancouver Giants,66,4,19,23,0.35,126,-5
70,Glenn Gawdin(C/RW),Swift Current Broncos,66,10,12,22,0.33,34,-11
71,Brett Lernout(D),Swift Current Broncos,72,8,14,22,0.31,103,7
72,Brad Morrison(C),Prince George Cougars,55,12,9,21,0.38,12,-4
73,Ben Betker(D),Everett Silvertips,68,7,14,21,0.31,102,-3
74,Ty Ronning(RW),Vancouver Giants,56,9,11,20,0.36,4,-8
75,Ryan Rehill(D),Kamloops Blazers,72,4,16,20,0.28,182,-4
76,Ethan Bear(D),Seattle Thunderbirds,58,6,13,19,0.33,18,1
77,Parker Wotherspoon(D),Tri-City Americans,62,2,16,18,0.29,74,0
78,Brandon Baddock(LW),Edmonton Oil Kings,56,6,11,17,0.3,128,5
79,Hunter Shinkaruk(C/W),Medicine Hat Tigers,18,5,11,16,0.89,29,-2
80,Sam Ruopp(D),Prince George Cougars,64,5,11,16,0.25,55,-15
81,Anton Cederholm(D),Portland Winterhawks,71,4,12,16,0.23,95,42
82,Jack Walker(LW),Victoria Royals,48,7,8,15,0.31,23,2
83,Matteo Gennaro(C/LW),Prince Albert Raiders,60,5,10,15,0.25,14,-8
84,Brandon Carlo(D),Tri-City Americans,71,3,10,13,0.18,66,-13
85,Adam Brooks(C),Regina Pats,60,4,7,11,0.18,24,-9
86,Hudson Elynuik(C/LW),totals,58,3,8,11,0.19,55,-11
,,Kootenay Ice,31,1,1,2,0.06,16,-12
,,Spokane Chiefs,27,2,7,9,0.33,39,1
87,Tate Olson(D),Prince George Cougars,52,2,8,10,0.19,17,0
88,Noah Juulsen(D),Everett Silvertips,59,2,8,10,0.17,32,12
89,Brendan Guhle(D),Prince Albert Raiders,51,0,10,10,0.2,29,-5
90,Mackenze Stewart(D/LW),Prince Albert Raiders,55,5,4,9,0.16,69,-7
91,Chaz Reddekopp(D),Victoria Royals,40,1,8,9,0.23,33,10
92,Keegan Kanzig(D),Victoria Royals,63,3,5,8,0.13,99,18
93,Keegan Kolesar(RW),Seattle Thunderbirds,60,2,6,8,0.13,45,-7
94,Deven Sideroff(RW),Kamloops Blazers,12,2,4,6,0.5,6,-3
95,Nelson Nogier(D),Saskatoon Blades,37,1,5,6,0.16,25,-2
96,Connor Hobbs(D),Medicine Hat Tigers,10,1,2,3,0.3,4,1
97,Beck Malenstyn(C),Calgary Hitmen,5,0,3,3,0.6,4,4
98,Austin Wagner(LW/C),Regina Pats,42,1,1,2,0.05,18,1
99,Tanner Kaspick(C/LW),Brandon Wheat Kings,1,1,0,1,1,0,0
100,Brett Howden(C/LW),Moose Jaw Warriors,5,1,0,1,0.2,2,0
101,Tanner Faith(D),Kootenay Ice,10,0,1,1,0.1,9,-1
102,Maxime Lajoie(D),Swift Current Broncos,1,0,0,0,0,0,0
103,Andrew Nielsen(D),Lethbridge Hurricanes,1,0,0,0,0,0,0
104,David Quenneville(D),Medicine Hat Tigers,1,0,0,0,0,0,0
105,Josh Anderson(D),Prince George Cougars,2,0,0,0,0,2,0
106,Kale Clague(D),Brandon Wheat Kings,2,0,0,0,0,0,0
107,Sam Steel(C),Regina Pats,5,0,0,0,0,0,0
108,Tyler Benson(LW),Vancouver Giants,7,0,0,0,0,0,-1
