#,PLAYER,TEAM,GP,G,A,TP,PPG,PIM,Plus/Minus,contract
37,Jansen Harkins(C),Prince George Cougars,69,24,33,57,0.83,51,-11,1
38,Parker Wotherspoon(D),Tri-City Americans,71,11,45,56,0.79,78,-16,1
39,David Quenneville(D),Medicine Hat Tigers,64,14,41,55,0.86,30,-21,1
40,Caleb Jones(D),Portland Winterhawks,72,10,45,55,0.76,64,4,1
41,Michael Spacek(C/RW),Red Deer Rebels,61,18,36,54,0.89,18,5,1
42,Jackson Houck(RW),totals,56,20,33,53,0.95,49,-15,1
,,Vancouver Giants,12,4,5,9,0.75,8,-10,1
,,Calgary Hitmen,44,16,28,44,1,41,-5,1
43,Glenn Gawdin(C/RW),Swift Current Broncos,53,19,34,53,1,63,7,1
44,Jack Dougherty(D),Portland Winterhawks,68,11,41,52,0.76,71,1,1
45,Marc McNulty(D),totals,64,10,42,52,0.81,80,2,1
,,Kamloops Blazers,4,1,0,1,0.25,6,0,1
,,Moose Jaw Warriors,60,9,42,51,0.85,74,2,1
46,Matthew Bradley(C),Medicine Hat Tigers,68,23,28,51,0.75,35,-16,1
47,Jordy Stallard(C),Calgary Hitmen,68,21,28,49,0.72,20,0,1
48,Rodrigo Abols(C),Portland Winterhawks,62,20,29,49,0.79,42,9,1
49,Lucas Johansen(D),Kelowna Rockets,69,10,39,49,0.71,20,11,1
50,Nicholas Merkley(RW/C),Kelowna Rockets,43,17,31,48,1.12,44,9,1
51,Garrett Pilon(C),Kamloops Blazers,71,15,32,47,0.66,24,1,1
52,Brandon Hagel(LW),Red Deer Rebels,72,13,34,47,0.65,46,22,1
53,Tate Olson(D),Prince George Cougars,65,9,38,47,0.72,90,16,1
54,Rourke Chartier(C),Kelowna Rockets,42,25,21,46,1.1,16,10,1
55,Conner Bleackley(C),Red Deer Rebels,55,13,33,46,0.84,49,13,1
56,Carsen Twarynski(LW/D),Calgary Hitmen,67,20,25,45,0.67,42,21,1
57,Calvin Thürkauf(C/LW),Kelowna Rockets,61,18,27,45,0.74,54,19,1
58,Hudson Elynuik(C/LW),Spokane Chiefs,56,19,25,44,0.79,46,9,1
59,Adam Musil(C),Red Deer Rebels,66,19,24,43,0.65,46,7,1
60,Matteo Gennaro(C/LW),totals,70,18,25,43,0.61,36,-11,1
,,Prince Albert Raiders,42,12,12,24,0.57,28,-14,1
,,Calgary Hitmen,28,6,13,19,0.68,8,3,1
61,Dysin Mayo(D),Edmonton Oil Kings,71,6,37,43,0.61,86,0,1
62,Kale Clague(D),Brandon Wheat Kings,71,6,37,43,0.61,54,25,1
63,Connor Hobbs(D),Regina Pats,58,19,22,41,0.71,106,-1,1
64,Haydn Fleury(D),Red Deer Rebels,56,12,29,41,0.73,50,18,1
65,Aaron Irving(D),Edmonton Oil Kings,72,9,31,40,0.56,88,-3,1
66,Ryan Rehill(D),Kamloops Blazers,63,10,29,39,0.62,94,2,1
67,Maxime Lajoie(D),Swift Current Broncos,62,8,29,37,0.6,28,-21,1
68,Brycen Martin(D),totals,66,6,31,37,0.56,39,8,1
,,Saskatoon Blades,25,3,21,24,0.96,18,5,1
,,Everett Silvertips,41,3,10,13,0.32,21,3,1
69,Brandon Baddock(LW),Edmonton Oil Kings,68,22,13,35,0.51,143,-11,1
70,Tanner Kaspick(C/LW),Brandon Wheat Kings,53,13,18,31,0.58,37,15,1
71,Pavel Karnaukhov(LW/C),Calgary Hitmen,49,12,19,31,0.63,52,-8,1
72,Blake Heinrich(D),Portland Winterhawks,70,10,21,31,0.44,118,17,1
73,Radovan Bondra(RW/LW),Vancouver Giants,58,15,15,30,0.52,28,-32,1
74,Chaz Reddekopp(D),Victoria Royals,70,4,26,30,0.43,102,19,1
75,Keegan Iverson(RW/C),Portland Winterhawks,55,11,18,29,0.53,58,-3,1
76,Brendan Guhle(D),Prince Albert Raiders,63,10,18,28,0.44,53,-5,1
77,Tyler Benson(LW),Vancouver Giants,30,9,19,28,0.93,46,0,1
78,Ben Thomas(D),totals,74,8,20,28,0.38,50,-35,1
,,Calgary Hitmen,14,0,3,3,0.21,10,-10,1
,,Vancouver Giants,60,8,17,25,0.42,40,-25,1
79,Noah Juulsen(D),Everett Silvertips,63,7,21,28,0.44,37,0,1
80,Brandon Carlo(D),Tri-City Americans,52,5,22,27,0.52,94,8,1
81,Libor Hájek(D),Saskatoon Blades,69,3,23,26,0.38,76,-19,1
82,Sergei Zborovsky(D),Regina Pats,64,8,17,25,0.39,61,15,1
83,Beck Malenstyn(C),Calgary Hitmen,70,8,17,25,0.36,47,0,1
84,Sam Ruopp(D),Prince George Cougars,69,4,21,25,0.36,100,23,1
85,Tanner Faith(D),Moose Jaw Warriors,59,3,21,24,0.41,54,-9,1
86,Mitch Wheaton(D),totals,70,1,23,24,0.34,62,13,1
,,Saskatoon Blades,38,0,10,10,0.26,50,-10,1
,,Brandon Wheat Kings,32,1,13,14,0.44,12,23,1
87,Paul Bittner(LW),Portland Winterhawks,25,10,11,21,0.84,21,-4,1
88,Nelson Nogier(D),Red Deer Rebels,69,4,17,21,0.3,79,27,1
89,Keegan Kanzig(D),Calgary Hitmen,53,13,7,20,0.38,75,15,1
90,Vojtech Budik(D),Prince Albert Raiders,70,3,13,16,0.23,20,0,1
91,Colby Williams(D),Regina Pats,19,5,7,12,0.63,20,2,1
92,Mackenze Stewart(D/LW),Tri-City Americans,36,5,6,11,0.31,47,2,1
93,Devante Stephens(D),Kelowna Rockets,72,2,9,11,0.15,58,12,1
94,Gustav Olhaver(C/LW),totals,51,3,5,8,0.16,19,-14,1
,,Seattle Thunderbirds,31,2,3,5,0.16,17,-9,1
,,Swift Current Broncos,20,1,2,3,0.15,2,-5,1
95,Josh Anderson(D),Prince George Cougars,39,1,5,6,0.15,86,-4,1
96,Braydyn Chizen(D),Kelowna Rockets,45,1,1,2,0.04,40,-6,1
97,Josh Mahura(D),Red Deer Rebels,2,0,1,1,0.5,0,1,1
98,Jaedon Descheneau(RW/C),Kootenay Ice,2,0,1,1,0.5,5,-1,1
