rank,age,nationality,name,NHL/NextYear,NHL/Ever,pos,GP,G,A,P,PIM,plusMinus,PPG,SHG,GWG,GGP,AGP,PGP
1,20,US,Kevin Labanc,1,1,F,65,39,88,127,70,60,3,8,6,0.6,1.354,1.954
2,19,US,Christian Dvorak,1,1,F,59,52,69,121,27,56,22,3,11,0.881,1.169,2.051
3,18,CA,Mitchell Marner,1,1,F,57,39,77,116,68,45,13,5,5,0.684,1.351,2.035
4,18,CA,Dylan Strome,1,1,F,56,37,74,111,44,23,9,1,8,0.661,1.321,1.982
5,18,US,Matthew Tkachuk,1,1,F,57,30,77,107,80,45,9,1,5,0.526,1.351,1.877
6,19,CA,Andrew Mangiapane,0,0,F,59,51,55,106,50,40,10,8,6,0.864,0.932,1.797
7,18,US,Alex DeBrincat,0,0,F,60,51,50,101,28,18,13,2,10,0.85,0.833,1.683
8,18,CA,Travis Konecny,1,1,F,60,30,71,101,27,33,5,0,4,0.5,1.183,1.683
9,19,CA,Mike Amadio,0,0,F,68,50,48,98,40,30,9,8,8,0.735,0.706,1.441
10,18,US,Christian Fischer,0,0,F,66,40,50,90,34,35,10,0,6,0.606,0.758,1.364
11,19,CA,Spencer Watson,0,0,F,64,43,46,89,32,31,15,0,8,0.672,0.719,1.391
12,20,CA,Hunter Garlent,0,0,F,68,40,47,87,34,26,8,1,4,0.588,0.691,1.279
13,19,CA,Dante Salituro,0,0,F,65,38,45,83,55,5,13,1,5,0.585,0.692,1.277
14,19,CA,Eric Cornel,0,0,F,68,27,56,83,18,19,6,0,2,0.397,0.824,1.221
15,19,CA,Joshua Ho-Sang,0,0,F,66,19,63,82,44,28,2,0,0,0.288,0.955,1.242
16,19,US,Ryan MacInnis,0,0,F,59,38,43,81,49,15,16,0,9,0.644,0.729,1.373
17,17,CA,Adam Mascherin,0,0,F,65,35,46,81,16,19,9,0,5,0.538,0.708,1.246
18,19,CA,Michael Dal Colle,0,0,F,60,35,45,80,26,17,4,2,3,0.583,0.75,1.333
19,17,SE,Alexander Nylander,0,0,F,57,28,47,75,18,8,9,1,5,0.491,0.825,1.316
20,18,CA,Blake Speers,1,1,F,68,26,48,74,42,-5,5,0,6,0.382,0.706,1.088
21,17,US,Logan Brown,0,0,F,59,21,53,74,40,24,6,0,6,0.356,0.898,1.254
22,17,CA,Taylor Raddysh,0,0,F,67,24,49,73,18,19,11,0,5,0.358,0.731,1.09
23,20,CA,Aaron Berisha,0,0,F,66,45,27,72,35,40,16,1,8,0.682,0.409,1.091
24,17,CA,Kyle Maksimovich,0,0,F,68,27,44,71,22,25,7,0,6,0.397,0.647,1.044
25,20,CA,Stephen Harper,0,0,F,68,25,46,71,42,14,6,0,3,0.368,0.676,1.044
26,18,FI,Julius N?ttinen,0,0,F,52,22,49,71,18,32,9,1,1,0.423,0.942,1.365
27,19,CA,Dylan Sadowy,0,0,F,64,45,25,70,65,17,12,3,4,0.703,0.391,1.094
28,20,CA,Mathew Santos,0,0,F,64,29,40,69,72,29,6,7,1,0.453,0.625,1.078
29,20,US,Gabe Guertler,0,0,F,68,26,42,68,102,11,11,0,5,0.382,0.618,1
30,19,US,J.J. Piccinich,0,0,F,66,30,36,66,19,23,16,0,5,0.455,0.545,1
31,18,CA,Zach Senyshyn,0,0,F,66,45,20,65,20,5,11,1,3,0.682,0.303,0.985
32,20,US,Greg Betzold,0,0,F,65,43,22,65,49,-2,12,0,6,0.662,0.338,1
33,17,CA,William Bitten,0,0,F,67,30,35,65,32,-29,5,1,3,0.448,0.522,0.97
34,20,CA,Justin Scott,0,0,F,67,28,37,65,60,32,4,4,5,0.418,0.552,0.97
35,18,CZ,Pavel Zacha,1,1,F,51,28,36,64,97,17,10,2,4,0.549,0.706,1.255
36,18,US,Jeremy Bracco,0,0,F,49,21,43,64,19,15,2,0,3,0.429,0.878,1.306
37,19,CA,Brendan Lemieux,0,0,F,45,32,30,62,65,19,14,0,6,0.711,0.667,1.378
38,18,CA,Lawson Crouse,1,1,F,49,23,39,62,56,13,6,2,2,0.469,0.796,1.265
39,17,CA,Michael Mcleod,0,0,F,57,21,40,61,71,10,6,4,3,0.368,0.702,1.07
40,19,SE,Rasmus Andersson,0,0,D,64,9,51,60,60,34,5,0,2,0.141,0.797,0.938
41,20,CA,Jordan Maletta,0,0,F,68,34,25,59,55,10,9,2,7,0.5,0.368,0.868
42,18,CA,Anthony Cirelli,0,0,F,62,21,38,59,27,-15,10,1,2,0.339,0.613,0.952
43,18,CA,Nathan Bastian,0,0,F,64,19,40,59,50,-3,5,0,2,0.297,0.625,0.922
44,17,US,Cam Dineen,0,0,D,68,13,46,59,18,18,1,0,5,0.191,0.676,0.868
45,20,CA,Matt Mistele,0,0,F,61,33,25,58,45,-6,8,0,3,0.541,0.41,0.951
46,18,CA,Kenny Huether,0,0,F,64,26,32,58,13,-8,8,0,4,0.406,0.5,0.906
47,18,CA,Matt Luff,0,0,F,61,27,30,57,43,-6,3,1,4,0.443,0.492,0.934
48,17,RU,Mikhail Sergachyov,1,1,D,67,17,40,57,56,15,8,0,5,0.254,0.597,0.851
49,19,CA,Jeremiah Addison,0,0,F,66,27,29,56,74,-3,12,2,3,0.409,0.439,0.848
50,19,FI,Juho Lammikko,0,0,F,59,22,33,55,51,24,4,3,5,0.373,0.559,0.932
51,18,RU,Artem Artemov,0,0,F,67,19,36,55,55,-15,5,0,1,0.284,0.537,0.821
52,18,CA,Aaron Luchuk,0,0,F,68,27,26,53,19,9,2,1,2,0.397,0.382,0.779
53,18,CA,Brett McKenzie,0,0,F,66,26,27,53,43,1,2,5,2,0.394,0.409,0.803
54,20,DK,Mikkel Aagaard,0,0,F,64,24,29,53,60,-13,3,3,4,0.375,0.453,0.828
55,17,RU,Dmitri Sokolov,0,0,F,68,30,22,52,13,-40,10,0,0,0.441,0.324,0.765
56,17,US,Max Jones,0,0,F,63,28,24,52,106,30,4,3,5,0.444,0.381,0.825
57,18,CA,James McEwan,0,0,F,68,25,27,52,32,-21,3,4,3,0.368,0.397,0.765
58,18,RU,Artur Tyanulin,0,0,F,67,20,32,52,32,4,4,0,3,0.299,0.478,0.776
59,19,SE,Gustaf Franz¨Śn,0,0,F,66,17,35,52,22,11,5,0,4,0.258,0.53,0.788
60,17,CA,Boris Katchouk,0,0,F,63,24,27,51,61,7,6,1,6,0.381,0.429,0.81
61,20,CA,Mason Marchment,0,0,F,61,20,31,51,52,-13,8,0,4,0.328,0.508,0.836
62,17,CA,Jordan Kyrou,0,0,F,65,17,34,51,14,13,2,0,4,0.262,0.523,0.785
63,18,CA,Trent Fox,0,0,F,67,28,22,50,68,-20,5,2,4,0.418,0.328,0.746
