rank,age,nationality,name,pos,GP,G,A,P,PIM,plusMinus,PPG,SHG,GWG,GGP,AGP,PGP
429,16,CA,Jack Hanley,D,45,0,2,2,21,-14,0,0,0,0,0.044,0.044
430,16,CA,Tyler Nother,D,40,0,2,2,54,-8,0,0,0,0,0.05,0.05
431,17,CA,Jesse Hilton,F,36,0,2,2,10,-1,0,0,0,0,0.056,0.056
432,18,CA,Jonathon Masters,D,29,0,2,2,36,-11,0,0,0,0,0.069,0.069
433,18,CA,Dawson Carty,G,28,0,2,2,0,,0,0,0,0,0.071,0.071
434,17,CA,Jack Kilgour,F,26,0,2,2,6,-1,0,0,0,0,0.077,0.077
435,19,CA,Brody Milne,F,25,0,2,2,8,-21,0,0,0,0,0.08,0.08
436,18,CA,Kyle Locke,D,17,0,2,2,12,3,0,0,0,0,0.118,0.118
437,19,SK,Daniel Gibl,G,16,0,2,2,2,,0,0,0,0,0.125,0.125
438,16,CA,Boris Katchouk,F,12,0,2,2,17,0,0,0,0,0,0.167,0.167
439,17,CA,Brendan Trottier,F,10,0,2,2,0,-2,0,0,0,0,0.2,0.2
440,19,RU,Nikita Serebryakov,G,9,0,2,2,0,,0,0,0,0,0.222,0.222
441,18,CA,Brody Morris,D,9,0,2,2,13,4,0,0,0,0,0.222,0.222
442,17,CA,Mitchell Kreis,D,6,0,2,2,0,4,0,0,0,0,0.333,0.333
443,17,CA,Jack Webb,F,49,1,0,1,17,-11,0,0,0,0.02,0,0.02
444,17,US,Kevin Klima,F,16,1,0,1,8,-2,0,0,0,0.063,0,0.063
445,18,CA,Brook Hiddink,F,8,1,0,1,0,-8,0,0,0,0.125,0,0.125
446,16,CA,David Pearce,F,4,1,0,1,2,-1,0,0,0,0.25,0,0.25
447,19,CA,Scott Teskey,F,2,1,0,1,0,1,1,0,0,0.5,0,0.5
448,19,CA,Lucas Peressini,G,59,0,1,1,0,,0,0,0,0,0.017,0.017
449,18,US,Brandon Halverson,G,50,0,1,1,0,,0,0,0,0,0.02,0.02
450,19,CA,Ken Appleby,G,50,0,1,1,6,,0,0,0,0,0.02,0.02
451,19,CA,Jack Flinn,G,43,0,1,1,2,,0,0,0,0,0.023,0.023
452,18,CA,Jake Gilmour,F,43,0,1,1,6,-2,0,0,0,0,0.023,0.023
453,18,CA,Matthew Mancina,G,41,0,1,1,0,,0,0,0,0,0.024,0.024
454,16,CA,Trenton Bourque,D,34,0,1,1,10,-17,0,0,0,0,0.029,0.029
455,17,US,Tyler Parsons,G,33,0,1,1,0,,0,0,0,0,0.03,0.03
456,17,CA,Jacob Cascagnette,F,33,0,1,1,11,-1,0,0,0,0,0.03,0.03
457,17,CA,Evan Cormier,G,30,0,1,1,0,,0,0,0,0,0.033,0.033
458,18,CA,Justin Bean,D,30,0,1,1,8,-5,0,0,0,0,0.033,0.033
459,17,CA,Connor Hicks,G,28,0,1,1,0,,0,0,0,0,0.036,0.036
460,17,CA,Matt Mercer,D,23,0,1,1,7,0,0,0,0,0,0.043,0.043
461,17,CZ,David Ovsjannikov,G,22,0,1,1,0,,0,0,0,0,0.045,0.045
462,18,CA,Matt Watson,D,22,0,1,1,8,-5,0,0,0,0,0.045,0.045
463,18,US,Jeremy Brodeur,G,19,0,1,1,0,,0,0,0,0,0.053,0.053
464,17,CA,Bradley Van Schubert,G,16,0,1,1,4,,0,0,0,0,0.063,0.063
465,16,CA,Chase Campbell,F,14,0,1,1,4,-3,0,0,0,0,0.071,0.071
466,19,CA,Mike Vlajkov,D,13,0,1,1,7,-5,0,0,0,0,0.077,0.077
467,16,CA,Kyle Langdon,F,8,0,1,1,0,-1,0,0,0,0,0.125,0.125
468,18,CA,Connor Burgess,F,8,0,1,1,0,-5,0,0,0,0,0.125,0.125
469,19,CA,Mack Lemmon,F,5,0,1,1,2,-1,0,0,0,0,0.2,0.2
470,16,CA,Riley MacRae,F,4,0,1,1,0,-1,0,0,0,0,0.25,0.25
471,16,US,Jack Kopacka,F,4,0,1,1,0,1,0,0,0,0,0.25,0.25
472,16,CA,Taylor Egan,D,3,0,1,1,0,3,0,0,0,0,0.333,0.333
473,16,CA,Evan Krassey,F,3,0,1,1,0,1,0,0,0,0,0.333,0.333
474,20,CA,Luke Mercer,D,3,0,1,1,0,3,0,0,0,0,0.333,0.333
475,19,CA,Charlie Graham,G,51,0,0,0,4,,0,0,0,0,0,0
476,20,CA,Jake Paterson,G,50,0,0,0,0,,0,0,0,0,0,0
477,18,CA,Liam Herbst,G,39,0,0,0,2,,0,0,0,0,0,0
478,18,CA,Brent Moran,G,38,0,0,0,0,,0,0,0,0,0,0
479,17,CA,Brendan Johnston,G,37,0,0,0,2,,0,0,0,0,0,0
480,17,CA,Aleks Rapp,F,35,0,0,0,16,-7,0,0,0,0,0,0
481,17,RU,Leonid Lazarev,G,34,0,0,0,2,,0,0,0,0,0,0
482,18,US,Jarrett Meyer,D,34,0,0,0,18,-7,0,0,0,0,0,0
483,19,CA,Spencer Martin,G,31,0,0,0,4,,0,0,0,0,0,0
484,18,CA,Daniel Dekoning,G,29,0,0,0,0,,0,0,0,0,0,0
485,17,CA,Justin Fazio,G,29,0,0,0,4,,0,0,0,0,0,0
486,19,CA,Samuel Tanguay,G,29,0,0,0,4,,0,0,0,0,0,0
487,17,CA,Rocky Kaura,D,29,0,0,0,18,8,0,0,0,0,0,0
488,16,CA,Dylan Wells,G,27,0,0,0,2,,0,0,0,0,0,0
489,16,CA,Joseph Raaymakers,G,25,0,0,0,0,,0,0,0,0,0,0
490,17,CA,Michael McNiven,G,24,0,0,0,0,,0,0,0,0,0,0
491,20,CA,Jacob Brennan,G,23,0,0,0,0,,0,0,0,0,0,0
492,18,CA,Cameron Zanussi,G,23,0,0,0,2,,0,0,0,0,0,0
493,19,US,Matthew Greenfield,G,20,0,0,0,0,,0,0,0,0,0,0
494,17,CA,Zach Bowman,G,18,0,0,0,0,,0,0,0,0,0,0
495,17,CA,Daniel Robertson,D,16,0,0,0,4,4,0,0,0,0,0,0
496,17,US,Kelly Klima,F,15,0,0,0,17,-2,0,0,0,0,0,0
497,17,CA,Ryan Valentini,F,15,0,0,0,10,1,0,0,0,0,0,0
498,17,CA,Jeremy Helvig,G,14,0,0,0,0,,0,0,0,0,0,0
499,17,CA,Connor Schlichting,D,12,0,0,0,15,-3,0,0,0,0,0,0
500,17,CA,Noah Robinson,F,11,0,0,0,2,-2,0,0,0,0,0,0
501,17,CA,Kody Gagnon,D,10,0,0,0,2,-2,0,0,0,0,0,0
502,16,CA,Levi Tetrault,D,9,0,0,0,6,-1,0,0,0,0,0,0
503,16,CA,Riley Stillman,D,9,0,0,0,5,0,0,0,0,0,0,0
504,16,CA,Connor Hall,D,8,0,0,0,11,0,0,0,0,0,0,0
505,17,CA,Michael Silveri,F,8,0,0,0,0,0,0,0,0,0,0,0
506,18,CA,Jake Kment,G,8,0,0,0,0,,0,0,0,0,0,0
507,16,CA,Brock Philips,D,8,0,0,0,14,1,0,0,0,0,0,0
508,17,CA,Jacob Friend,D,8,0,0,0,6,5,0,0,0,0,0,0
509,16,CA,Franco Sproviero,D,8,0,0,0,9,-1,0,0,0,0,0,0
510,17,CA,Scott Smith,G,7,0,0,0,0,,0,0,0,0,0,0
511,19,CA,Ryan Vendramin,F,7,0,0,0,0,-1,0,0,0,0,0,0
512,16,CA,Sean Allen,D,6,0,0,0,11,-3,0,0,0,0,0,0
513,16,CA,Jonathon Schaefer,D,6,0,0,0,2,1,0,0,0,0,0,0
514,18,CA,Dylan Callaghan,F,5,0,0,0,5,-2,0,0,0,0,0,0
515,18,CA,Andrew Abou-Assaly,F,4,0,0,0,4,-1,0,0,0,0,0,0
516,16,CA,Ruan Badenhorst,G,4,0,0,0,0,,0,0,0,0,0,0
517,16,CA,Stephen Dhillon,G,4,0,0,0,0,,0,0,0,0,0,0
518,19,CA,Jordan DeKort,G,4,0,0,0,0,,0,0,0,0,0,0
519,16,CA,Nicholas Sicoly,F,4,0,0,0,0,0,0,0,0,0,0,0
520,16,CA,Jack Wieringa,D,4,0,0,0,0,1,0,0,0,0,0,0
521,19,CA,Alex Annecchiarico,F,4,0,0,0,4,-1,0,0,0,0,0,0
522,16,CA,Nick Gauvin,D,4,0,0,0,0,0,0,0,0,0,0,0
523,18,CA,Tristen Elie,F,3,0,0,0,4,-1,0,0,0,0,0,0
524,16,US,Kyle Moore,F,3,0,0,0,0,-1,0,0,0,0,0,0
525,17,CA,Brett Primeau,F,3,0,0,0,2,0,0,0,0,0,0,0
526,17,CA,Justin Long,D,3,0,0,0,0,0,0,0,0,0,0,0
527,19,CA,Nikko Sablone,F,3,0,0,0,2,-1,0,0,0,0,0,0
528,18,RU,Nikita Yazkov,F,2,0,0,0,2,-1,0,0,0,0,0,0
529,16,CA,Emanuel Vella,G,2,0,0,0,0,,0,0,0,0,0,0
530,17,CA,Leif Hertz,G,2,0,0,0,0,,0,0,0,0,0,0
531,17,CA,Marcus Semiao,G,2,0,0,0,0,,0,0,0,0,0,0
532,16,CA,Lucas Chiodo,F,2,0,0,0,0,-2,0,0,0,0,0,0
533,16,CA,Mitchell Byrne,D,2,0,0,0,2,-1,0,0,0,0,0,0
534,16,CA,Mitchell Mendonca,F,2,0,0,0,2,0,0,0,0,0,0,0
535,19,CA,Ryan Migliaccio,F,2,0,0,0,0,0,0,0,0,0,0,0
536,18,CA,Sam Natale,F,2,0,0,0,0,0,0,0,0,0,0,0
537,20,CA,Nathan Mater,F,2,0,0,0,9,0,0,0,0,0,0,0
538,18,CA,David Eccles,D,2,0,0,0,0,-1,0,0,0,0,0,0
539,18,CA,Stephan Seeger,F,1,0,0,0,2,0,0,0,0,0,0,0
540,16,CA,Jake Lawr,G,1,0,0,0,0,,0,0,0,0,0,0
541,17,CA,MacKenzie Savard,G,1,0,0,0,0,,0,0,0,0,0,0
542,19,CA,Jason Da Silva,G,1,0,0,0,0,,0,0,0,0,0,0
543,16,US,Tyler Johnson,G,1,0,0,0,0,,0,0,0,0,0,0
544,17,CA,Frank Pucci,F,1,0,0,0,0,1,0,0,0,0,0,0
545,16,US,Austin Grzenia,F,1,0,0,0,0,0,0,0,0,0,0,0
546,16,CA,Domenic Commisso,F,1,0,0,0,0,0,0,0,0,0,0,0
547,16,CA,William Brown,D,1,0,0,0,0,0,0,0,0,0,0,0
548,19,CA,Rylee McKinnon,D,1,0,0,0,0,0,0,0,0,0,0,0
549,17,CA,Chase Hawley,D,1,0,0,0,5,0,0,0,0,0,0,0
