rank,age,nationality,name,pos,GP,G,A,P,PIM,plusMinus,PPG,SHG,GWG,GGP,AGP,PGP
255,17,CA,Sean Durzi,D,45,10,6,16,19,-5,3,0,1,0.222,0.133,0.356
256,18,CA,Josh Coyle,F,64,6,10,16,32,2,1,0,1,0.094,0.156,0.25
257,17,CA,Christopher Paquette,F,57,5,11,16,18,-6,1,0,1,0.088,0.193,0.281
258,20,CA,Jack Hidi,F,55,5,11,16,16,-6,0,0,0,0.091,0.2,0.291
259,18,CA,Stephen Gibson,D,68,4,12,16,67,-5,0,0,0,0.059,0.176,0.235
260,18,CA,Adam Craievich,F,62,4,12,16,10,-10,1,0,0,0.065,0.194,0.258
261,18,US,Zach Wilkie,D,55,4,12,16,88,-16,1,1,0,0.073,0.218,0.291
262,19,RU,Dmitri Sergeyev,D,35,2,14,16,26,9,0,0,0,0.057,0.4,0.457
263,19,US,Frank Hora,D,57,1,15,16,55,15,0,1,0,0.018,0.263,0.281
264,19,CA,Zach Bratina,F,12,12,3,15,10,3,3,1,2,1,0.25,1.25
265,18,CA,Jason Smith,F,60,8,7,15,49,2,0,0,1,0.133,0.117,0.25
266,17,CA,Dane Johnstone,F,56,7,8,15,7,-12,0,0,0,0.125,0.143,0.268
267,18,CA,Jacob Cascagnette,F,59,6,9,15,26,7,1,0,1,0.102,0.153,0.254
268,16,CA,Liam Hawel,F,65,4,11,15,12,-5,0,0,1,0.062,0.169,0.231
269,18,SK,Erik Cernak,D,41,4,11,15,35,7,0,0,0,0.098,0.268,0.366
270,16,CA,Robert Thomas,F,40,3,12,15,0,-2,1,0,0,0.075,0.3,0.375
271,19,CA,Josh Carrick,D,63,2,13,15,83,28,0,0,2,0.032,0.206,0.238
272,18,CA,Liam Dunda,F,64,7,7,14,47,-11,1,0,1,0.109,0.109,0.219
273,16,CA,Brett Neumann,F,52,7,7,14,6,0,0,1,0,0.135,0.135,0.269
274,19,CA,Chad Heffernan,F,63,6,8,14,142,-18,0,0,1,0.095,0.127,0.222
275,19,CA,Josh Maguire,F,63,6,8,14,54,-14,0,0,1,0.095,0.127,0.222
276,16,CA,MacKenzie Entwistle,F,60,6,8,14,17,-14,0,1,1,0.1,0.133,0.233
277,18,CA,Ted Nichol,F,67,5,9,14,22,1,0,0,0,0.075,0.134,0.209
278,19,CA,Cody Caron,F,50,5,9,14,85,8,0,1,0,0.1,0.18,0.28
279,17,CA,Brandon Saigeon,F,43,4,10,14,19,-25,2,0,0,0.093,0.233,0.326
280,20,CA,Brian Brosnan,D,29,4,10,14,18,25,0,0,1,0.138,0.345,0.483
281,18,CA,Noah Carroll,D,67,3,11,14,46,-48,1,0,0,0.045,0.164,0.209
282,16,CA,Elijah Roberts,D,59,3,11,14,28,14,0,0,0,0.051,0.186,0.237
283,18,US,Sam Miletic,F,35,3,11,14,13,6,0,0,1,0.086,0.314,0.4
284,18,CA,Alex Di Carlo,D,54,2,12,14,20,-5,0,0,0,0.037,0.222,0.259
285,17,CA,Nicholas Sicoly,F,64,8,5,13,27,-24,1,3,0,0.125,0.078,0.203
286,17,CA,Justin Brazeau,F,65,6,7,13,8,-5,0,0,1,0.092,0.108,0.2
287,19,CA,Jacob Busch,F,50,6,7,13,51,-9,0,0,2,0.12,0.14,0.26
288,16,CA,Matthew Struthers,F,47,5,8,13,6,-1,0,0,0,0.106,0.17,0.277
289,16,CA,Isaac Ratcliffe,F,46,5,8,13,24,-25,2,0,0,0.109,0.174,0.283
290,18,CA,Mark Shoemaker,D,67,4,9,13,16,14,3,1,2,0.06,0.134,0.194
291,18,CA,Patrick Fellows,F,65,4,9,13,21,0,1,0,1,0.062,0.138,0.2
292,17,CA,Conor Timmins,D,60,4,9,13,20,27,0,0,1,0.067,0.15,0.217
293,17,CA,Justin Murray,D,65,3,10,13,36,23,0,0,1,0.046,0.154,0.2
294,19,CA,Kevin Spinozzi,D,59,3,10,13,66,17,0,0,1,0.051,0.169,0.22
295,16,CA,Jacob Paquette,D,56,3,10,13,24,24,1,0,1,0.054,0.179,0.232
296,18,CA,Zach Shankar,D,54,3,10,13,73,6,0,0,0,0.056,0.185,0.241
297,16,CA,Joseph Garreffa,F,41,3,10,13,4,7,0,0,0,0.073,0.244,0.317
298,18,CA,Jesse Saban,D,62,2,11,13,59,5,0,0,0,0.032,0.177,0.21
299,17,CA,Reagan O'Grady,D,55,2,11,13,44,-14,1,0,0,0.036,0.2,0.236
300,17,CZ,Ondrej Kachyna,D,52,2,11,13,25,-17,0,0,0,0.038,0.212,0.25
301,16,CA,Nick McHugh,F,46,2,11,13,10,12,0,1,0,0.043,0.239,0.283
302,18,CA,Adrian Carbonara,F,51,9,3,12,80,6,0,0,0,0.176,0.059,0.235
303,16,CA,Liam Stevens,F,63,7,5,12,14,-17,1,1,1,0.111,0.079,0.19
304,17,CA,Kyle Potts,F,59,5,7,12,27,-7,0,0,1,0.085,0.119,0.203
305,19,RU,Vladislav Barulin,F,25,5,7,12,10,-17,0,0,0,0.2,0.28,0.48
306,19,US,Chris Martenet,D,67,3,9,12,85,44,0,0,0,0.045,0.134,0.179
307,16,CA,Markus Phillips,D,63,3,9,12,22,-15,1,0,0,0.048,0.143,0.19
308,18,CA,Alex Black,D,57,3,9,12,33,5,0,0,0,0.053,0.158,0.211
309,19,CA,Alex Peters,D,55,1,11,12,66,-7,0,0,0,0.018,0.2,0.218
310,18,CA,Austin Hall,D,52,1,11,12,18,-26,0,0,0,0.019,0.212,0.231
311,19,US,Chandler Yakimowicz,F,52,6,5,11,117,-4,0,0,1,0.115,0.096,0.212
312,17,CA,Brady Pataki,F,64,5,6,11,8,-20,0,0,1,0.078,0.094,0.172
313,16,CA,Macauley Carson,F,61,5,6,11,35,-10,0,0,1,0.082,0.098,0.18
314,16,US,Cole Coskey,F,54,4,7,11,8,-6,2,0,0,0.074,0.13,0.204
315,18,CA,Daniel Robertson,D,65,3,8,11,44,-14,1,0,1,0.046,0.123,0.169
316,19,SE,Daniel Bernhardt,F,29,3,8,11,0,5,0,0,2,0.103,0.276,0.379
317,18,CA,Andrew Burns,D,65,2,9,11,21,16,0,0,1,0.031,0.138,0.169
318,18,CA,Riley Bruce,D,52,1,10,11,52,-2,0,0,0,0.019,0.192,0.212
319,17,CA,Zachary Magwood,F,44,6,4,10,8,-2,0,0,0,0.136,0.091,0.227
320,16,CA,Robbie Burt,F,56,4,6,10,63,-6,1,0,0,0.071,0.107,0.179
321,17,CA,Nicolas Mattinen,D,39,4,6,10,24,4,1,0,0,0.103,0.154,0.256
322,19,CA,Owen McDade,F,24,4,6,10,4,-1,1,0,0,0.167,0.25,0.417
323,17,US,Austin Osmanski,D,65,2,8,10,53,19,0,0,1,0.031,0.123,0.154
324,18,CA,Tyler MacArthur,D,54,2,8,10,74,-9,0,0,0,0.037,0.148,0.185
325,19,CA,Aiden Jamieson,D,45,2,8,10,32,14,0,0,1,0.044,0.178,0.222
326,16,CA,Nick Grima,D,45,2,8,10,16,3,0,0,0,0.044,0.178,0.222
327,19,CA,Zachary Core,D,62,1,9,10,51,3,0,0,0,0.016,0.145,0.161
328,17,CA,Lucas Chiodo,F,50,1,9,10,0,-4,0,0,0,0.02,0.18,0.2
329,19,CA,Patrick Sanvido,D,49,1,9,10,30,21,0,0,0,0.02,0.184,0.204
330,16,CA,Brady Lyle,D,44,1,9,10,14,-4,1,0,0,0.023,0.205,0.227
331,17,RU,Makar Tokarev,F,60,6,3,9,10,-3,1,0,1,0.1,0.05,0.15
