@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1-2,4,22-23-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute DraftAge numeric
@attribute country_group {CAN,EURO,USA}
@attribute Height numeric
@attribute Weight numeric
@attribute Position {C,L,D,R}
@attribute CSS_rank numeric
@attribute rs_GP numeric
@attribute rs_G numeric
@attribute rs_A numeric
@attribute rs_P numeric
@attribute rs_PIM numeric
@attribute rs_PlusMinus numeric
@attribute po_GP numeric
@attribute po_G numeric
@attribute po_A numeric
@attribute po_P numeric
@attribute po_PIM numeric
@attribute po_PlusMinus numeric
@attribute GP_greater_than_0 {no,yes}

@data
0.142857,CAN,0.529412,0.441441,D,?,0.66,0.025641,0.190909,0.12234,0.563674,0.697842,0.137931,0,0.033333,0.021739,0.066667,0.206897,no
0.357143,EURO,0.352941,0.162162,R,?,0.49,0.371795,0.136364,0.234043,0.045929,0.633094,0.37931,0.409091,0.066667,0.23913,0.066667,0.655172,no
0,USA,0.529412,0.36036,D,?,0.65,0.128205,0.418182,0.297872,0.152401,0.57554,0.413793,0.045455,0.3,0.217391,0.116667,0.413793,no
0.142857,USA,0.647059,0.396396,D,?,0.54,0.153846,0.354545,0.271277,0.156576,0.496403,?,?,?,?,?,?,no
0,CAN,0.647059,0.621622,L,?,0.66,0.192308,0.172727,0.180851,0.300626,0.366906,?,?,?,?,?,?,no
0.071429,CAN,0.411765,0.279279,R,?,0.69,0.230769,0.245455,0.239362,0.194154,0.568345,0.137931,0,0.066667,0.043478,0.033333,0.206897,no
0.285714,EURO,0.470588,0.198198,D,?,0.45,0.064103,0.072727,0.069149,0.125261,0.496403,?,?,?,?,?,?,no
0.142857,EURO,0.352941,0.279279,R,?,0.66,0.692308,0.4,0.521277,0.108559,0.661871,0.62069,0.136364,0.133333,0.152174,0.033333,0.37931,no
0.142857,CAN,0.529412,0.459459,R,?,0.46,0.192308,0.2,0.196809,0.146138,0.323741,0.310345,0.318182,0.133333,0.23913,0.091667,0.448276,no
0.214286,EURO,0.411765,0.396396,C,?,0.78,0.24359,0.272727,0.260638,0.112735,0.604317,0.034483,0,0,0,0.05,0.275862,no
0.142857,CAN,0.529412,0.243243,R,?,0.61,0.269231,0.172727,0.212766,0.417537,0.503597,0.172414,0.090909,0.133333,0.130435,0.233333,0.275862,no
0,EURO,0.529412,0.477477,R,0.193548,0.46,0.217949,0.245455,0.234043,0.083507,0.359712,?,?,?,?,?,?,no
0.214286,EURO,0.529412,0.378378,R,?,0.52,0.115385,0.036364,0.069149,0.041754,0.496403,0.068966,0,0,0,0,0.275862,no
0,CAN,0.470588,0.459459,C,?,0.73,0.24359,0.309091,0.281915,0.273486,0.28777,?,?,?,?,?,?,no
0,EURO,0.411765,0.441441,L,?,0.72,0.217949,0.109091,0.154255,0.164927,0.410072,0.172414,0.090909,0.033333,0.065217,0.033333,0.241379,no
0,CAN,0.529412,0.36036,C,?,0.59,0.192308,0.145455,0.164894,0.073069,0.467626,0.172414,0.045455,0,0.021739,0.058333,0.103448,no
0,EURO,0.647059,0.324324,L,0.270161,0.44,0.025641,0.036364,0.031915,0.020877,0.496403,?,?,?,?,?,?,no
0,CAN,0.647059,0.558559,C,0.020161,0.66,0.24359,0.490909,0.388298,0.19833,0.496403,0.344828,0.181818,0.1,0.152174,0.308333,0.172414,no
0,EURO,0.588235,0.441441,C,0.052419,0.54,0.166667,0.190909,0.180851,0.100209,0.496403,0.482759,0,0.2,0.130435,0.033333,0.310345,no
0.071429,USA,0.588235,0.378378,C,0.21371,0.36,0.076923,0.072727,0.074468,0.125261,0.503597,?,?,?,?,?,?,no
0,EURO,0.470588,0.396396,R,0.012097,0.24,0.051282,0.027273,0.037234,0.098121,0.489209,0.068966,0.045455,0,0.021739,0.016667,0.310345,no
0,EURO,0.470588,0.396396,D,0.060484,0.36,0.128205,0.063636,0.090426,0.091858,0.489209,?,?,?,?,?,?,no
0,EURO,0.529412,0.441441,R,0.040323,0.11,0.051282,0.009091,0.026596,0.012526,0.489209,?,?,?,?,?,?,no
0,CAN,0.705882,0.63964,L,0.233871,0.64,0.102564,0.127273,0.117021,0.473904,0.302158,0.137931,0.045455,0.033333,0.043478,0.033333,0.103448,no
0.142857,CAN,0.705882,0.693694,L,?,0.56,0.423077,0.3,0.351064,0.148225,0.748201,0.275862,0.272727,0.066667,0.173913,0.033333,0.517241,no
0.142857,CAN,0.588235,0.279279,D,?,0.65,0.012821,0.127273,0.079787,0.102296,0.57554,0.655172,0.136364,0.133333,0.152174,0.225,0.482759,no
0.071429,USA,0.411765,0.279279,C,0.072581,0.38,0.128205,0.090909,0.106383,0.154489,0.496403,?,?,?,?,?,?,no
0.142857,CAN,0.588235,0.324324,D,?,0.6,0.025641,0.245455,0.154255,0.177453,0.374101,0.137931,0,0.033333,0.021739,0.058333,0.241379,no
0.071429,USA,0.588235,0.576577,D,0.116935,0.53,0.089744,0.154545,0.12766,0.087683,0.669065,0.37931,0,0.066667,0.043478,0.066667,0.413793,no
0,EURO,0.705882,0.558559,C,0.092742,0.14,0.115385,0.072727,0.090426,0.056367,0.496403,0.172414,0.227273,0.066667,0.152174,0.083333,0.310345,no
0,EURO,0.470588,0.594595,D,0.104839,0.33,0.038462,0.009091,0.021277,0.083507,0.496403,?,?,?,?,?,?,no
0,EURO,0.529412,0.540541,D,0.044355,0.69,0.064103,0.118182,0.095745,0.152401,0.539568,0.034483,0,0,0,0.016667,0.310345,no
0,CAN,0.764706,0.594595,D,0.205645,0.55,0.064103,0.081818,0.074468,0.290188,0.388489,0.103448,0,0,0,0,0.172414,no
0,CAN,0.411765,0.342342,L,0.310484,0.6,0.153846,0.136364,0.143617,0.204593,0.489209,0.344828,0,0.033333,0.021739,0.091667,0.310345,no
0.071429,USA,0.647059,0.477477,D,0.258065,0.41,0.038462,0.127273,0.090426,0.037578,0.496403,?,?,?,?,?,?,no
0.142857,CAN,0.764706,0.657658,D,?,0.62,0.038462,0.090909,0.069149,0.582463,0.496403,?,?,?,?,?,?,no
0.071429,USA,0.529412,0.342342,L,0.604839,0.26,0.294872,0.345455,0.324468,0.022965,0.496403,?,?,?,?,?,?,no
0.071429,USA,0.470588,0.459459,D,0.185484,0.22,0.038462,0.036364,0.037234,0.029228,0.52518,?,?,?,?,?,?,no
0.142857,EURO,0.882353,0.756757,D,0.407258,0.68,0.051282,0.209091,0.143617,0.096033,0.733813,0.37931,0.136364,0.1,0.130435,0.066667,0.413793,no
0.142857,USA,0.647059,0.477477,D,0.193548,0.25,0.012821,0.045455,0.031915,0.037578,0.496403,?,?,?,?,?,?,no
0,CAN,0.588235,0.693694,L,0.701613,0.6,0.038462,0.018182,0.026596,0.515658,0.496403,0.275862,0,0,0,0.2,0.275862,no
0,EURO,0.529412,0.495495,D,0.217742,0.44,0.051282,0.054545,0.053191,0.363257,0.496403,0.310345,0,0,0,0.1,0.310345,no
0.142857,EURO,0.647059,0.459459,D,0.294355,0.39,0.012821,0.018182,0.015957,0.152401,0.539568,?,?,?,?,?,?,no
0,CAN,0.705882,0.558559,R,0.354839,0.34,0.076923,0.045455,0.058511,0.08977,0.42446,0.137931,0,0,0,0.108333,0.172414,no
0,EURO,0.529412,0.477477,D,0.056452,0.37,0,0.009091,0.005319,0.037578,0.489209,?,?,?,?,?,?,no
0,EURO,0.647059,0.495495,L,0.266129,0.69,0.269231,0.3,0.287234,0.125261,0.482014,0.103448,0,0.033333,0.021739,0.016667,0.172414,no
0,EURO,0.647059,0.297297,D,0.528226,0.63,0.038462,0.136364,0.095745,0.045929,0.604317,0.689655,0.045455,0.066667,0.065217,0.066667,0.172414,no
0,CAN,0.529412,0.459459,D,0.28629,0.6,0.102564,0.3,0.218085,0.020877,0.676259,0.275862,0.090909,0.1,0.108696,0.066667,0.482759,no
0.071429,USA,0.470588,0.261261,L,0.221774,0.34,0.153846,0.090909,0.117021,0.079332,0.496403,?,?,?,?,?,?,no
0.142857,EURO,0.529412,0.342342,D,0.326613,0.57,0.051282,0.027273,0.037234,0.19833,0.489209,?,?,?,?,?,?,no
0.142857,USA,0.529412,0.459459,L,0.415323,0.39,0.141026,0.227273,0.191489,0.083507,0.496403,?,?,?,?,?,?,no
