@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1-2,4,22-23'

@attribute DraftAge numeric
@attribute country_group {CAN,EURO,USA}
@attribute Height numeric
@attribute Weight numeric
@attribute Position {C,L,D,R,W,F}
@attribute CSS_rank numeric
@attribute rs_GP numeric
@attribute rs_G numeric
@attribute rs_A numeric
@attribute rs_P numeric
@attribute rs_PIM numeric
@attribute rs_PlusMinus numeric
@attribute po_GP numeric
@attribute po_G numeric
@attribute po_A numeric
@attribute po_P numeric
@attribute po_PIM numeric
@attribute po_PlusMinus numeric
@attribute GP_greater_than_0 {no,yes}

@data
20,USA,75,216,R,?,33,11,17,28,124,0,11,6,13,19,20,0,no
18,CAN,73,194,D,?,68,1,12,13,153,11,5,0,1,1,8,-1,no
20,EURO,75,214,R,?,48,25,17,42,2,-3,1,0,0,0,0,0,no
18,CAN,73,198,L,?,69,15,26,41,79,0,4,2,3,5,12,-1,no
19,USA,74,205,C,?,30,4,6,10,8,-4,?,?,?,?,?,?,no
19,CAN,74,203,D,?,61,0,10,10,109,-16,?,?,?,?,?,?,no
19,CAN,71,185,D,?,68,14,30,44,64,10,5,0,0,0,18,0,no
20,EURO,73,196,D,?,50,0,6,6,75,6,?,?,?,?,?,?,no
18,EURO,72,190,R,24,52,22,19,41,20,5,7,1,2,3,4,0,no
19,EURO,73,201,R,43,46,5,3,8,28,-4,10,0,2,2,6,-3,no
19,CAN,76,216,R,?,62,8,11,19,68,-30,?,?,?,?,?,?,no
18,CAN,74,207,C,?,8,2,5,7,2,5,16,2,3,5,4,1,no
19,CAN,70,201,L,?,69,23,49,72,81,22,18,5,11,16,35,9,no
18,CAN,76,231,D,?,69,4,6,10,78,-2,?,?,?,?,?,?,no
19,USA,73,196,R,?,41,12,14,26,90,0,11,2,5,7,60,0,no
20,USA,72,181,C,?,38,5,12,17,18,0,?,?,?,?,?,?,no
19,CAN,72,174,L,?,57,45,52,97,50,0,?,?,?,?,?,?,no
18,EURO,72,223,R,?,73,24,40,64,76,-7,?,?,?,?,?,?,no
18,CAN,76,234,D,?,61,7,8,15,23,5,10,0,0,0,4,-2,no
20,USA,75,194,C,?,39,7,13,20,22,0,?,?,?,?,?,?,no
20,CAN,74,187,R,?,70,35,53,88,88,34,14,7,8,15,1,0,no
18,CAN,75,216,D,?,63,0,6,6,97,4,12,0,0,0,13,-5,no
19,CAN,72,187,C,?,45,14,32,46,18,12,?,?,?,?,?,?,no
20,CAN,77,216,D,?,8,0,0,0,18,0,?,?,?,?,?,?,no
18,CAN,73,194,C,?,67,16,18,34,97,-4,?,?,?,?,?,?,no
18,CAN,78,214,D,?,52,0,2,2,72,-12,5,0,0,0,0,-4,no
19,USA,74,190,C,?,37,34,37,71,0,0,?,?,?,?,?,?,no
19,USA,77,190,L,?,38,7,8,15,34,0,?,?,?,?,?,?,no
18,CAN,75,190,D,?,70,3,14,17,32,-1,12,0,2,2,2,6,no
18,EURO,74,198,L,49,55,16,35,51,60,0,?,?,?,?,?,?,no
19,EURO,71,187,R,?,22,3,2,5,38,0,?,?,?,?,?,?,no
