id,PlayerName,DraftAge_norm,country_group,Height_norm,Weight_norm,Position,DraftYear,Overall,CSS_rank_norm,rs_GP_norm,rs_G_norm,rs_A_norm,rs_P_norm,rs_PIM_norm,rs_PlusMinus_norm,po_GP_norm,po_G_norm,po_A_norm,po_P_norm,po_PIM_norm,po_PlusMinus_norm,GP_greater_than_0,wx_sum,lmt_prob,LeafNode
3303,Mikko Hyytia,0.0,EURO,0.35714285714285715,0.3173076923076923,C,1999,225,0.23923444976076555,0.28888888888888886,0.136986301369863,0.12745098039215685,0.14556962025316456,0.025052192066805846,0.552,0.0,0.0,0.0,0.0,0.0,0.375,no,0.7092366765967029,0.32976752869309545,4
18845,Alexander Drozdetsky,0.07142857142857142,EURO,0.42857142857142855,0.125,R,2000,94,0.23923444976076555,0.3888888888888889,0.0821917808219178,0.00980392156862745,0.04430379746835443,0.025052192066805846,0.552,0.13333333333333333,0.0,0.0,0.0,0.0,0.375,no,1.1433082181979692,0.241713486043628,4
22615,Wade Davis,0.0,CAN,0.7142857142857143,0.5288461538461539,D,2000,141,0.23923444976076555,0.6777777777777778,0.0410958904109589,0.14705882352941177,0.11392405063291139,0.12317327766179541,0.808,0.43333333333333335,0.0,0.07692307692307693,0.043478260869565216,0.125,0.7083333333333334,no,24.899709503125468,1.5353011025161607e-11,7
8469588,Cole Jarrett,0.0,CAN,0.21428571428571427,0.375,L,2001,141,0.23923444976076555,0.6666666666666666,0.1643835616438356,0.35294117647058826,0.3037974683544304,0.2045929018789144,0.552,0.6333333333333333,0.2857142857142857,0.46153846153846156,0.391304347826087,0.24166666666666667,0.375,yes,-2.537012957493392,0.92669617410332794,5
8470187,Johnny Boychuk,0.0,CAN,0.5,0.6346153846153846,D,2002,61,0.23923444976076555,0.8333333333333334,0.1232876712328767,0.3137254901960784,0.25949367088607594,0.1941544885177453,0.648,0.23333333333333334,0.047619047619047616,0.038461538461538464,0.043478260869565216,0.05,0.375,yes,3.693869273317288,0.024271790718298287,6
9574,Ilya Krikunov,0.0,EURO,0.2857142857142857,0.17307692307692307,L,2002,223,0.24401913875598086,0.6777777777777778,0.2465753424657534,0.23529411764705882,0.26582278481012656,0.07933194154488518,0.544,0.0,0.0,0.0,0.0,0.0,0.375,no,12.076666920481955,5.6907266514362302e-06,2
13559,Chris Bahen,0.14285714285714285,CAN,0.42857142857142855,0.25,D,2000,189,0.24401913875598086,0.37777777777777777,0.1095890410958904,0.09803921568627451,0.11392405063291139,0.1127348643006263,0.552,0.0,0.0,0.0,0.0,0.0,0.375,no,1.899132509753997,0.13020668864252039,4
15248,Brett Angel,0.0,CAN,0.7142857142857143,0.5673076923076923,D,1999,72,0.24401913875598086,0.6111111111111112,0.0684931506849315,0.08823529411764706,0.08860759493670886,0.29018789144050106,0.432,0.13333333333333333,0.0,0.0,0.0,0.0,0.20833333333333334,no,10.214190629366957,3.6645230472767402e-05,1
8469582,Colin Stuart,0.07142857142857142,USA,0.5,0.4230769230769231,L,2001,135,0.24401913875598086,0.45555555555555555,0.0273972602739726,0.06862745098039216,0.056962025316455694,0.054279749478079335,0.552,0.0,0.0,0.0,0.0,0.0,0.375,yes,-0.20172749715031557,0.55026154457344156,5
2489,Aaron Lobb,0.0,CAN,0.6428571428571429,0.46153846153846156,R,2001,123,0.24880382775119617,0.7444444444444445,0.3150684931506849,0.24509803921568626,0.3037974683544304,0.1941544885177453,0.408,0.16666666666666666,0.0,0.07692307692307693,0.043478260869565216,0.1,0.125,no,10.020136233982846,4.4492909085524592e-05,1
8468003,Justin Mapletoft,0.0,CAN,0.42857142857142855,0.3942307692307692,C,1999,130,0.24880382775119617,0.8,0.3287671232876712,0.21568627450980393,0.2911392405063291,0.16910229645093947,0.552,0.0,0.0,0.0,0.0,0.0,0.375,yes,-0.880073791966371,0.70683751236860459,5
9552,Maxim Orlov,0.0,EURO,0.35714285714285715,0.46153846153846156,C,1999,219,0.2535885167464115,0.1,0.0410958904109589,0.0196078431372549,0.03164556962025317,0.012526096033402923,0.56,0.03333333333333333,0.0,0.0,0.0,0.0,0.375,no,7.919424869364878,0.00036347922523318507,6
11726,Andrew Archer,0.0,CAN,0.6428571428571429,0.3173076923076923,D,2001,203,0.2535885167464115,0.5777777777777777,0.0,0.0196078431372549,0.012658227848101266,0.1315240083507307,0.552,0.13333333333333333,0.0,0.0,0.0,0.03333333333333333,0.2916666666666667,no,10.698818652765253,2.257107758607438e-05,1
12028,Dan Cavanaugh,0.07142857142857142,USA,0.5,0.33653846153846156,C,1999,38,0.2535885167464115,0.4,0.0821917808219178,0.0784313725490196,0.08860759493670886,0.12526096033402923,0.56,0.0,0.0,0.0,0.0,0.0,0.375,no,6.0253047093621035,0.0024109881166742351,6
15678,Dmitri Syomin,0.0,EURO,0.5,0.38461538461538464,C,2001,159,0.2535885167464115,0.3,0.0958904109589041,0.06862745098039216,0.08860759493670886,0.008350730688935281,0.568,0.36666666666666664,0.09523809523809523,0.11538461538461539,0.10869565217391304,0.016666666666666666,0.375,no,7.320292566661198,0.00066153060053326408,6
