id,PlayerName,DraftAge,Height,Weight,rs_GP,rs_G,rs_A,rs_P,rs_PIM,rs_PlusMinus,CSS_rank,po_A,Position,po_GP,po_G,po_P,po_PIM,LeafNode,DraftYear,sum_7yr_GP
4284,"Valtteri Tenkanen",19,71,183,37,4,6,10,4,-2,62,3,C,11,2,5,0,2,2004,0
4407,"Mario Kempe",19,72,185,62,23,19,42,51,-19,50,0,R,4,0,0,2,3,2007,0
4418,"Risto Korhonen",19,75,201,42,5,13,18,83,12,23,1,D,5,1,2,2,5,2005,0
4509,"Nichlas Torp",18,71,203,35,3,3,6,66,5,7,2,D,7,1,3,53,1,2007,0
4568,"Dennis Persson",18,73,187,74,14,29,43,54,-3,14,0,D,0,0,0,0,3,2006,0
4575,"Viktor Gibbs Sjodin",18,72,225,52,16,9,25,95,-1,136,0,R,0,0,0,0,3,2006,0
4613,"Jesper Samuelsson",20,72,179,40,20,42,62,73,0,203,0,C,0,0,0,0,4,2008,0
5009,"Simon Hjalmarsson",18,72,172,73,44,44,88,111,8,6,9,L,14,4,13,8,1,2007,0
5016,"Nicklas Lasu",19,72,181,52,21,37,58,50,1,31,5,C,8,5,10,4,5,2008,0
5507,"Alexander Deilert",19,72,181,46,6,12,18,72,0,203,2,D,7,1,3,14,4,2008,0
5509,"Jens Hellgren",18,75,194,71,4,13,17,44,0,17,2,D,11,2,4,8,4,2007,0
5873,"Peter Fabus",21,74,196,54,20,11,31,34,0,211,1,C,5,1,2,0,3,2000,0
6042,"Eric Johansson",20,72,187,69,44,59,103,73,8,120,2,C,5,1,3,5,1,2002,0
6058,"Anton Gustafsson",18,74,209,38,16,20,36,65,0,5,0,C,2,1,1,2,1,2008,0
6251,"Mats Frshaug",20,74,214,65,23,27,50,65,-2,203,4,C,5,3,7,2,3,2008,0
6364,"Marcel Rodman",20,73,187,70,43,39,82,16,42,152,2,C,7,4,6,2,5,2001,0
6421,"Shaun Sutter",18,73,181,69,11,9,20,146,-13,92,0,R,4,0,0,4,1,1998,0
6424,"Juho Mielonen",18,75,198,45,4,10,14,36,16,27,1,D,9,0,1,6,5,2005,0
6627,"Brent Mcdonald",19,71,185,69,18,27,45,93,10,92,2,R,5,0,2,4,1,1998,0
6870,"Stefan Warg",18,75,220,34,2,6,8,74,0,203,0,D,3,0,0,14,2,2008,0
6912,"William Quist",18,77,203,45,16,25,41,90,0,210,0,L,0,0,0,0,4,2007,0
7113,"Kevin Holdridge",18,75,205,61,4,15,19,106,23,92,3,D,15,0,3,20,1,1998,0
7311,"Kristian Kovac",18,74,198,52,31,22,53,77,0,30,0,R,2,1,1,2,3,1999,0
7410,"Timo Seppanen",19,72,194,64,11,15,26,81,18,13,1,D,5,0,1,0,5,2006,0
7452,"Joonas Lehtivuori",18,72,176,69,11,25,36,56,12,32,4,D,9,1,5,8,5,2006,0
7523,"Viktor Ujcik",29,70,201,82,36,24,60,40,28,176,8,L,11,8,16,10,5,2001,0
7537,"Tommi Leinonen",18,74,201,43,9,11,20,20,-1,250,0,D,1,0,0,0,3,2005,0
7571,"Vili Sopanen",20,75,218,52,20,22,42,48,0,72,13,R,15,5,18,18,4,2007,0
7619,"J.D. Forrest",19,69,181,57,6,28,34,48,0,211,0,D,3,0,0,6,3,2000,0
7960,"Juris Stals",19,75,201,51,23,27,50,28,-5,176,0,C,3,1,1,0,2,2001,0
8030,"Carter Trevisani",19,73,198,45,9,11,20,24,5,31,4,D,20,1,5,26,5,2001,0
8038,"Jan Platil",18,74,207,67,6,18,24,134,5,104,0,D,5,0,0,12,4,2001,0
8053,"Martin Podlesak",19,77,227,60,21,19,40,59,3,38,1,C,3,1,2,2,1,2001,0
8067,"Jonas Enlund",19,72,198,41,25,19,44,14,23,44,0,L,0,0,0,0,5,2006,0
8068,"Tomas Harant",20,74,209,58,1,12,13,94,0,84,0,D,0,0,0,0,3,2000,0
8096,"Lou Dickenson",18,74,194,66,21,25,46,46,-69,32,0,L,0,0,0,0,2,2000,0
8338,"Martin Chabada",25,73,203,57,19,21,40,121,22,120,7,R,13,4,11,4,5,2002,0
8388,"Radek Duda",19,73,201,46,5,3,8,28,-4,43,2,R,10,0,2,6,1,1998,0
8392,"Jan-Mikael Juutilainen",18,71,183,79,23,35,58,69,-1,24,7,C,10,6,13,4,3,2006,0
8393,"Robert Nyholm",18,73,196,68,25,18,43,58,2,27,3,R,7,4,7,4,5,2006,0
8394,"Max Warn",18,74,207,52,14,20,34,69,8,73,2,L,7,4,6,6,5,2006,0
8395,"Juuso Puustinen",18,73,196,62,24,16,40,108,-2,53,0,R,5,0,0,0,3,2006,0
8397,"Niko Snellman",18,74,212,32,7,12,19,126,-5,93,5,L,9,2,7,68,3,2006,0
8418,"Peter Aston",20,73,205,65,16,36,52,31,16,227,1,D,7,2,3,2,5,2006,0
8420,"Tomas Slovak",18,73,209,59,7,8,15,58,0,21,0,D,3,1,1,2,3,2001,0
8421,"Miroslav Blatak",19,72,201,51,3,17,20,30,4,41,0,D,9,1,1,2,1,2001,0
8473,"Jonathan Zion",18,73,205,60,8,33,41,10,25,72,3,D,9,2,5,8,5,1999,0
8504,"Ben Eaves",19,68,179,41,13,26,39,12,6,115,0,C,0,0,0,0,4,2001,0
8640,"Marek Kvapil",20,71,192,75,35,47,82,22,8,250,0,L,0,0,0,0,5,2005,0
8890,"Ryan Steeves",20,72,194,31,9,13,22,20,0,60,0,C,0,0,0,0,3,2002,0
9196,"Dan Bertram",18,70,183,44,13,8,21,66,1,36,0,R,0,0,0,0,5,2005,0
9200,"Sasha Pokulok",19,77,229,26,3,7,10,33,0,39,0,D,0,0,0,0,2,2005,0
9211,"Nathan Davis",19,73,205,38,14,11,25,30,0,87,0,C,0,0,0,0,4,2005,0
9213,"Geoff Paukovich",18,76,209,17,4,2,6,39,-2,80,0,L,0,0,0,0,2,2004,0
9219,"Mark Mitera",19,75,209,46,0,10,10,86,4,20,0,D,0,0,0,0,2,2006,0
9221,"Tom Fritsche",19,71,185,42,11,34,45,38,0,93,0,L,0,0,0,0,4,2005,0
9228,"Petr Pohl",18,71,190,70,23,27,50,16,11,58,2,R,8,0,2,2,5,2004,0
9229,"Jakub Sindel",18,72,181,88,24,26,50,38,9,15,1,C,13,1,2,2,5,2004,0
9232,"Tomas Kudelka",18,75,205,61,11,16,27,70,17,14,0,D,0,0,0,0,5,2005,0
9233,"Michal Birner",18,72,201,79,33,45,78,128,11,68,1,L,2,0,1,4,5,2004,0
9234,"Karel Hromas",18,73,220,80,16,16,32,30,9,45,0,L,2,0,0,0,5,2004,0
9235,"Zdenek Bahensky",18,74,190,75,19,24,43,224,14,24,1,R,2,1,2,14,5,2004,0
9242,"Julien Sprunger",18,76,198,60,16,13,29,38,7,27,0,R,4,0,0,4,5,2004,0
9245,"Juraj Gracik",18,75,194,34,18,8,26,12,1,26,0,L,0,0,0,0,5,2004,0
9247,"Stanislav Lascek",19,73,194,59,19,73,92,46,1,250,18,R,17,4,22,26,6,2005,0
9248,"Marek Zagrapan",19,72,205,63,33,52,85,56,7,23,6,C,17,11,17,28,5,2005,0
9250,"Juraj Mikus",18,74,201,85,24,38,62,70,-3,24,3,C,6,5,8,10,3,2005,0
9252,"Ladislav Scurko",18,73,216,75,23,32,55,124,6,38,3,C,8,6,9,10,5,2004,0
9254,"Kirill Lyamin",18,74,207,47,2,5,7,58,1,17,0,D,0,0,0,0,2,2004,0
9259,"Roman Voloshenko",18,73,207,56,15,15,30,60,5,19,1,L,4,1,2,4,5,2004,0
9260,"Mikhail Yunkov",18,72,207,54,9,15,24,26,9,18,1,C,4,0,1,0,5,2004,0
9261,"Vyacheslav Buravchikov",18,74,203,47,13,11,23,40,8,6,0,D,3,0,0,2,1,2005,0
9262,"Denis Bodrov",20,73,205,41,2,5,7,44,-7,65,0,D,8,0,0,8,2,2006,0
9263,"Nikolai Lemtyugov",19,72,212,11,1,1,2,16,1,250,0,R,0,0,0,0,2,2005,0
9271,"Niclas Lucenius",18,72,203,60,25,25,50,92,0,13,3,C,10,2,5,14,4,2007,0
9273,"Constantin Braun",18,75,196,33,15,13,28,36,-3,132,0,D,1,1,1,6,3,2006,0
9282,"Martin Latal",18,71,185,62,17,12,29,105,-3,21,1,R,7,4,5,8,3,2006,0
9283,"Vladimir Ruzicka",18,75,214,60,30,51,81,66,16,15,2,C,4,1,3,4,5,2007,0
9286,"David Kveton",18,71,185,82,15,22,37,26,-29,12,1,L,6,5,6,18,1,2006,0
9289,"Mikhail Stefanovich",19,74,214,68,35,35,70,34,2,16,4,R,11,4,8,10,5,2008,0
9292,"Tomas Marcinko",18,76,212,64,31,25,56,62,48,26,3,C,12,2,5,10,5,2006,0
9297,"Yuri Alexandrov",18,73,190,45,2,2,4,32,7,4,0,D,2,0,0,2,1,2006,0
9298,"Kirill Tulupov",18,75,227,14,1,3,4,22,7,236,2,D,3,0,2,8,2,2006,0
9299,"Andrei Popov",18,74,214,45,12,14,26,34,13,9,0,R,5,2,2,2,1,2006,0
9301,"Ruslan Bashkirov",18,72,198,64,30,37,67,117,11,35,0,L,0,0,0,0,5,2007,0
9310,"Nigel Williams",18,76,227,65,6,10,16,81,2,13,0,D,0,0,0,0,5,2006,0
9316,"Ryan Flynn",18,75,209,65,18,18,36,81,2,77,0,R,0,0,0,0,5,2006,0
9318,"Kevin Montgomery",18,73,190,65,6,16,22,76,5,45,0,D,0,0,0,0,5,2006,0
9321,"Mike Carman",18,72,181,83,31,47,78,136,7,63,0,C,0,0,0,0,5,2006,0
9323,"Mike Ratchuk",18,70,190,61,12,21,33,60,4,81,0,D,0,0,0,0,5,2006,0
9335,"Stefan Chaput",18,72,192,76,19,30,49,46,12,113,1,C,6,0,1,4,5,2006,0
9340,"Ben Shutron",18,73,185,74,10,31,41,138,20,16,2,D,6,0,2,14,5,2006,0
9341,"Francois Bouchard",18,73,198,76,36,74,110,72,-8,41,0,R,4,1,1,6,3,2006,0
9343,"Hugo Carpentier",18,74,201,77,31,39,70,68,16,95,2,C,5,1,3,4,5,2006,0
9344,"Logan Pyett",18,70,198,78,11,38,49,99,-16,130,6,D,6,1,7,12,3,2006,0
9347,"Justin Azevedo",20,67,174,67,43,81,124,69,24,203,26,C,20,10,36,33,6,2008,0
9349,"Levi Nelson",18,71,185,70,21,17,38,73,-16,136,0,C,4,0,0,4,3,2006,0
9354,"Jean-Philippe Paquet",18,74,201,76,5,20,25,98,-1,42,2,D,4,1,3,2,3,2005,0
9357,"Adam Hobson",18,73,220,78,11,29,40,51,-5,242,0,C,0,0,0,0,3,2005,0
9363,"Chris Lawrence",18,76,203,74,12,40,52,61,17,38,3,R,7,3,6,4,5,2005,0
9373,"Dan Collins",18,73,203,85,29,23,52,72,0,24,0,R,4,0,0,6,4,2005,0
9374,"Jason Bailey",18,73,209,73,9,17,26,230,0,56,0,R,0,0,0,0,4,2005,0
9380,"Kyle Lawson",18,71,207,60,7,25,32,8,3,188,0,D,0,0,0,0,5,2005,0
9382,"Patrick Foley",19,73,220,37,4,7,11,92,2,97,0,R,0,0,0,0,4,2000,0
9391,"Neil Komadoski",19,74,203,30,2,5,7,106,-8,83,0,D,0,0,0,0,2,2001,0
9393,"Bryan Perez",19,73,196,0,0,0,0,0,0,176,0,L,0,0,0,0,3,2001,0
