id,PlayerName,DraftAge,Country,country_group,Height,Weight,Position,DraftYear,Overall,CSS_rank,rs_GP,rs_G,rs_A,rs_P,rs_PIM,rs_PlusMinus,po_GP,po_G,po_A,po_P,po_PIM,po_PlusMinus,sum_7yr_GP,sum_7yr_TOI,GP_greater_than_0
12271,"John Armstrong",18,Canada,CAN,75,212,C,2006,87,51,65,14,23,37,75,-18,13,4,7,11,18,4,0,0,no
12386,"Chad Denny",18,Canada,CAN,74,209,D,2005,49,51,53,8,18,26,98,9,8,2,2,4,14,3,0,0,no
18015,"Jordan Smith",19,Canada,CAN,74,220,D,2004,39,51,68,6,20,26,140,12,0,0,0,0,0,0,0,0,no
8474628,"Michael Stone",18,CAN,CAN,75,210,D,2008,69,51,71,10,25,35,28,3,14,3,4,7,10,0,204,3811,yes
8471282,"Casey Borer",19,USA,USA,74,205,D,2004,69,52,31,0,8,8,18,0,0,0,0,0,0,0,16,223,yes
8471670,"Guillaume Latendresse",18,CAN,CAN,74,230,L,2005,45,52,71,31,52,83,80,7,6,6,4,10,7,0,314,4212,yes
8473438,"Mathieu Carle",19,CAN,CAN,72,203,D,2006,53,52,67,18,51,69,122,20,17,1,14,15,29,0,3,43,yes
8474146,"Spencer Machacek",19,CAN,CAN,73,200,R,2007,67,52,63,21,24,45,32,26,27,12,11,23,14,12,25,191,yes
8474642,"Lance Bouma",18,CAN,CAN,74,208,C,2008,78,52,71,12,23,35,93,10,10,0,1,1,8,-2,199,2443,yes
8395,"Juuso Puustinen",18,Finland,EURO,73,196,R,2006,149,53,62,24,16,40,108,-2,5,0,0,0,0,-3,0,0,no
9620,"Roman Psurny",18,"Czech Rep.",EURO,73,187,C,2004,135,53,80,27,41,68,140,8,5,0,0,0,2,0,0,0,no
11528,"Clayton Barthel",18,Canada,CAN,75,205,D,2004,88,53,72,3,14,17,125,13,0,0,0,0,0,0,0,0,no
11640,"Jesse Dudas",18,Hungary,EURO,74,216,D,2006,159,53,24,0,11,11,27,2,0,0,0,0,0,0,0,0,no
11645,"Jeff May",18,Canada,CAN,74,201,D,2005,151,53,67,3,19,22,66,2,17,2,3,5,13,5,0,0,no
14399,"Nick Larson",19,USA,USA,74,207,L,2008,108,53,57,19,19,38,66,0,9,3,2,5,31,0,0,0,no
8474134,"Yannick Weber",19,CHE,EURO,71,200,D,2007,73,53,52,13,28,41,44,0,9,3,6,9,8,0,164,2396,yes
12170,"Jean-Simon Allard",18,Canada,CAN,73,181,C,2007,147,54,69,12,38,50,47,-30,4,0,1,1,4,-4,0,0,no
12486,"Mathieu Aubin",19,Canada,CAN,75,190,C,2005,130,54,49,19,26,45,24,10,8,3,6,9,6,3,0,0,no
8471314,"Mike Lundin",20,USA,USA,74,190,D,2004,102,54,44,3,16,19,34,0,0,0,0,0,0,0,224,4015,yes
8473496,"Oskar Osala",19,FIN,EURO,76,219,L,2006,97,54,68,17,26,43,86,0,0,0,0,0,0,0,3,24,yes
8474612,"Travis Hamonic",18,CAN,CAN,74,205,D,2008,53,54,68,6,19,25,107,7,6,0,1,1,6,-4,323,7339,yes
18027,"Jan Zapletal",18,"Czech Rep.",EURO,73,183,D,2004,188,55,51,2,4,6,26,-2,4,0,0,0,0,0,0,0,no
19034,"Maxim Trunyov",18,Russia,EURO,72,198,R,2008,138,55,40,27,25,52,58,0,0,0,0,0,0,0,0,0,no
8471735,"Keith Yandle",19,USA,USA,73,196,D,2005,105,55,34,14,40,54,52,0,0,0,0,0,0,0,365,7380,yes
8473416,"Michael Caruso",18,CAN,CAN,74,191,D,2006,103,55,66,1,15,16,85,21,15,1,2,3,24,10,2,16,yes
8473986,"Alex Killorn",18,CAN,CAN,73,196,L,2007,77,55,25,18,14,32,0,0,0,0,0,0,0,0,120,2014,yes
8474059,"Linus Omark",20,SWE,EURO,70,187,L,2007,97,55,50,8,9,17,32,0,4,1,0,1,2,0,79,1146,yes
9374,"Jason Bailey",18,USA,USA,73,209,R,2005,63,56,73,9,17,26,230,0,0,0,0,0,0,0,0,0,no
12509,"Nico Sacchetti",18,USA,USA,72,198,C,2007,50,56,25,38,52,90,22,0,0,0,0,0,0,0,0,0,no
18031,"Evan Schafer",19,Canada,CAN,74,220,D,2004,105,56,71,3,6,9,190,-6,6,0,0,0,14,0,0,0,no
8473456,"Rhett Rakhshani",18,USA,USA,70,182,R,2006,100,56,65,29,26,55,69,0,0,0,0,0,0,0,7,84,yes
8474602,"Justin Schultz",18,CAN,CAN,74,193,D,2008,43,56,57,9,31,40,28,0,11,3,5,8,4,0,203,4587,yes
12160,"Benjamin Breault",18,Canada,CAN,70,190,C,2006,207,57,68,30,38,68,60,-20,4,0,2,2,4,0,0,0,no
18597,"Brandon Burlon",18,Canada,CAN,72,190,D,2008,52,57,32,7,17,24,41,0,12,2,6,8,10,0,0,0,no
8471358,"Bryan Young",18,CAN,CAN,73,191,D,2004,146,57,60,0,8,8,63,-18,0,0,0,0,0,0,17,156,yes
8471761,"Chris Butler",19,USA,USA,73,196,D,2005,96,57,60,6,22,28,90,36,13,1,6,7,10,8,223,4326,yes
8474089,"Brad Malone",18,CAN,CAN,74,207,C,2007,105,57,57,14,19,33,134,6,8,3,1,4,24,4,54,421,yes
9228,"Petr Pohl",18,"Czech Rep.",EURO,71,190,R,2004,133,58,70,23,27,50,16,11,8,0,2,2,2,-1,0,0,no
9420,"Nate Hagemo",19,USA,USA,71,190,D,2005,58,58,37,2,8,10,42,-3,0,0,0,0,0,0,0,0,no
11607,"Joel Broda",19,Canada,CAN,72,196,C,2008,144,58,73,30,23,53,74,-1,6,1,1,2,0,-6,0,0,no
