@relation 'AHL_NHL_BN_norm-weka.filters.unsupervised.attribute.Remove-R2-10,12,17-20'

@attribute AHL_GP numeric
@attribute AHL_passes numeric
@attribute AHL_ze_controlled_entry numeric
@attribute AHL_ze_uncontrolled_entry numeric
@attribute AHL_ze_controlled_exit numeric
@attribute AHL_ze_uncontrolled_exit numeric
@attribute NHL_GP numeric
@attribute NHL_G numeric
@attribute NHL_A numeric
@attribute NHL_P numeric
@attribute NHL_PlusMinus numeric
@attribute NHL_PIM numeric
@attribute NHL_PointPerGame numeric
@attribute NHL_PPG numeric
@attribute NHL_PPP numeric
@attribute NHL_SHG numeric
@attribute NHL_SHP numeric
@attribute NHL_GWG numeric
@attribute NHL_OTG numeric
@attribute NHL_S numeric
@attribute NHL_ShootingPercentage numeric
@attribute NHL_TOIPerGame_sec numeric
@attribute NHL_ShiftsPerGame numeric
@attribute NHL_FaceoffWinPercentage numeric

@data
0.6875,0.219959,0.449541,0.274809,0.346821,0.182609,0.271605,0.028571,0.025,0.030303,0.442308,0.116379,0.09,0,0,0,0,0,0,0.124464,0.034,0.510693,0.430034,0.425
0.75,0.357434,0.46789,0.320611,0.294798,0.182609,0.111111,0,0.025,0.015152,0.480769,0.017241,0.1,0,0,0,0,0,0,0.038627,0,0.520958,0.412969,0.511
0.75,0.178208,0.376147,0.534351,0.248555,0.26087,0.123457,0,0,0,0.576923,0.103448,0,0,0,0,0,0,0,0.025751,0,0.219846,0.215017,0
0.75,0.178208,0.376147,0.534351,0.248555,0.26087,0.641975,0.228571,0.05,0.151515,0.538462,0.418103,0.19,0,0,0,0,0,0,0.214592,0.16,0.329341,0.293515,0.5
0.75,0.178208,0.376147,0.534351,0.248555,0.26087,0.024691,0,0,0,0.576923,0.073276,0,0,0,0,0,0,0,0.017167,0,0.276305,0.327645,1
0.75,0.178208,0.376147,0.534351,0.248555,0.26087,0.024691,0,0,0,0.576923,0.073276,0,0,0,0,0,0,0,0.017167,0,0.276305,0.327645,1
0.75,0.218941,0.40367,0.29771,0.242775,0.121739,0.123457,0.028571,0.025,0.030303,0.596154,0.025862,0.18,0,0,0,0,0,0,0.025751,0.167,0.334474,0.31058,0
0.75,0.218941,0.40367,0.29771,0.242775,0.121739,0.024691,0,0,0,0.538462,0,0,0,0,0,0,0,0,0.004292,0,0.23781,0.204778,0
0.75,0.218941,0.40367,0.29771,0.242775,0.121739,0,0,0,0,0.576923,0,0,0,0,0,0,0,0,0.004292,0,0.100941,0.078498,0
0.75,0.218941,0.40367,0.29771,0.242775,0.121739,0,0,0,0,0.576923,0,0,0,0,0,0,0,0,0.004292,0,0.100941,0.078498,0
