AHL_GP,AHL_total_TOI,AHL_goals,AHL_primary_assists,AHL_secondary_assists,AHL_ev_goals,AHL_ev_primary_assists,AHL_ev_secondary_assists,AHL_shots,AHL_ev_shots,AHL_passes,AHL_ev_passes,AHL_ze_controlled_entry,AHL_ze_uncontrolled_entry,AHL_ze_controlled_exit,AHL_ze_uncontrolled_exit,AHL_penalties_taken,AHL_penalties_drawn,AHL_team_ev_shots_for,AHL_team_ev_shots_against,NHL_GP,NHL_G,NHL_A,NHL_P,NHL_PlusMinus,NHL_PIM,NHL_PointPerGame,NHL_PPG,NHL_PPP,NHL_SHG,NHL_SHP,NHL_GWG,NHL_OTG,NHL_S,NHL_ShootingPercentage,NHL_TOIPerGame_sec,NHL_ShiftsPerGame,NHL_FaceoffWinPercentage
0.78125,0.671312399,0,0.214285714,0.181818182,0,0.111111111,0.222222222,0.319634703,0.301282051,0.389002037,0.417159763,0.155963303,0.541984733,0.369942197,0.565217391,0.470588235,0.125,0.526022305,0.539145907,0.061728395,0,0.025,0.015151515,0.576923077,0.00862069,0.17,0,0,0,0,0,0,0.004291845,0,0.4465355,0.529010239,0
0.5,0.488340763,0,0,0,0,0,0,0.305936073,0.256410256,0.280040733,0.25295858,0.082568807,0.351145038,0.219653179,0.295652174,0.823529412,0.291666667,0.338289963,0.389679715,0.148148148,0,0,0,0.519230769,0.077586207,0,0,0,0,0,0,0,0.0472103,0,0.414029085,0.412969283,0
0.59375,0.45755156,0.214285714,0.571428571,0.636363636,0,0.666666667,0.555555556,0.278538813,0.288461538,0.420570265,0.434911243,0.596330275,0.312977099,0.277456647,0.086956522,0.411764706,0.333333333,0.546468401,0.34519573,0.074074074,0,0,0,0.519230769,0.025862069,0,0,0,0,0,0,0,0.017167382,0,0.310521814,0.249146758,0.25
0.59375,0.45755156,0.214285714,0.571428571,0.636363636,0,0.666666667,0.555555556,0.278538813,0.288461538,0.420570265,0.434911243,0.596330275,0.312977099,0.277456647,0.086956522,0.411764706,0.333333333,0.546468401,0.34519573,0,0,0,0,0.596153846,0,0,0,0,0,0,0,0,0,0,0.315654405,0.317406143,0.667
0.59375,0.45755156,0.214285714,0.571428571,0.636363636,0,0.666666667,0.555555556,0.278538813,0.288461538,0.420570265,0.434911243,0.596330275,0.312977099,0.277456647,0.086956522,0.411764706,0.333333333,0.546468401,0.34519573,0.074074074,0,0.05,0.03030303,0.653846154,0.021551724,0.29,0,0,0,0,0,0,0.025751073,0,0.331907613,0.293515358,0.357
0.46875,0.358717484,0.214285714,0.071428571,0.090909091,0,0.111111111,0.111111111,0.205479452,0.256410256,0.133401222,0.161242604,0.330275229,0.465648855,0.219653179,0.286956522,0.176470588,0.25,0.302973978,0.286476868,0.222222222,0.028571429,0.025,0.03030303,0.538461538,0.030172414,0.11,0,0,0,0,0,0,0.111587983,0.038,0.301967494,0.266211604,0
0.46875,0.358717484,0.214285714,0.071428571,0.090909091,0,0.111111111,0.111111111,0.205479452,0.256410256,0.133401222,0.161242604,0.330275229,0.465648855,0.219653179,0.286956522,0.176470588,0.25,0.302973978,0.286476868,0.222222222,0.028571429,0.025,0.03030303,0.538461538,0.030172414,0.11,0,0,0,0,0,0,0.111587983,0.038,0.301967494,0.266211604,0
0,0.025547445,0,0,0.090909091,0,0,0.111111111,0.01826484,0.025641026,0.044806517,0.066568047,0.04587156,0.007633588,0.01734104,0.008695652,0,0,0.066914498,0.019572954,0.592592593,0.142857143,0.2,0.196969697,0.384615385,0.051724138,0.27,0,0.115384615,0,0,0.111111111,0,0.283261803,0.076,0.51924722,0.47440273,0.429
0,0.025547445,0,0,0.090909091,0,0,0.111111111,0.01826484,0.025641026,0.044806517,0.066568047,0.04587156,0.007633588,0.01734104,0.008695652,0,0,0.066914498,0.019572954,0.592592593,0.142857143,0.2,0.196969697,0.384615385,0.051724138,0.27,0,0.115384615,0,0,0.111111111,0,0.283261803,0.076,0.51924722,0.47440273,0.429
0.84375,0.621834125,0.285714286,0.214285714,0,0,0.222222222,0,0.219178082,0.269230769,0.235234216,0.270710059,0.28440367,0.419847328,0.23699422,0.339130435,0.529411765,0.291666667,0.382899628,0.685053381,0.012345679,0,0,0,0.557692308,0.021551724,0,0,0,0,0,0,0,0,0,0.317365269,0.249146758,0.313
0.84375,0.621834125,0.285714286,0.214285714,0,0,0.222222222,0,0.219178082,0.269230769,0.235234216,0.270710059,0.28440367,0.419847328,0.23699422,0.339130435,0.529411765,0.291666667,0.382899628,0.685053381,0.049382716,0,0,0,0.576923077,0.00862069,0,0,0,0,0,0,0,0.012875536,0,0.196749358,0.194539249,0.5
0.71875,0.735144271,0.071428571,0.357142857,0.181818182,0,0.444444444,0.222222222,0.360730594,0.423076923,0.512219959,0.587278107,0.211009174,0.679389313,0.786127168,0.8,0.529411765,0.208333333,0.579925651,0.71886121,0.049382716,0,0.025,0.015151515,0.596153846,0.00862069,0.2,0,0,0,0,0,0,0.012875536,0,0.552609068,0.433447099,0
0.71875,0.735144271,0.071428571,0.357142857,0.181818182,0,0.444444444,0.222222222,0.360730594,0.423076923,0.512219959,0.587278107,0.211009174,0.679389313,0.786127168,0.8,0.529411765,0.208333333,0.579925651,0.71886121,0.098765432,0,0.05,0.03030303,0.519230769,0.017241379,0.22,0,0,0,0,0,0,0.034334764,0,0.799828914,0.764505119,0
0.71875,0.735144271,0.071428571,0.357142857,0.181818182,0,0.444444444,0.222222222,0.360730594,0.423076923,0.512219959,0.587278107,0.211009174,0.679389313,0.786127168,0.8,0.529411765,0.208333333,0.579925651,0.71886121,0.061728395,0,0,0,0.557692308,0,0,0,0,0,0,0,0,0.012875536,0,0.765611634,0.699658703,0
0.875,0.474256601,0.214285714,0.071428571,0,0,0.111111111,0,0.383561644,0.371794872,0.219959267,0.224852071,0.275229358,0.480916031,0.248554913,0.234782609,0.705882353,0.583333333,0.395910781,0.332740214,0.024691358,0,0,0,0.5,0.017241379,0,0,0,0,0,0,0,0.030042918,0,0.410607357,0.375426621,0
0.71875,0.735144271,0.071428571,0.357142857,0.181818182,0,0.444444444,0.222222222,0.360730594,0.423076923,0.512219959,0.587278107,0.211009174,0.679389313,0.786127168,0.8,0.529411765,0.208333333,0.579925651,0.71886121,0.098765432,0,0.05,0.03030303,0.519230769,0.017241379,0.22,0,0,0,0,0,0,0.034334764,0,0.799828914,0.764505119,0
0.71875,0.735144271,0.071428571,0.357142857,0.181818182,0,0.444444444,0.222222222,0.360730594,0.423076923,0.512219959,0.587278107,0.211009174,0.679389313,0.786127168,0.8,0.529411765,0.208333333,0.579925651,0.71886121,0.061728395,0,0,0,0.557692308,0,0,0,0,0,0,0,0,0.012875536,0,0.765611634,0.699658703,0
0.875,0.474256601,0.214285714,0.071428571,0,0,0.111111111,0,0.383561644,0.371794872,0.219959267,0.224852071,0.275229358,0.480916031,0.248554913,0.234782609,0.705882353,0.583333333,0.395910781,0.332740214,0.024691358,0,0,0,0.5,0.017241379,0,0,0,0,0,0,0,0.030042918,0,0.410607357,0.375426621,0
0.75,0.674251702,0.714285714,0.428571429,0.363636364,0,0.222222222,0.444444444,0.365296804,0.41025641,0.357433809,0.340236686,0.467889908,0.320610687,0.294797688,0.182608696,0.470588235,0.208333333,0.55204461,0.496441281,0.074074074,0.028571429,0.025,0.03030303,0.576923077,0.00862069,0.29,0,0,0,0,0,0,0.042918455,0.1,0.469632164,0.416382253,0
0.6875,0.48873267,0.571428571,0.285714286,0.363636364,0,0.444444444,0.444444444,0.305936073,0.320512821,0.219959267,0.24408284,0.449541284,0.27480916,0.346820809,0.182608696,0.352941176,0.25,0.394052045,0.362989324,0.271604938,0.028571429,0.025,0.03030303,0.442307692,0.11637931,0.09,0,0,0,0,0,0,0.124463519,0.034,0.5106929,0.43003413,0.425
0.75,0.674251702,0.714285714,0.428571429,0.363636364,0,0.222222222,0.444444444,0.365296804,0.41025641,0.357433809,0.340236686,0.467889908,0.320610687,0.294797688,0.182608696,0.470588235,0.208333333,0.55204461,0.496441281,0.111111111,0,0.025,0.015151515,0.480769231,0.017241379,0.1,0,0,0,0,0,0,0.038626609,0,0.520958084,0.412969283,0.511
0.6875,0.48873267,0.571428571,0.285714286,0.363636364,0,0.444444444,0.444444444,0.305936073,0.320512821,0.219959267,0.24408284,0.449541284,0.27480916,0.346820809,0.182608696,0.352941176,0.25,0.394052045,0.362989324,0.271604938,0.028571429,0.025,0.03030303,0.442307692,0.11637931,0.09,0,0,0,0,0,0,0.124463519,0.034,0.5106929,0.43003413,0.425
0.75,0.674251702,0.714285714,0.428571429,0.363636364,0,0.222222222,0.444444444,0.365296804,0.41025641,0.357433809,0.340236686,0.467889908,0.320610687,0.294797688,0.182608696,0.470588235,0.208333333,0.55204461,0.496441281,0.111111111,0,0.025,0.015151515,0.480769231,0.017241379,0.1,0,0,0,0,0,0,0.038626609,0,0.520958084,0.412969283,0.511
0.75,0.509258806,0.142857143,0,0.181818182,0,0,0.111111111,0.296803653,0.352564103,0.178207739,0.214497041,0.376146789,0.534351145,0.248554913,0.260869565,0.647058824,0.375,0.343866171,0.631672598,0.12345679,0,0,0,0.576923077,0.103448276,0,0,0,0,0,0,0,0.025751073,0,0.219846022,0.215017065,0
0.75,0.509258806,0.142857143,0,0.181818182,0,0,0.111111111,0.296803653,0.352564103,0.178207739,0.214497041,0.376146789,0.534351145,0.248554913,0.260869565,0.647058824,0.375,0.343866171,0.631672598,0.641975309,0.228571429,0.05,0.151515152,0.538461538,0.418103448,0.19,0,0,0,0,0,0,0.214592275,0.16,0.329341317,0.293515358,0.5
0.75,0.509258806,0.142857143,0,0.181818182,0,0,0.111111111,0.296803653,0.352564103,0.178207739,0.214497041,0.376146789,0.534351145,0.248554913,0.260869565,0.647058824,0.375,0.343866171,0.631672598,0.024691358,0,0,0,0.576923077,0.073275862,0,0,0,0,0,0,0,0.017167382,0,0.276304534,0.327645051,1
0.75,0.509258806,0.142857143,0,0.181818182,0,0,0.111111111,0.296803653,0.352564103,0.178207739,0.214497041,0.376146789,0.534351145,0.248554913,0.260869565,0.647058824,0.375,0.343866171,0.631672598,0.024691358,0,0,0,0.576923077,0.073275862,0,0,0,0,0,0,0,0.017167382,0,0.276304534,0.327645051,1
0.75,0.428378974,0.071428571,0.071428571,0,0,0.111111111,0,0.168949772,0.185897436,0.218940937,0.221893491,0.403669725,0.297709924,0.242774566,0.12173913,0.411764706,0.125,0.410780669,0.338078292,0.12345679,0.028571429,0.025,0.03030303,0.596153846,0.025862069,0.18,0,0,0,0,0,0,0.025751073,0.167,0.334473909,0.310580205,0
0.75,0.428378974,0.071428571,0.071428571,0,0,0.111111111,0,0.168949772,0.185897436,0.218940937,0.221893491,0.403669725,0.297709924,0.242774566,0.12173913,0.411764706,0.125,0.410780669,0.338078292,0.024691358,0,0,0,0.538461538,0,0,0,0,0,0,0,0,0.004291845,0,0.237810094,0.204778157,0
0.75,0.428378974,0.071428571,0.071428571,0,0,0.111111111,0,0.168949772,0.185897436,0.218940937,0.221893491,0.403669725,0.297709924,0.242774566,0.12173913,0.411764706,0.125,0.410780669,0.338078292,0,0,0,0,0.576923077,0,0,0,0,0,0,0,0,0.004291845,0,0.100940975,0.078498294,0
