#,PLAYER,TEAM,GP,G,A,TP,PPG,PIM,Plus/Minus
356,Shayne Gwinner(D),Moose Jaw Warriors,51,2,9,11,0.22,51,12
357,Braeden Laroque(D),Seattle Thunderbirds,64,2,9,11,0.17,31,-25
358,Matthew Pufahl(D),totals,44,1,10,11,0.25,21,2
,,Red Deer Rebels,30,1,3,4,0.13,14,-1
,,Saskatoon Blades,14,0,7,7,0.5,7,3
359,Luke Fenske(D),totals,58,1,10,11,0.19,92,6
,,Vancouver Giants,31,0,6,6,0.19,40,6
,,Regina Pats,27,1,4,5,0.19,52,0
360,Art Bidlevskii(D),Regina Pats,69,0,11,11,0.16,124,13
361,Jon Martin(C/RW),Kootenay Ice,59,6,4,10,0.17,52,-11
362,Zach McPhee(RW),Everett Silvertips,34,5,5,10,0.29,28,6
363,Dryden Hunt(LW),Regina Pats,62,5,5,10,0.16,28,-3
364,Marc McCoy(C),Red Deer Rebels,63,5,5,10,0.16,51,-1
365,Colton Heffley(C),Kelowna Rockets,55,4,6,10,0.18,68,-16
366,Graeme Craig(D),Swift Current Broncos,56,4,6,10,0.18,65,-8
367,Levi Cable(LW),Kootenay Ice,56,3,7,10,0.18,13,-5
368,Sam Grist(D),Tri-City Americans,57,3,7,10,0.18,94,27
369,Ayrton Nikkel(D),Brandon Wheat Kings,59,3,7,10,0.17,72,-13
370,Wes Vannieuwenhuizen(D),Vancouver Giants,69,3,7,10,0.14,152,-2
,.,,,,,,,,
371,Locke Muller(RW),totals,54,2,8,10,0.19,87,-5
,,Red Deer Rebels,29,1,5,6,0.21,47,-4
,,Saskatoon Blades,25,1,3,4,0.16,40,-1
372,Kyle Schmidt(D),Saskatoon Blades,61,2,8,10,0.16,36,8
373,Tanner Muth(D),totals,71,1,9,10,0.14,61,-11
,,Swift Current Broncos,38,1,3,4,0.11,30,-13
,,Kootenay Ice,33,0,6,6,0.18,31,2
374,Spencer Main(C),Kelowna Rockets,12,5,4,9,0.75,12,-3
375,Brendan Hurley(LW),totals,49,5,4,9,0.18,62,-1
,,Kootenay Ice,26,3,3,6,0.23,29,0
,,Medicine Hat Tigers,23,2,1,3,0.13,33,-1
376,Joey Baker(RW),Portland Winterhawks,68,4,5,9,0.13,50,-8
