#,PLAYER,TEAM,GP,G,A,TP,PPG,PIM,#ERROR!
441,Jordan Henderson(D),Spokane Chiefs,43,0,4,4,0.09,14,-7
442,Brennan Riddle(D),Prince Albert Raiders,50,0,4,4,0.08,48,6
443,Tyler Thompson(RW),Victoria Royals,8,2,1,3,0.38,7,3
444,Jordan Roy(C/LW),Tri-City Americans,34,2,1,3,0.09,20,-4
445,Arthur Miller(LW),Swift Current Broncos,39,2,1,3,0.08,39,-2
446,Brandan Arnold(RW),Swift Current Broncos,42,2,1,3,0.07,19,-8
447,James Hamblin(C/LW),Medicine Hat Tigers,54,2,1,3,0.06,14,-19
448,Owen Seidel(RW),totals,25,1,2,3,0.12,4,-5
,,Swift Current Broncos,7,0,0,0,0,0,-3
,,Seattle Thunderbirds,18,1,2,3,0.17,4,-2
449,Aaron Hyman(D),Calgary Hitmen,38,1,2,3,0.08,13,-3
450,Jack Flaman(C),Vancouver Giants,42,1,2,3,0.07,12,-17
451,Hayden Ostir(C/RW),Spokane Chiefs,53,1,2,3,0.06,6,-18
452,Brett Clayton(LW),Portland Winterhawks,57,1,2,3,0.05,36,0
453,Caiden Daley(C),Brandon Wheat Kings,5,0,3,3,0.6,4,-1
454,Ty Westgard(C/RW),Victoria Royals,21,0,3,3,0.14,10,2
455,Ryan Jones(D),Vancouver Giants,43,0,3,3,0.07,8,-13
456,Austin Shmoorkoff(D),Red Deer Rebels,64,0,3,3,0.05,16,10
457,Robert Holmes(LW),Regina Pats,2,2,0,2,1,0,2
458,Carson Miller(F),Prince Albert Raiders,3,2,0,2,0.67,0,2
459,Conor MacEachern(D),Portland Winterhawks,46,2,0,2,0.04,10,-9
460,Elijah Brown(C),Seattle Thunderbirds,2,1,1,2,1,0,0
461,Carl Ericson(C/RW),Portland Winterhawks,3,1,1,2,0.67,2,2
462,Chaseton Braid(C),totals,6,1,1,2,0.33,6,-2
,,Saskatoon Blades,3,1,1,2,0.67,2,0
,,Kamloops Blazers,3,0,0,0,0,4,-2
463,Josh McNeil(F),Medicine Hat Tigers,6,1,1,2,0.33,0,3
464,Ryely McKinstry(D),Vancouver Giants,11,1,1,2,0.18,4,2
465,Haydn Hopkins(C),totals,18,1,1,2,0.11,2,-4
,,Prince George Cougars,2,0,1,1,0.5,0,1
,,Vancouver Giants,16,1,0,1,0.06,2,-5
466,Brendan Semchuk(RW),Vancouver Giants,28,1,1,2,0.07,8,-8
467,Chance Patterson(D),Edmonton Oil Kings,29,1,1,2,0.07,16,-15
468,Austin Gray(RW),totals,32,1,1,2,0.06,13,-5
,,Portland Winterhawks,2,0,0,0,0,0,2
,,Kootenay Ice,30,1,1,2,0.07,13,-7
469,Jordan Wharrie(D),Victoria Royals,34,1,1,2,0.06,19,3
470,Blake Bargar(F),Moose Jaw Warriors,60,1,1,2,0.03,42,-12
471,Ty Smith(D),Spokane Chiefs,2,0,2,2,1,0,5
472,Drayton Thunder Chief(LW),Lethbridge Hurricanes,4,0,2,2,0.5,0,1
473,Cody Paivarinta(D),Prince Albert Raiders,24,0,2,2,0.08,12,1
474,James Malm(LW),Vancouver Giants,25,0,2,2,0.08,2,-2
475,Tristen Elder(RW),Swift Current Broncos,38,0,2,2,0.05,15,-3
476,Anthony Bishop(D),Saskatoon Blades,40,0,2,2,0.05,21,-13
477,Tristen Nielsen(C),Calgary Hitmen,3,1,0,1,0.33,0,0
478,Ty Mappin(C),Prince Albert Raiders,3,1,0,1,0.33,0,0
479,Reed Morison(C),Kootenay Ice,4,1,0,1,0.25,0,-2
480,Baxter Anderson(F),Medicine Hat Tigers,6,1,0,1,0.17,2,2
481,Ty Comrie(C),Vancouver Giants,8,1,0,1,0.13,0,0
482,Jared Pelechaty(D),Seattle Thunderbirds,9,1,0,1,0.11,4,-2
483,Cole Johnson(C),Swift Current Broncos,9,1,0,1,0.11,2,-7
484,Nathyn Mortlock(D/F),Kootenay Ice,11,1,0,1,0.09,10,-3
485,Jordan Ross(RW/C),Prince George Cougars,13,1,0,1,0.08,2,0
486,Taden Rattie(RW),Red Deer Rebels,25,1,0,1,0.04,39,-3
487,Luka Zorko(D),Prince George Cougars,26,1,0,1,0.04,6,0
488,Tanner Nagel(RW),Portland Winterhawks,38,1,0,1,0.03,32,-8
489,Cole Fonstad(C/LW),Prince Albert Raiders,2,0,1,1,0.5,0,1
490,Garrett Sambrook(D),Brandon Wheat Kings,2,0,1,1,0.5,0,0
491,Luke Zazula(D),Kamloops Blazers,3,0,1,1,0.33,0,-2
492,Luke Ormsby(F),Seattle Thunderbirds,4,0,1,1,0.25,2,1
493,Sean Mallonee(C),Everett Silvertips,4,0,1,1,0.25,2,-1
494,Cole Clayton(D),Medicine Hat Tigers,4,0,1,1,0.25,4,-3
495,Eli Lieffers(F),Kootenay Ice,5,0,1,1,0.2,2,-3
496,Jett Woo(D),Moose Jaw Warriors,7,0,1,1,0.14,2,-3
