@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1-2,4,9,24-26-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute DraftAge numeric
@attribute country_group {USA,CAN,EURO}
@attribute Height numeric
@attribute Weight numeric
@attribute Position {D,L,C,R}
@attribute CSS_rank numeric
@attribute rs_GP numeric
@attribute rs_G numeric
@attribute rs_A numeric
@attribute rs_P numeric
@attribute rs_PIM numeric
@attribute rs_PlusMinus numeric
@attribute po_GP numeric
@attribute po_G numeric
@attribute po_A numeric
@attribute po_P numeric
@attribute po_PIM numeric
@attribute po_PlusMinus numeric
@attribute sum_7yr_GP numeric

@data
0,EURO,0.625,0.352941,R,0.048387,0.473684,0.128205,0.064815,0.086486,0.102041,0.357798,0.107143,0.045455,0,0.021739,0,0.230769,135
0,EURO,0.625,0.235294,C,0.133065,0.513158,0.192308,0.138889,0.156757,0.054422,0.440367,?,?,?,?,?,?,141
0,EURO,0.625,0.411765,R,0.032258,0.578947,0.217949,0.175926,0.189189,0.360544,0.357798,?,?,?,?,?,?,145
0.222222,CAN,0.75,0.670588,D,?,0.828947,0.051282,0.092593,0.07027,0.465986,0.504587,0.142857,0,0.041667,0.021739,0.142857,0.230769,147
0.222222,EURO,0.5625,0.270588,D,0.096774,0.736842,0.089744,0.055556,0.064865,0.102041,0.357798,0.25,0,0.041667,0.021739,0.071429,0.230769,150
0,CAN,0.625,0.388235,C,0.012097,0.868421,0.230769,0.305556,0.27027,0.496599,0.412844,0.178571,0.090909,0.166667,0.130435,0.214286,0.230769,163
0.222222,CAN,0.5625,0.447059,L,?,0.539474,0.5,0.259259,0.356757,0.217687,0.357798,0.571429,0.772727,0.375,0.565217,0.446429,0.230769,176
0,EURO,0.5625,0.282353,R,0.16129,0.513158,0.192308,0.092593,0.12973,0.312925,0.376147,?,?,?,?,?,?,189
0,EURO,0.5625,0.364706,C,0.03629,0.723684,0.128205,0.055556,0.081081,0.068027,0.357798,0.107143,0,0.041667,0.021739,0,0.230769,189
0.111111,USA,0.4375,0.411765,R,0.423387,0.486842,0.102564,0.027778,0.054054,0.173469,0.357798,?,?,?,?,?,?,192
0.222222,CAN,0.5,0.294118,L,?,0.776316,0.24359,0.287037,0.264865,0.914966,0.568807,0.5,0.318182,0.541667,0.434783,0.589286,1,197
0,CAN,0.625,0.647059,D,0.072581,0.881579,0.012821,0.083333,0.048649,0.653061,0.284404,0.357143,0,0.083333,0.043478,0.178571,0.230769,197
0.111111,USA,0.4375,0.176471,D,0.572581,0.407895,0.320513,0.287037,0.297297,0.07483,0.311927,?,?,?,?,?,?,200
0.111111,CAN,0.4375,0.235294,C,0.387097,0.263158,0.320513,0.324074,0.318919,0.142857,0.357798,?,?,?,?,?,?,204
0,USA,0.5625,0.329412,R,0.645161,0.815789,0.179487,0.111111,0.135135,0.421769,0.302752,?,?,?,?,?,?,204
0.111111,USA,0.4375,0.352941,D,0.604839,0.552632,0.012821,0.111111,0.064865,0.210884,0.357798,?,?,?,?,?,?,215
0,EURO,0.5625,0.270588,L,0.044355,0.486842,0.217949,0.111111,0.151351,0.07483,0.357798,0.25,0.227273,0.208333,0.217391,0.357143,0.230769,218
0,CAN,0.5,0.2,C,0.270161,0.881579,0.230769,0.166667,0.189189,0.136054,0.311927,0.321429,0.090909,0.083333,0.086957,0.142857,0.230769,220
0,CAN,0.5,0.164706,C,0.028226,0.789474,0.474359,0.259259,0.345946,0.197279,0.357798,0.5,0.136364,0.416667,0.282609,0.321429,0.230769,221
0.222222,USA,0.625,0.235294,D,0.21371,0.513158,0.038462,0.12963,0.086486,0.115646,0.357798,?,?,?,?,?,?,224
0,EURO,0.625,0.764706,D,0.193548,0.710526,0.051282,0.055556,0.048649,0.190476,0.357798,?,?,?,?,?,?,227
0,EURO,0.5,0.329412,D,0.153226,0.552632,0.064103,0.092593,0.075676,0.136054,0.357798,0.035714,0,0.041667,0.021739,0.071429,0.230769,233
0.111111,CAN,0.6875,0.529412,R,0.41129,0.881579,0.294872,0.222222,0.248649,0.377551,0.495413,0.321429,0.136364,0,0.065217,0.214286,0.230769,238
0,USA,0.8125,0.647059,R,0.064516,0.605263,0.564103,0.5,0.524324,0.115646,0.357798,0.071429,0.272727,0.208333,0.23913,0,0.230769,244
0.222222,EURO,0.4375,0.188235,C,?,0.657895,0.153846,0.138889,0.140541,0.115646,0.357798,0.142857,0,0,0,0.071429,0.230769,245
0,CAN,0.5625,0.376471,L,0.258065,0.921053,0.128205,0.194444,0.162162,0.438776,0.477064,0.714286,0.181818,0.083333,0.130435,0.517857,0.230769,245
0,CAN,0.4375,0.070588,R,?,0.921053,0.205128,0.305556,0.259459,0.302721,0.311927,?,?,?,?,?,?,250
0,CAN,0.4375,0.176471,C,0.334677,0.763158,0.205128,0.222222,0.210811,0.095238,0.321101,?,?,?,?,?,?,266
0,CAN,0.6875,0.623529,D,0.004032,0.894737,0.269231,0.407407,0.345946,0.391156,0.513761,0.821429,0.136364,0.458333,0.304348,0.5,0.230769,271
0.111111,EURO,0.75,0.705882,D,0.229839,0.381579,0.012821,0,0,0.108844,0.357798,0.035714,0,0,0,0,0.230769,281
0.111111,CAN,0.625,0.423529,L,0.399194,0.434211,0.051282,0.074074,0.059459,0.040816,0.357798,?,?,?,?,?,?,282
0.111111,USA,0.375,0.2,R,0.306452,0.868421,0.474359,0.287037,0.362162,0.319728,0.513761,0.857143,0.636364,0.375,0.5,0.5,0.384615,284
0,EURO,0.5,0.188235,C,0.080645,0.684211,0.333333,0.361111,0.345946,0.12585,0.357798,0.214286,0.136364,0.25,0.195652,0.071429,0.230769,298
0.222222,USA,0.5,0.494118,L,0.104839,0.407895,0.102564,0.083333,0.086486,0.108844,0.357798,?,?,?,?,?,?,303
0,EURO,0.6875,0.517647,D,?,0.328947,0.038462,0.064815,0.048649,0.088435,0.357798,?,?,?,?,?,?,304
0,USA,0.625,0.564706,C,0.330645,0.868421,0.384615,0.425926,0.405405,0.465986,0.321101,0.142857,0,0.083333,0.043478,0.107143,0.230769,316
0.111111,USA,0.625,0.517647,R,0.024194,0.486842,0.141026,0.194444,0.167568,0.108844,0.357798,?,?,?,?,?,?,317
0,CAN,0.875,0.552941,D,0.044355,0.973684,0.141026,0.203704,0.172973,0.119048,0.614679,0.214286,0.045455,0.041667,0.043478,0,0.230769,319
0,EURO,0.75,0.470588,D,0.012097,0.789474,0.076923,0.101852,0.086486,0.316327,0.357798,0.142857,0.090909,0.041667,0.065217,0.178571,0.230769,331
0.111111,EURO,0.625,0.529412,L,0.008065,0.473684,0.051282,0.101852,0.075676,0.054422,0.357798,0.214286,0.090909,0.041667,0.065217,0.071429,0.230769,349
0,EURO,0.6875,0.294118,C,0.004032,0.565789,0.115385,0.138889,0.124324,0.173469,0.357798,?,?,?,?,?,?,352
1,EURO,0.4375,0.247059,D,?,0.657895,0.166667,0.212963,0.189189,0.272109,0.357798,0.428571,0.227273,0.083333,0.152174,0.25,0.230769,361
0.111111,CAN,0.5625,0.435294,D,0.032258,0.710526,0.179487,0.212963,0.194595,0.312925,0.357798,?,?,?,?,?,?,366
0,EURO,0.6875,0.529412,L,0.016129,0.802632,0.371795,0.361111,0.362162,0.102041,0.394495,0.392857,0.227273,0.125,0.173913,0.142857,0.038462,393
0.777778,EURO,0.75,0.729412,R,?,0.578947,0.153846,0.148148,0.145946,0.088435,0.357798,0.142857,0,0.041667,0.021739,0.142857,0.230769,395
0.222222,CAN,0.5,0.352941,D,?,0.815789,0.25641,0.407407,0.340541,0.22449,0.330275,0.25,0,0.25,0.130435,0.285714,0.115385,397
0.111111,CAN,0.6875,0.352941,L,0,0.868421,0.384615,0.398148,0.389189,0.404762,0.715596,0.214286,0.045455,0.25,0.152174,0.178571,0.230769,402
0.111111,CAN,0.625,0.176471,C,0.056452,0.710526,0.551282,0.62037,0.589189,0.37415,0.357798,0.464286,0.454545,0.541667,0.5,0.178571,0.230769,408
0.111111,EURO,0.625,0.623529,D,0.020161,0.171053,0.038462,0.018519,0.021622,0.047619,0.357798,0.464286,0.136364,0.041667,0.086957,0.035714,0.230769,460
0.111111,EURO,0.6875,0.811765,L,0,0.789474,0.24359,0.111111,0.162162,0.136054,0.357798,0.071429,0,0,0,0.035714,0.230769,475
0.222222,EURO,0.625,0.164706,L,?,0.684211,0.179487,0.277778,0.232432,0.207483,0.302752,0.142857,0.045455,0.083333,0.065217,0.089286,0.230769,1
0,EURO,0.5,0.211765,C,0.084677,0.539474,0.179487,0.25,0.216216,0.013605,0.357798,0.321429,0.318182,0.416667,0.369565,0.071429,0.230769,1
0.111111,CAN,0.375,0.129412,R,0.548387,0.723684,0.461538,0.333333,0.383784,0.180272,0.357798,?,?,?,?,?,?,1
0,CAN,0.625,0.470588,L,0.306452,0.855263,0.179487,0.083333,0.118919,0.377551,0.321101,0.392857,0.090909,0.333333,0.217391,0.375,0.230769,1
0.111111,CAN,0.5625,0.176471,D,0.350806,0.394737,0.038462,0.101852,0.07027,0.122449,0.357798,?,?,?,?,?,?,1
0,CAN,0.5,0.376471,C,0.193548,0.184211,0.051282,0.018519,0.027027,0.027211,0.366972,?,?,?,?,?,?,1
0,CAN,0.6875,0.576471,D,0.080645,0.881579,0.076923,0.12963,0.102703,0.156463,0.59633,0.392857,0.045455,0.083333,0.065217,0.071429,0.230769,1
0,EURO,0.6875,0.305882,R,0.116935,0.539474,0.102564,0.111111,0.102703,0.136054,0.357798,0.178571,0.136364,0.041667,0.086957,0,0.230769,2
0.222222,USA,0.625,0.211765,D,?,0.434211,0.089744,0.194444,0.145946,0.176871,0.357798,?,?,?,?,?,?,2
0,CAN,0.625,0,D,0.629032,0.592105,0.025641,0.12037,0.075676,0.095238,0.357798,?,?,?,?,?,?,3
0,CAN,0.5,0.258824,C,0.112903,0.881579,0.230769,0.333333,0.286486,0.081633,0.348624,?,?,?,?,?,?,3
0,EURO,0.5625,0.470588,D,0.03629,0.447368,0.038462,0.027778,0.027027,0.136054,0.357798,?,?,?,?,?,?,4
0.111111,USA,0.6875,0.647059,L,0.366935,0.776316,0.512821,0.222222,0.340541,0.367347,0.614679,0.428571,0.227273,0.083333,0.152174,0.464286,0.230769,4
0.111111,CAN,0.625,0.341176,C,0.181452,0.763158,0.358974,0.37963,0.367568,0.187075,0.394495,0.142857,0.090909,0.041667,0.065217,0.035714,0.153846,4
0,USA,1,0.882353,D,0.125,0.657895,0.038462,0.074074,0.054054,0.615646,0.192661,?,?,?,?,?,?,5
0,CAN,0.75,0.705882,R,0.16129,0.342105,0.012821,0.027778,0.016216,0.251701,0.321101,?,?,?,?,?,?,5
0,EURO,0.5,0.176471,C,?,0.842105,0.346154,0.212963,0.264865,0.329932,0.357798,?,?,?,?,?,?,6
0.111111,EURO,0.625,0.435294,L,0.133065,0.815789,0.410256,0.240741,0.308108,0.197279,0.357798,?,?,?,?,?,?,7
0.111111,USA,0.625,0.294118,D,0.282258,0.842105,0.153846,0.305556,0.237838,0.061224,0.220183,0.035714,0,0,0,0,0.230769,8
0,USA,0.4375,0.235294,C,0.455645,0.565789,0.064103,0.083333,0.07027,0.316327,0.357798,?,?,?,?,?,?,9
0,USA,0.4375,0.329412,C,0.725806,0.763158,0.410256,0.351852,0.372973,0.108844,0.266055,?,?,?,?,?,?,9
0.111111,USA,0.625,0.294118,R,0.100806,0.710526,0.25641,0.259259,0.254054,0.139456,0.376147,0.464286,0.136364,0.166667,0.152174,0.357143,0.153846,9
0,CAN,0.75,0.552941,D,0.544355,0.736842,0.012821,0.037037,0.021622,0.5,0.46789,0.178571,0,0,0,0.071429,0.076923,10
0,EURO,0.5625,0.364706,R,0.028226,0.552632,0.25641,0.111111,0.167568,0.588435,0.357798,0.035714,0.090909,0,0.043478,0.446429,0.230769,11
0,EURO,0.5,0.482353,C,0.024194,0.473684,0.115385,0.055556,0.075676,0.122449,0.357798,?,?,?,?,?,?,11
0,CAN,0.375,0.435294,L,0.552419,0.907895,0.294872,0.12037,0.189189,0.391156,0.366972,?,?,?,?,?,?,14
0,EURO,1,0.894118,D,0.044355,0.657895,0.115385,0.083333,0.091892,0.231293,0.357798,0.178571,0,0.041667,0.021739,0.035714,0.230769,15
0,USA,0.625,0.235294,C,0.233871,0.421053,0.461538,0.314815,0.372973,0.095238,0.366972,0.107143,0,0.083333,0.043478,0,0.192308,17
0,EURO,0.5625,0.529412,D,0.076613,0.539474,0.064103,0.046296,0.048649,0.129252,0.357798,0,0,0,0,0,0.230769,17
