@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1-2,4,9,24-26-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute DraftAge numeric
@attribute country_group {CAN,EURO,USA}
@attribute Height numeric
@attribute Weight numeric
@attribute Position {D,R,C,L}
@attribute CSS_rank numeric
@attribute rs_GP numeric
@attribute rs_G numeric
@attribute rs_A numeric
@attribute rs_P numeric
@attribute rs_PIM numeric
@attribute rs_PlusMinus numeric
@attribute po_GP numeric
@attribute po_G numeric
@attribute po_A numeric
@attribute po_P numeric
@attribute po_PIM numeric
@attribute po_PlusMinus numeric
@attribute sum_7yr_GP numeric

@data
0.071429,EURO,0.666667,0.658824,D,0.033654,0.716667,0.109589,0.388889,0.273885,0.075157,0.220588,0.172414,0.047619,0.115385,0.086957,0.033333,0,404
0.428571,EURO,0.416667,0.470588,D,?,0.566667,0.164384,0.2,0.191083,0.14405,0.220588,0.37931,0.095238,0.192308,0.152174,0.116667,0,420
0,CAN,0.75,0.529412,C,0,0.7,0.616438,0.788889,0.738854,0.25261,0.220588,0.586207,0.714286,1,0.891304,0.383333,0,467
0.071429,CAN,0.416667,0.270588,C,0.283654,0.816667,0.547945,0.377778,0.471338,0.070981,0.220588,0.172414,0.095238,0.038462,0.065217,0.033333,0,1
0.071429,CAN,0.416667,0.176471,D,0.913462,0.6,0.369863,0.5,0.458599,0,0.220588,?,?,?,?,?,?,1
0.071429,CAN,0.833333,0.694118,D,0.115385,0.616667,0.027397,0.166667,0.10828,0.361169,0.220588,0.137931,0,0,0,0.166667,0,1
0.071429,CAN,0.583333,0.329412,L,0.153846,0.733333,0.424658,0.477778,0.471338,0.194154,0.220588,0.448276,0.333333,0.269231,0.304348,0.083333,0,1
0.142857,EURO,0.333333,0.141176,L,0.264423,0.05,0.232877,0.055556,0.140127,0.05428,0.220588,0.310345,0.095238,0.038462,0.065217,0,0,1
0,CAN,0.5,0.470588,D,0.096154,0.616667,0.068493,0.2,0.146497,0.194154,0.220588,0.413793,0.095238,0.076923,0.086957,0.108333,0,1
0,CAN,0.666667,0.447059,L,0.514423,0.733333,0.205479,0.233333,0.229299,0.258873,0.220588,0.724138,0.095238,0.076923,0.086957,0.066667,0,1
0.071429,CAN,0.416667,0.235294,C,0.052885,0.633333,0.534247,0.533333,0.55414,0.175365,0.220588,?,?,?,?,?,?,2
0,CAN,0.666667,0.611765,D,0.201923,0.75,0.027397,0.122222,0.082803,0.240084,0.220588,0.827586,0.047619,0.269231,0.173913,0.2,0,2
0,USA,0.25,0.352941,L,?,0.7,0.232877,0.155556,0.197452,0.129436,0.220588,0.344828,0.142857,0.230769,0.195652,0.125,0,2
0.142857,CAN,0.166667,0,R,0.677885,0.3,0.424658,0.322222,0.382166,0.070981,0.220588,?,?,?,?,?,?,2
0,CAN,0.5,0.564706,D,0.129808,0.733333,0.109589,0.211111,0.171975,0.265136,0.220588,0.448276,0.190476,0.346154,0.282609,0.133333,0,3
0,EURO,0.666667,0.588235,L,0.033654,0.45,0.150685,0.1,0.127389,0.112735,0.220588,0.068966,0,0,0,0.033333,0,3
0.214286,EURO,0.5,0.329412,D,?,0.3,0.082192,0.044444,0.063694,0.058455,0.220588,0.413793,0.047619,0.038462,0.043478,0.1,0,3
0.071429,EURO,0.583333,0.647059,D,?,0.816667,0.164384,0.066667,0.11465,0.167015,0.220588,0.103448,0,0,0,0.016667,0,3
0.071429,CAN,0.416667,0,L,?,0.6,0.547945,0.7,0.656051,0.108559,0.220588,?,?,?,?,?,?,3
0.142857,CAN,0.666667,0.470588,D,?,0.7,0.041096,0.188889,0.127389,0.227557,0.220588,0.482759,0.142857,0.230769,0.195652,0.233333,0,4
0,EURO,0.666667,0.4,R,0.153846,0.366667,0.109589,0.133333,0.127389,0.050104,0.220588,?,?,?,?,?,?,5
0.142857,USA,0.166667,0.235294,L,?,0.483333,0.424658,0.344444,0.394904,0.098121,0.220588,0.413793,0.380952,0.076923,0.217391,0.133333,0,7
0,CAN,0.333333,0.435294,C,0.288462,0.75,0.383562,0.355556,0.382166,0.169102,0.220588,0.103448,0.095238,0.038462,0.065217,0.108333,0,9
0,EURO,0.5,0.317647,C,0.322115,0.55,0.328767,0.288889,0.318471,0.050104,0.220588,0.172414,0.190476,0.153846,0.173913,0.033333,0,9
0,EURO,0.666667,0.635294,D,0.221154,0.933333,0.082192,0.1,0.095541,0.331942,0.220588,0.172414,0.047619,0.115385,0.086957,0.291667,0,9
0.071429,USA,0.583333,0.482353,D,0.076923,0.3,0.054795,0.133333,0.101911,0.096033,0.220588,?,?,?,?,?,?,10
0.071429,USA,0.5,0.352941,L,0.0625,0.283333,0.191781,0.211111,0.210191,0.167015,0.220588,?,?,?,?,?,?,10
0,EURO,0.166667,0.176471,L,0.057692,0.333333,0.39726,0.255556,0.33121,0.164927,0.220588,0.034483,0.047619,0.076923,0.065217,0.1,0,13
0.071429,CAN,0.833333,0.882353,D,0.100962,0.616667,0.09589,0.188889,0.152866,1,0.220588,0.413793,0,0.153846,0.086957,0.241667,0,15
0,CAN,0.416667,0,L,0.538462,0.65,0.082192,0.133333,0.11465,0.020877,0.220588,0.655172,0.142857,0.307692,0.23913,0.033333,0,22
0.428571,EURO,0.5,0.423529,D,?,0.883333,0.041096,0.122222,0.089172,0.354906,0.220588,0.068966,0,0.076923,0.043478,0.05,0,23
0,CAN,0.333333,0.129412,C,0.192308,0.75,0.30137,0.711111,0.547771,0.154489,0.220588,0.103448,0.095238,0.153846,0.130435,0.016667,0,24
0,EURO,0.5,0.294118,L,0.168269,0.35,0.246575,0.155556,0.203822,0.052192,0.220588,0.344828,0.190476,0,0.086957,0.2,0,25
0,EURO,1,1,D,0.076923,0.016667,0,0.033333,0.019108,0.048017,0.220588,?,?,?,?,?,?,26
0.142857,EURO,0.5,0.411765,D,0.408654,0.583333,0.082192,0.288889,0.203822,0.131524,0.220588,0.448276,0.095238,0.269231,0.195652,0.066667,0,28
0.142857,CAN,0.583333,0.294118,R,?,0.616667,0.424658,0.411111,0.433121,0.229645,0.691176,0.344828,0.190476,0.115385,0.152174,0.3,0,32
0.142857,EURO,0.666667,0.470588,C,0.365385,0.633333,0.273973,0.277778,0.286624,0.070981,0.220588,0.37931,0.047619,0.115385,0.086957,0.183333,0,33
0.071429,EURO,0.666667,0.823529,D,0.533654,0.616667,0.232877,0.511111,0.401274,0.129436,0.220588,?,?,?,?,?,?,34
0,EURO,0.583333,0.529412,D,0.024038,0.55,0.041096,0.055556,0.050955,0.129436,0.220588,?,?,?,?,?,?,35
0,EURO,0.666667,0.505882,C,0.028846,0.416667,0.109589,0.133333,0.127389,0.104384,0.220588,?,?,?,?,?,?,38
0,CAN,0.5,0.376471,C,0.25,0.816667,0.328767,0.233333,0.286624,0.169102,0.220588,?,?,?,?,?,?,38
0.428571,EURO,0.583333,0.352941,R,?,0.483333,0.315068,0.188889,0.254777,0.154489,0.220588,0.103448,0.095238,0.038462,0.065217,0.016667,0,42
0,EURO,0.333333,0.317647,R,0.091346,0.5,0.561644,0.4,0.490446,0.141962,0.220588,0.172414,0.428571,0.115385,0.26087,0.083333,0,50
0,CAN,0.916667,0.905882,D,0.144231,0.633333,0.013699,0.055556,0.038217,0.269311,0.220588,0.172414,0,0,0,0.05,0,50
0.142857,EURO,0.583333,0.305882,L,?,0.283333,0.260274,0.211111,0.242038,0.100209,0.220588,0.137931,0.190476,0.038462,0.108696,0.033333,0,51
0.071429,USA,0.583333,0.294118,D,0.1875,0.233333,0.041096,0.122222,0.089172,0.05428,0.220588,?,?,?,?,?,?,54
0.142857,USA,0.833333,0.635294,R,0.889423,0.516667,0.410959,0.211111,0.312102,0.263048,0.220588,?,?,?,?,?,?,55
0.142857,USA,0.583333,0.423529,L,0.105769,0.216667,0.232877,0.344444,0.305732,0.066806,0.220588,?,?,?,?,?,?,59
0,CAN,0.75,0.764706,R,0.403846,0.6,0.109589,0.133333,0.127389,0.350731,0.220588,0.103448,0,0,0,0.066667,0,60
0,EURO,0.5,0.423529,L,0.019231,0.683333,0.164384,0.155556,0.165605,0.098121,0.220588,0.172414,0.047619,0.038462,0.043478,0.066667,0,66
0.071429,EURO,0.583333,0.470588,R,0.019231,0.75,0.493151,0.688889,0.624204,0.016701,0.220588,0.37931,0.333333,0.346154,0.347826,0.016667,0,76
0,EURO,0.5,0.4,R,0.004808,0.75,1,0.666667,0.847134,0.083507,0.220588,0.655172,1,0.961538,1,0.15,0,78
0.071429,CAN,0.416667,0.235294,C,0.163462,0.75,0.493151,0.444444,0.484076,0.125261,0.220588,0.827586,0.428571,0.653846,0.565217,0.183333,0,86
