@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1-2,4,9,24-26'

@attribute DraftAge numeric
@attribute country_group {CAN,EURO,USA}
@attribute Height numeric
@attribute Weight numeric
@attribute Position {D,R,C,L}
@attribute CSS_rank numeric
@attribute rs_GP numeric
@attribute rs_G numeric
@attribute rs_A numeric
@attribute rs_P numeric
@attribute rs_PIM numeric
@attribute rs_PlusMinus numeric
@attribute po_GP numeric
@attribute po_G numeric
@attribute po_A numeric
@attribute po_P numeric
@attribute po_PIM numeric
@attribute po_PlusMinus numeric
@attribute sum_7yr_GP numeric

@data
18,USA,70,200,L,?,65,17,15,32,62,0,11,3,6,9,15,0,2
20,CAN,69,170,R,142,41,31,30,61,34,0,?,?,?,?,?,?,2
18,CAN,73,218,D,28,67,8,20,28,127,0,14,4,9,13,16,0,3
18,EURO,75,220,L,8,50,11,10,21,54,0,3,0,0,0,4,0,3
21,EURO,73,198,D,?,41,6,5,11,28,0,13,1,1,2,12,0,3
19,EURO,74,225,D,?,72,12,7,19,80,0,4,0,0,0,2,0,3
19,CAN,72,170,L,?,59,40,64,104,52,0,?,?,?,?,?,?,3
20,CAN,75,210,D,?,65,3,18,21,109,0,15,3,6,9,28,0,4
18,EURO,75,204,R,33,45,8,13,21,24,0,?,?,?,?,?,?,5
20,USA,69,190,L,?,52,31,32,63,47,0,13,8,2,10,16,0,7
18,CAN,71,207,C,61,68,28,33,61,81,0,4,2,1,3,13,0,9
18,EURO,73,197,C,68,56,24,27,51,24,0,6,4,4,8,4,0,9
18,EURO,75,224,D,47,79,6,10,16,159,0,6,1,3,4,35,0,9
19,USA,74,211,D,17,41,4,13,17,46,0,?,?,?,?,?,?,10
19,USA,73,200,L,14,40,14,20,34,80,0,?,?,?,?,?,?,10
18,EURO,69,185,L,13,43,29,24,53,79,0,2,1,2,3,12,0,13
19,CAN,77,245,D,22,60,7,18,25,479,0,13,0,4,4,29,0,15
18,CAN,72,170,L,113,62,6,13,19,10,0,20,3,8,11,4,0,22
24,EURO,73,206,D,?,76,3,12,15,170,0,3,0,2,2,6,0,23
18,CAN,71,181,C,41,68,22,65,87,74,0,4,2,4,6,2,0,24
18,EURO,73,195,L,36,44,18,15,33,25,0,11,4,0,4,24,0,25
18,EURO,79,255,D,17,24,0,4,4,23,0,?,?,?,?,?,?,26
20,EURO,73,205,D,86,58,6,27,33,63,0,14,2,7,9,8,0,28
20,CAN,74,195,R,?,60,31,38,69,110,32,11,4,3,7,36,0,32
20,EURO,75,210,C,77,61,20,26,46,34,0,12,1,3,4,22,0,33
19,EURO,75,240,D,112,60,17,47,64,62,0,?,?,?,?,?,?,34
18,EURO,74,215,D,6,56,3,6,9,62,0,?,?,?,?,?,?,35
18,EURO,75,213,C,7,48,8,13,21,50,0,?,?,?,?,?,?,38
18,CAN,73,202,C,53,72,24,22,46,81,0,?,?,?,?,?,?,38
24,EURO,74,200,R,?,52,23,18,41,74,0,4,2,1,3,2,0,42
18,EURO,71,197,R,20,53,41,37,78,68,0,6,9,3,12,10,0,50
18,CAN,78,247,D,31,61,1,6,7,129,0,6,0,0,0,6,0,50
20,EURO,74,196,L,?,40,19,20,39,48,0,5,4,1,5,4,0,51
19,USA,74,195,D,40,37,3,12,15,26,0,?,?,?,?,?,?,54
20,USA,77,224,R,186,54,30,20,50,126,0,?,?,?,?,?,?,55
20,USA,74,206,L,23,36,17,32,49,32,0,?,?,?,?,?,?,59
18,CAN,76,235,R,85,59,8,13,21,168,0,4,0,0,0,8,0,60
18,EURO,73,206,L,5,64,12,15,27,47,0,6,1,1,2,8,0,66
19,EURO,74,210,R,5,68,36,63,99,8,0,12,7,9,16,2,0,76
18,EURO,73,204,R,2,68,73,61,134,40,0,20,21,25,46,18,0,78
19,CAN,72,190,C,35,68,36,41,77,60,0,25,9,17,26,22,0,86
19,EURO,73,205,C,46,41,0,3,3,8,0,10,0,3,3,2,0,92
18,CAN,75,211,C,7,72,26,47,73,105,0,10,1,10,11,10,0,109
19,EURO,73,194,L,65,50,3,5,8,24,0,4,0,0,0,8,0,111
22,EURO,72,201,R,?,50,21,14,35,32,0,?,?,?,?,?,?,113
18,EURO,78,245,D,75,47,0,4,4,48,0,2,0,0,0,4,0,119
19,CAN,71,185,R,26,66,51,65,116,140,0,10,5,5,10,31,0,125
19,EURO,76,235,D,9,70,5,19,24,106,0,22,0,5,5,37,0,138
19,USA,75,215,D,11,44,5,19,24,77,0,?,?,?,?,?,?,140
18,EURO,72,218,L,9,63,13,10,23,62,0,1,0,0,0,2,0,144
20,CAN,76,227,D,24,39,5,8,13,154,0,?,?,?,?,?,?,147
20,USA,71,193,R,156,35,8,19,27,33,0,?,?,?,?,?,?,153
