@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1-2,4,9,24-26'

@attribute DraftAge numeric
@attribute country_group {USA,CAN,EURO}
@attribute Height numeric
@attribute Weight numeric
@attribute Position {D,L,C,R}
@attribute CSS_rank numeric
@attribute rs_GP numeric
@attribute rs_G numeric
@attribute rs_A numeric
@attribute rs_P numeric
@attribute rs_PIM numeric
@attribute rs_PlusMinus numeric
@attribute po_GP numeric
@attribute po_G numeric
@attribute po_A numeric
@attribute po_P numeric
@attribute po_PIM numeric
@attribute po_PlusMinus numeric
@attribute sum_7yr_GP numeric

@data
20,CAN,73,190,C,226,36,18,16,34,18,0,?,?,?,?,?,?,24
18,CAN,74,202,L,?,58,4,6,10,76,0,?,?,?,?,?,?,26
20,CAN,76,194,L,?,76,25,35,60,115,14,22,5,11,16,24,0,26
19,EURO,74,220,L,67,58,16,20,36,92,0,2,0,0,0,12,0,32
18,USA,68,174,L,74,31,37,53,90,96,0,?,?,?,?,?,?,33
20,CAN,73,200,C,78,37,14,17,31,23,0,?,?,?,?,?,?,34
19,CAN,76,208,R,?,67,29,36,65,56,11,7,5,3,8,11,0,36
19,CAN,73,218,R,?,62,2,3,5,198,-9,4,0,0,0,6,0,37
18,EURO,76,217,D,46,34,3,8,11,22,0,?,?,?,?,?,?,41
19,CAN,71,211,D,?,55,13,26,39,67,0,17,1,10,11,6,0,42
19,USA,73,195,L,59,42,14,13,27,46,0,?,?,?,?,?,?,47
20,USA,71,189,L,127,39,16,19,35,52,0,?,?,?,?,?,?,64
19,CAN,76,216,D,111,71,7,24,31,109,21,11,1,1,2,8,0,65
18,CAN,75,215,R,72,58,11,26,37,33,3,?,?,?,?,?,?,66
19,CAN,74,206,L,3,69,39,41,80,88,0,7,7,4,11,6,0,67
19,CAN,76,210,D,31,71,5,27,32,49,14,7,0,0,0,6,0,78
18,EURO,79,255,D,6,68,3,13,16,278,0,5,0,0,0,8,0,80
20,CAN,72,188,C,?,59,27,43,70,109,16,18,4,13,17,24,1,98
18,CAN,71,178,L,102,75,37,34,71,30,-7,?,?,?,?,?,?,100
18,CAN,76,223,L,18,59,20,16,36,76,-9,7,3,0,3,11,-1,101
19,USA,72,200,C,62,43,6,15,21,50,0,?,?,?,?,?,?,102
19,CAN,73,198,R,138,56,31,38,69,87,0,4,1,2,3,14,0,103
19,CAN,72,189,C,157,60,43,53,96,26,0,5,0,2,2,0,0,114
18,USA,71,200,C,10,65,30,45,75,26,15,15,7,6,13,2,-2,114
18,USA,71,191,C,172,55,8,29,37,30,0,?,?,?,?,?,?,128
18,EURO,74,200,R,13,41,10,9,19,30,0,4,1,0,1,0,0,135
