#,PLAYER,TEAM,GP,G,A,TP,PPG,PIM,#ERROR!,contract
,,Lethbridge Hurricanes,19,2,1,3,0.16,7,-7,0
,,Swift Current Broncos,13,0,0,0,0,2,-2,0
446,Matthew Campese(LW),totals,35,2,1,3,0.09,7,-12,0
,,Victoria Royals,14,2,0,2,0.14,0,-4,0
,,Kamloops Blazers,21,0,1,1,0.05,7,-8,0
447,Taylor Green(D),totals,10,1,2,3,0.3,2,-1,0
,,Brandon Wheat Kings,4,1,1,2,0.5,2,4,0
,,Moose Jaw Warriors,6,0,1,1,0.17,0,-5,0
448,Adam Berg(LW),Regina Pats,12,1,2,3,0.25,9,0,0
449,Nathyn Mortlock(D/F),Regina Pats,28,1,2,3,0.11,6,-7,0
450,Jake Kohlhauser(D),totals,32,1,2,3,0.09,19,-4,0
,,Victoria Royals,7,0,0,0,0,2,-4,0
,,Edmonton Oil Kings,25,1,2,3,0.12,17,0,0
451,Sahvan Khaira(D),Seattle Thunderbirds,43,1,2,3,0.07,41,1,0
452,Brendan O'Reilly(D),Tri-City Americans,45,1,2,3,0.07,29,-19,0
453,Riley Hillis(D),Tri-City Americans,45,1,2,3,0.07,85,-14,0
454,Luke Gingras(C),Saskatoon Blades,50,1,2,3,0.06,49,-16,0
455,Kaden Elder(RW),Seattle Thunderbirds,50,1,2,3,0.06,5,-3,0
456,Jantzen Leslie(D),Everett Silvertips,6,0,3,3,0.5,0,2,0
457,Hunter Warner(D),Prince Albert Raiders,24,0,3,3,0.13,25,-7,0
458,Dylan Overdyk(D),Kootenay Ice,28,0,3,3,0.11,11,-15,0
459,Mario Grman(D),Red Deer Rebels,35,0,3,3,0.09,43,-4,0
460,Kirk Bear(D),Prince George Cougars,43,0,3,3,0.07,80,-13,0
461,Reese Johnson(RW),Red Deer Rebels,12,2,0,2,0.17,11,-1,0
462,Mitch Lipon(C),Spokane Chiefs,13,2,0,2,0.15,4,-1,0
463,Luke Osterman(RW),Seattle Thunderbirds,45,2,0,2,0.04,76,-1,0
464,Zane Franklin(C),Lethbridge Hurricanes,3,1,1,2,0.67,0,1,0
465,Marcus Messier(C),totals,8,1,1,2,0.25,2,-5,0
,,Spokane Chiefs,2,0,0,0,0,2,-1,0
,,Prince Albert Raiders,6,1,1,2,0.33,0,-4,0
466,Dakota Conroy(RW),Prince Albert Raiders,10,1,1,2,0.2,9,-6,0
467,Kyle O'Connor(C/RW),Kootenay Ice,20,1,1,2,0.1,4,-16,0
468,Brandon Kennedy(D),Lethbridge Hurricanes,22,1,1,2,0.09,4,-9,0
469,David Brumm(C),Vancouver Giants,29,1,1,2,0.07,12,-4,0
470,Jake Kustra(D),Saskatoon Blades,7,0,2,2,0.29,4,-7,0
471,Morgan Geekie(C/RW),Tri-City Americans,9,0,2,2,0.22,0,2,0
472,Wil Tomchuk(D),Prince George Cougars,15,0,2,2,0.13,24,-4,0
473,Ryan Krushen(D),Regina Pats,20,0,2,2,0.1,4,-1,0
474,Brett Kitt(LW),totals,28,0,2,2,0.07,65,-5,0
