id,PlayerName,DraftAge_norm,country_group,Height_norm,Weight_norm,Position,DraftYear,Overall,CSS_rank_norm,rs_GP_norm,rs_G_norm,rs_A_norm,rs_P_norm,rs_PIM_norm,rs_PlusMinus_norm,po_GP_norm,po_G_norm,po_A_norm,po_P_norm,po_PIM_norm,po_PlusMinus_norm,GP_greater_than_0,wx_sum,lmt_prob,LeafNode
60902,Scott Heffernan,0.0,CAN,0.7142857142857143,0.49038461538461536,D,2000,138,0.5406698564593302,0.6111111111111112,0.0684931506849315,0.09803921568627451,0.0949367088607595,0.05010438413361169,0.616,0.23333333333333334,0.0,0.038461538461538464,0.021739130434782608,0.03333333333333333,0.2916666666666667,no,3.0319119766177285,0.046004840574805805,1
60904,Matthew Mcrae,0.07142857142857142,CAN,0.35714285714285715,0.19230769230769232,C,2000,147,0.40669856459330145,0.34444444444444444,0.1095890410958904,0.1568627450980392,0.1518987341772152,0.04592901878914405,0.552,0.0,0.0,0.0,0.0,0.0,0.375,no,0.6195212523023494,0.34989034294468185,3
60905,Tyler Kolarik,0.07142857142857142,USA,0.21428571428571427,0.3173076923076923,C,2000,150,0.31100478468899523,0.0,0.0,0.0,0.0,0.0,0.552,0.0,0.0,0.0,0.0,0.0,0.375,no,1.5664929100009832,0.17271693002990041,3
60906,Alexander Barkunov,0.07142857142857142,EURO,0.42857142857142855,0.40384615384615385,D,2000,151,1,0.7333333333333333,0.0958904109589041,0.13725490196078433,0.13291139240506328,0.1544885177453027,0.552,0.26666666666666666,0.09523809523809523,0.038461538461538464,0.06521739130434782,0.0,0.375,no,1.076376808095807,0.25419228424453943,3
60909,Bill Cass,0.14285714285714285,USA,0.2857142857142857,0.27884615384615385,D,2000,153,0.3827751196172249,0.45555555555555555,0.0136986301369863,0.0784313725490196,0.056962025316455694,0.054279749478079335,0.56,0.0,0.0,0.0,0.0,0.0,0.375,no,3.1522902961843005,0.041001128941802745,4
60914,Sean Connolly,0.14285714285714285,USA,0.42857142857142855,0.21153846153846154,D,2000,158,0.4354066985645933,0.3888888888888889,0.0273972602739726,0.13725490196078433,0.10126582278481013,0.1336116910229645,0.552,0.0,0.0,0.0,0.0,0.0,0.375,no,0.8869537837987274,0.2917388593049059,3
60994,Petr Chvojka,0.0,EURO,0.35714285714285715,0.4423076923076923,D,2000,182,0.16267942583732056,0.4222222222222222,0.0821917808219178,0.0784313725490196,0.08860759493670886,0.1524008350730689,0.64,0.03333333333333333,0.0,0.0,0.0,0.0,0.375,no,3.1362423526806253,0.041636803391939391,4
60997,Jason Maleyko,0.14285714285714285,CAN,0.42857142857142855,0.19230769230769232,D,2000,188,1,0.7,0.0684931506849315,0.2647058823529412,0.20253164556962025,0.2254697286012526,0.544,0.2,0.0,0.15384615384615385,0.08695652173913043,0.06666666666666667,0.3333333333333333,no,3.894030456363653,0.019956726823328653,1
61168,Chris Berti,0.07142857142857142,CAN,0.7142857142857143,0.5096153846153846,C,2000,204,0.5502392344497608,0.6888888888888889,0.1095890410958904,0.10784313725490197,0.12025316455696203,0.27348643006263046,0.584,0.23333333333333334,0.047619047619047616,0.0,0.021739130434782608,0.10833333333333334,0.3333333333333333,no,2.879884455791386,0.053156951586899689,1
61172,John Eichelberger,0.07142857142857142,USA,0.5,0.23076923076923078,C,2000,210,0.215311004784689,0.5444444444444444,0.2602739726027397,0.49019607843137253,0.43670886075949367,0.12108559498956159,0.552,0.0,0.0,0.0,0.0,0.0,0.375,no,-0.38393590022648016,0.59482204237578529,3
61176,Craig Olynick,0.0,CAN,0.42857142857142855,0.3557692307692308,D,2000,218,0.41626794258373206,0.7222222222222222,0.0136986301369863,0.08823529411764706,0.06329113924050633,0.25052192066805845,0.504,0.23333333333333334,0.047619047619047616,0.0,0.021739130434782608,0.14166666666666666,0.2916666666666667,no,3.112758775940268,0.042584025152867147,1
61185,Danny Eberly,0.14285714285714285,USA,0.35714285714285715,0.2980769230769231,D,2000,238,1,0.23333333333333334,0.0273972602739726,0.049019607843137254,0.04430379746835443,0.016701461377870562,0.552,0.0,0.0,0.0,0.0,0.0,0.375,no,2.345038827378156,0.087460921559101193,3
61186,Evan Nielsen,0.07142857142857142,USA,0.5,0.38461538461538464,D,2000,242,0.3014354066985646,0.45555555555555555,0.0547945205479452,0.09803921568627451,0.08860759493670886,0.1127348643006263,0.552,0.0,0.0,0.0,0.0,0.0,0.375,no,0.31777236265037256,0.42121873586830405,3
61187,Eric Bowen,0.07142857142857142,USA,0.5714285714285714,0.49038461538461536,R,2000,244,1,0.7666666666666667,0.0273972602739726,0.049019607843137254,0.04430379746835443,0.38413361169102295,0.344,0.0,0.0,0.0,0.0,0.0,0.375,no,4.0199572936905135,0.017637080254581668,2
61189,Matt Sommerfeld,0.0,CAN,0.5,0.40384615384615385,L,2000,253,1,0.7444444444444445,0.0136986301369863,0.029411764705882353,0.02531645569620253,0.4488517745302714,0.576,0.16666666666666666,0.0,0.0,0.0,0.125,0.375,no,3.1098790929077738,0.042701586404624119,4
61190,Troy Ferguson,0.14285714285714285,USA,0.14285714285714285,0.0,C,2000,276,1,0.4666666666666667,0.0684931506849315,0.06862745098039216,0.0759493670886076,0.020876826722338204,0.528,0.0,0.0,0.0,0.0,0.0,0.375,no,4.594955249187832,0.010001629680810257,2
61191,Ryan Courtney,0.0,CAN,0.5714285714285714,0.4230769230769231,C,2000,277,0.6842105263157895,0.7222222222222222,0.136986301369863,0.21568627450980393,0.20253164556962025,0.0918580375782881,0.632,0.4,0.0,0.038461538461538464,0.021739130434782608,0.075,0.3333333333333333,no,3.303995188322458,0.035434384842330337,1
61192,James Demone,0.0,CAN,0.7857142857142857,0.6730769230769231,D,2000,283,0.8995215311004785,0.6222222222222222,0.0273972602739726,0.0784313725490196,0.06329113924050633,0.3778705636743215,0.368,0.0,0.0,0.0,0.0,0.0,0.375,no,3.841723287332383,0.021005878982475322,2
61675,Ben Knopp,0.0,CAN,0.35714285714285715,0.17307692307692307,R,2000,69,0.19617224880382775,0.8,0.410958904109589,0.29411764705882354,0.379746835443038,0.21085594989561587,0.52,0.13333333333333333,0.09523809523809523,0.07692307692307693,0.08695652173913043,0.03333333333333333,0.25,no,2.8921398916766137,0.052543486856651125,1
