@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1-2,8-9,24-25'

@attribute DraftAge_norm numeric
@attribute country_group {EURO,CAN,USA}
@attribute Height_norm numeric
@attribute Weight_norm numeric
@attribute Position {D,C,L,R}
@attribute CSS_rank_norm numeric
@attribute rs_GP_norm numeric
@attribute rs_G_norm numeric
@attribute rs_A_norm numeric
@attribute rs_P_norm numeric
@attribute rs_PIM_norm numeric
@attribute rs_PlusMinus_norm numeric
@attribute po_GP_norm numeric
@attribute po_G_norm numeric
@attribute po_A_norm numeric
@attribute po_P_norm numeric
@attribute po_PIM_norm numeric
@attribute po_PlusMinus_norm numeric
@attribute sum_7yr_GP numeric

@data
0,CAN,0.4375,0.326733,C,0.016129,0.7,0.5,0.436364,0.462766,0.57483,0.394495,0.206897,0.045455,0.1,0.086957,0.117647,0.310345,296
0,EURO,0.375,0.39604,R,0.016129,0.46,0.24359,0.145455,0.18617,0.091837,0.357798,0.172414,0,0.1,0.065217,0.058824,0.310345,173
0.111111,EURO,0.5,0.49505,C,0.016129,0.05,0.051282,0.027273,0.037234,0.054422,0.357798,0.206897,0,0.033333,0.021739,0.029412,0.310345,6
0.111111,USA,0.5,0.475248,R,0.016129,0.46,0.24359,0.309091,0.281915,0.102041,0.357798,0,0,0,0,0,0.310345,504
0,EURO,0.9375,1,D,0.020161,0.68,0.038462,0.118182,0.085106,0.945578,0.357798,0.172414,0,0,0,0.117647,0.310345,80
0.111111,EURO,0.625,0.683168,D,0.020161,0.18,0.038462,0.036364,0.037234,0.047619,0.357798,0.482759,0.136364,0.033333,0.086957,0.029412,0.310345,460
0,CAN,0.6875,0.564356,D,0.020161,0.76,0.166667,0.181818,0.175532,0.411565,0,0,0,0,0,0,0.310345,36
0,USA,0.625,0.49505,C,0.020161,0.52,0.333333,0.290909,0.308511,0.14966,0.394495,0.517241,0.318182,0.2,0.282609,0.147059,0.448276,297
0,EURO,0.75,0.435644,C,0.020161,0.32,0.192308,0.109091,0.143617,0.095238,0.357798,0,0,0,0,0,0.310345,279
0.111111,USA,0.625,0.594059,R,0.024194,0.42,0.141026,0.209091,0.180851,0.108844,0.357798,0,0,0,0,0,0.310345,317
0,CAN,0.4375,0.356436,L,0.024194,0.7,0.474359,0.336364,0.393617,0.414966,0.321101,0.172414,0.045455,0,0.021739,0.235294,0.310345,42
0,EURO,0.5,0.564356,C,0.024194,0.41,0.115385,0.072727,0.090426,0.122449,0.357798,0,0,0,0,0,0.310345,11
0.111111,CAN,0.5,0.366337,C,0.024194,0.64,0.538462,0.609091,0.579787,0.336735,0.59633,0.482759,0.363636,0.5,0.5,0.279412,0.551724,404
0,EURO,0.5625,0.554455,L,0.024194,0.31,0.371795,0.054545,0.18617,0.054422,0.357798,0,0,0,0,0,0.310345,18
0,CAN,0.5,0.29703,C,0.028226,0.65,0.474359,0.272727,0.356383,0.197279,0.357798,0.517241,0.136364,0.333333,0.282609,0.264706,0.310345,221
0,CAN,0.6875,0.435644,D,0.028226,0.72,0.025641,0.154545,0.101064,0.142857,0.40367,0.137931,0,0.033333,0.021739,0.058824,0.275862,106
0,EURO,0.5625,0.465347,R,0.028226,0.47,0.25641,0.127273,0.180851,0.588435,0.357798,0.068966,0.090909,0,0.043478,0.367647,0.310345,11
0.111111,CAN,0.625,0.841584,R,0.028226,0.62,0.474359,0.454545,0.462766,0.401361,0.53211,0.206897,0.090909,0,0.043478,0.191176,0.137931,319
0,EURO,0.75,0.683168,C,0.028226,0.48,0.25641,0.118182,0.175532,0.142857,0.357798,0,0,0,0,0,0.310345,358
0,EURO,0.625,0.50495,R,0.032258,0.49,0.217949,0.190909,0.202128,0.360544,0.357798,0,0,0,0,0,0.310345,145
