name,Draft.Year,Overall,Round,Age,Draft_Age,D3_Nat,D4_Nat,D1_Pos,D2_Pos,CareerGP,Yr1GP,Yr1TOI,Yr1Pts,Yr2GP,Yr2TOI,Yr2Pts,Yr3GP,Yr3TOI,Yr3Pts,Yr4GP,Yr4TOI,Yr4Pts,Yr5GP,Yr5TOI,Yr5Pts,Yr6GP,Yr6TOI,Yr6Pts,Yr7GP,Yr7TOI,Yr7Pts,Great_160
Jamie Lundmark,1999,9,1,34,18,1,0,1,0,295,0,0,0,0,0,0,0,0,0,55,663,19,56,715,10,53,659,29,68,801,13,1
Jason Jaspers,1999,71,3,34,18,1,0,1,0,9,0,0,0,0,0,0,4,32,1,2,15,0,3,34,0,NA,NA,NA,NA,NA,NA,0
Jeff MacMillan,1999,215,7,36,20,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,4,33,0,NA,NA,NA,NA,NA,NA,0
Jordan Krestanovich,1999,152,5,34,18,1,0,0,0,22,0,0,0,0,0,0,8,69,2,14,142,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Justin Mapletoft,1999,130,5,34,18,1,0,1,0,38,0,0,0,0,0,0,0,0,0,11,135,4,27,166,5,NA,NA,NA,NA,NA,NA,0
Kent McDonell,1999,181,6,36,20,1,0,0,0,32,0,0,0,0,0,0,0,0,0,3,26,0,29,299,3,NA,NA,NA,NA,NA,NA,0
Kris Beech,1999,7,1,34,18,1,0,1,0,198,0,0,0,4,30,0,79,1071,25,12,127,1,4,50,1,10,120,3,64,798,26,1
Layne Ulmer,1999,209,7,35,19,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,NA,NA,NA,NA,NA,NA,0
Luke Sellars,1999,30,2,34,18,1,0,0,1,1,0,0,0,0,0,0,1,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Martin Grenier,1999,45,2,34,18,1,0,0,1,18,0,0,0,0,0,0,5,30,0,3,19,0,7,48,1,3,14,0,NA,NA,NA,0
Matt Carkner,1999,58,2,34,18,1,0,0,1,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,1
Mike Commodore,1999,42,2,35,19,1,0,0,1,484,0,0,0,20,255,5,37,467,1,6,69,1,12,183,0,72,1116,13,82,1631,29,1
Mike Comrie,1999,91,3,35,19,1,0,1,0,589,0,0,0,41,467,22,82,1437,60,69,1232,51,49,769,24,80,1282,60,65,991,45,1
Nick Boynton,1999,21,1,36,20,1,0,0,1,605,5,107,0,1,14,0,80,1481,18,78,1769,24,81,1826,30,54,1115,12,59,991,11,1
Nolan Yonkman,1999,37,2,34,18,1,0,0,1,76,0,0,0,0,0,0,11,140,1,1,5,0,38,313,7,16,194,1,1,6,0,0
Ross Lupaschuk,1999,34,2,34,18,1,0,0,1,3,0,0,0,0,0,0,0,0,0,3,49,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Ryan Murphy,1999,12,1,22,18,1,0,0,1,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sheldon Keefe,1999,47,2,35,18,1,0,0,0,125,0,0,0,49,392,4,39,507,13,37,379,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Steve McCarthy,1999,23,1,34,18,1,0,0,1,302,5,76,2,44,650,5,3,35,0,57,935,5,25,484,4,67,945,16,46,703,16,1
Taylor Pyatt,1999,8,1,34,18,1,0,0,0,859,0,0,0,78,954,18,48,648,20,78,1099,28,63,983,20,41,461,12,76,1061,37,1
Tom Kostopoulos,1999,204,7,36,20,1,0,0,0,630,0,0,0,0,0,0,11,132,3,8,36,1,60,866,22,76,983,22,76,879,22,1
Alex Henry,1998,67,3,36,18,1,0,0,1,177,0,0,0,0,0,0,0,0,0,0,0,0,41,160,0,71,1057,6,63,720,5,1
Alex Tanguay,1998,12,1,35,18,1,0,0,0,1018,0,0,0,76,1188,51,82,1464,77,70,1284,48,82,1460,67,69,1266,79,71,1304,78,1
Allan Rourke,1998,154,6,35,18,1,0,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,312,3,6,103,1,0
Andrew Peters,1998,34,2,35,18,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,175,2,28,91,0,1
Blair Betts,1998,33,2,35,18,1,0,1,0,477,0,0,0,0,0,0,0,0,0,6,43,1,9,104,4,20,255,3,66,853,10,1
Boyd Kane,1998,114,4,37,20,1,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,70,0,5,20,1,0
Brad Moran,1998,191,7,36,19,1,0,1,0,8,0,0,0,0,0,0,0,0,0,3,23,0,2,20,2,3,38,1,NA,NA,NA,0
Brad Richards,1998,64,3,35,18,1,0,1,0,1058,0,0,0,0,0,0,82,1386,62,82,1624,62,80,1595,74,82,1675,79,82,1866,91,1
Brad Stuart,1998,3,1,35,18,1,0,0,1,1050,0,0,0,82,1673,36,77,1547,23,82,1778,29,36,752,14,77,1705,39,78,1947,43,1
Bruno St. Jacques,1998,253,9,35,18,1,0,0,1,67,0,0,0,0,0,0,0,0,0,7,97,0,24,416,7,35,414,2,1,14,1,0
Bryan Allen,1998,4,1,35,18,1,0,0,1,721,0,0,0,0,0,0,6,56,0,11,119,0,48,621,8,74,1247,7,77,1574,17,1
Chris Neil,1998,161,6,36,19,1,0,0,0,893,0,0,0,0,0,0,0,0,0,72,602,17,68,521,10,82,726,16,79,972,33,1
Eric Beaudoin,1998,92,4,35,18,1,0,0,0,53,0,0,0,0,0,0,0,0,0,8,140,4,15,148,1,30,309,6,NA,NA,NA,0
Francis Belanger,1998,124,5,37,20,1,0,0,0,10,0,0,0,0,0,0,10,45,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Francois Beauchemin,1998,75,3,35,18,1,0,0,1,673,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,72,1668,36,71,1809,28,1
Gordie Dwyer,1998,152,6,37,20,1,0,0,0,108,0,0,0,24,119,1,28,162,1,26,132,2,28,193,1,2,12,0,NA,NA,NA,0
Jeff Heerema,1998,11,1,35,18,1,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,10,96,3,22,230,3,NA,NA,NA,0
Jesse Fibiger,1998,178,7,37,20,1,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,16,97,0,NA,NA,NA,NA,NA,NA,0
Joe DiPenta,1998,61,3,36,19,1,0,0,1,174,0,0,0,0,0,0,0,0,0,0,0,0,3,47,2,72,973,8,76,924,8,1
John Erskine,1998,39,2,35,18,1,0,0,1,491,0,0,0,0,0,0,0,0,0,33,354,1,16,172,2,32,403,1,60,783,1,1
Jonathan Cheechoo,1998,29,2,35,18,1,0,0,0,501,0,0,0,0,0,0,0,0,0,0,0,0,66,707,16,81,1312,47,82,1637,93,1
Jonathan Girard,1998,48,2,35,18,1,0,0,1,150,3,28,0,23,219,3,31,513,16,20,294,3,73,1521,22,NA,NA,NA,NA,NA,NA,0
Kent Huskins,1998,156,6,36,19,1,0,0,1,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Kip Brennan,1998,103,4,35,18,1,0,0,0,61,0,0,0,0,0,0,0,0,0,4,19,0,19,93,0,23,108,1,12,51,1,0
Krys Barch,1998,106,4,35,18,1,0,0,0,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Kyle Rossiter,1998,30,2,35,18,1,0,0,1,11,0,0,0,0,0,0,0,0,0,2,31,0,3,30,0,6,68,1,NA,NA,NA,0
Lance Ward,1998,63,3,37,20,1,0,0,1,209,0,0,0,0,0,0,30,475,2,68,987,5,65,535,5,46,399,4,NA,NA,NA,1
Manny Malhotra,1998,7,1,35,18,1,0,1,0,991,73,628,16,27,181,0,50,453,12,72,743,14,59,552,10,65,898,25,58,949,31,1
Mark Bell,1998,8,1,35,18,1,0,1,0,450,0,0,0,0,0,0,13,156,1,80,1012,28,82,1154,29,82,1445,45,82,1444,48,1
Mathieu Biron,1998,21,1,35,18,1,0,0,1,253,0,0,0,60,902,8,14,173,1,36,532,0,34,719,9,57,1038,13,52,636,13,1
Matt Walker,1998,83,3,35,18,1,0,0,1,314,0,0,0,0,0,0,0,0,0,0,0,0,16,178,1,14,159,1,54,770,2,1
Michael Ryder,1998,216,8,35,18,1,0,0,0,806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,1296,63,81,1310,55,1
Mike Fisher,1998,44,2,35,18,1,0,1,0,946,0,0,0,32,414,9,60,698,19,58,817,24,74,1183,38,24,418,10,68,1166,44,1
Mike Ribeiro,1998,45,2,35,18,1,0,1,0,947,0,0,0,19,203,2,2,21,0,43,599,18,52,578,17,81,1384,65,79,1310,51,1
Mike Siklenka,1998,118,5,35,18,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,2,0,NA,NA,NA,0
Mike Van Ryn,1998,26,1,36,19,1,0,0,1,353,0,0,0,0,0,0,1,14,0,48,786,10,20,301,3,79,1931,37,80,1808,37,1
Norm Milley,1998,47,2,35,18,1,0,0,0,29,0,0,0,0,0,0,0,0,0,5,66,1,8,85,2,2,17,0,14,100,3,0
Paul Manning,1998,62,3,36,19,1,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,8,104,0,NA,NA,NA,NA,NA,NA,0
Pierre Dagenais,1998,105,4,37,20,1,0,0,0,142,0,0,0,0,0,0,9,111,5,42,462,14,9,54,0,50,694,27,32,317,12,0
Rico Fata,1998,6,1,35,18,1,0,0,0,230,20,152,1,2,20,0,5,47,0,10,85,0,63,742,19,73,1312,34,47,478,7,1
Rob Davison,1998,98,4,35,18,1,0,0,1,219,0,0,0,0,0,0,0,0,0,0,0,0,15,268,3,55,790,3,69,955,6,1
Ryan Barnes,1998,55,2,35,18,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,NA,NA,NA,0
Ryan Flinn,1998,143,5,35,18,1,0,0,0,31,0,0,0,0,0,0,0,0,0,10,35,0,19,104,1,2,1,0,NA,NA,NA,0
Ryan Jardine,1998,89,4,35,18,1,0,0,0,8,0,0,0,0,0,0,0,0,0,8,71,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Shawn Horcoff,1998,99,4,37,19,1,0,1,0,949,0,0,0,0,0,0,49,452,16,61,691,22,78,1053,33,80,1402,40,79,1578,73,1
Simon Gagne,1998,22,1,35,18,1,0,0,0,822,0,0,0,80,1198,48,69,1247,59,79,1434,66,46,800,27,80,1316,45,72,1495,79,1
Stephen Peat,1998,32,2,35,18,1,0,0,0,130,0,0,0,0,0,0,0,0,0,38,192,4,27,112,1,64,424,5,1,5,0,0
Steve Moore,1998,53,2,37,19,1,0,1,0,69,0,0,0,0,0,0,0,0,0,8,57,0,4,36,0,57,747,12,NA,NA,NA,0
Trent Hunter,1998,150,6,35,18,1,0,0,0,497,0,0,0,0,0,0,0,0,0,0,0,0,8,98,4,77,1205,51,82,1462,35,1
Tyler Bouck,1998,57,2,35,18,1,0,1,0,91,0,0,0,0,0,0,48,431,7,7,48,0,18,167,3,12,76,2,6,48,0,0
Vincent Lecavalier,1998,1,1,35,18,1,0,1,0,1163,82,1121,28,80,1544,67,68,1356,51,76,1303,37,80,1563,78,81,1463,66,80,1610,75,1
Sven Baertschi,2011,13,1,23,18,0,0,0,0,69,5,56,3,20,268,10,26,367,11,18,174,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Nino Niederreiter,2010,5,1,23,18,0,0,0,0,225,9,122,2,55,556,1,81,1142,36,80,1164,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Roman Josi,2008,38,2,25,18,0,0,0,1,253,0,0,0,0,0,0,0,0,0,52,956,16,48,1129,18,72,1902,40,81,2144,55,1
Yannick Weber,2007,73,3,27,18,0,0,0,1,229,0,0,0,3,45,1,5,69,0,41,679,11,60,937,18,6,83,2,49,584,10,1
Mark Streit,2004,262,9,37,26,0,0,0,1,654,48,700,11,76,1065,36,81,1419,62,74,1866,56,82,2107,49,82,1917,47,48,1121,27,1
Roman Wick,2004,156,5,29,18,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,60,0,NA,NA,NA,0
Reto Von Arx,2000,271,9,39,24,0,0,1,0,19,19,217,4,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Thomas Ziegler,2000,263,9,37,22,0,0,0,0,5,5,25,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Timo Helbling,1999,162,6,34,18,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,93,1,0
Julien Vauclair,1998,74,3,36,18,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,NA,NA,NA,0
Dominik Uher,2011,144,5,22,18,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Ondrej Palat,2011,208,7,24,20,0,0,0,0,170,0,0,0,14,164,4,81,1461,59,75,1307,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Petr Straka,2010,55,2,23,18,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,28,2,NA,NA,NA,NA,NA,NA,0
Radko Gudas,2010,66,3,25,20,0,0,0,1,126,0,0,0,0,0,0,22,374,5,73,1396,22,31,527,5,NA,NA,NA,NA,NA,NA,0
Andrej Nestrasil,2009,75,3,24,18,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,721,20,NA,NA,NA,0
Roman Horak,2009,127,5,24,18,0,0,1,0,84,0,0,0,0,0,0,61,622,11,20,291,7,3,28,1,NA,NA,NA,NA,NA,NA,0
Tomas Vincour,2009,129,5,24,18,0,0,1,0,95,0,0,0,24,226,2,47,485,10,17,151,4,7,50,1,NA,NA,NA,NA,NA,NA,0
Michal Jordan,2008,105,4,25,18,0,0,0,1,43,0,0,0,0,0,0,0,0,0,0,0,0,5,53,0,38,606,6,NA,NA,NA,0
Tomas Kubalik,2008,135,5,25,18,0,0,0,0,12,0,0,0,0,0,0,4,59,2,8,106,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Tomas Kundratek,2008,90,3,25,18,0,0,0,1,30,0,0,0,0,0,0,0,0,0,5,49,0,25,404,7,NA,NA,NA,NA,NA,NA,0
Jakub Voracek,2007,7,1,26,18,0,0,0,0,531,0,0,0,80,1013,38,81,1265,50,80,1358,46,78,1271,49,48,827,46,82,1415,62,1
Michal Repik,2007,40,2,26,18,0,0,0,0,72,0,0,0,5,38,2,19,163,5,31,396,8,17,176,5,NA,NA,NA,NA,NA,NA,0
Jiri Tlusty,2006,13,1,27,18,0,0,1,0,416,0,0,0,58,634,16,14,178,4,20,251,6,57,562,12,79,1178,36,48,876,38,1
Michael Frolik,2006,10,1,27,18,0,0,0,0,512,0,0,0,0,0,0,79,1170,45,82,1433,43,80,1247,38,63,811,15,45,563,10,1
Tomas Kana,2006,31,2,27,18,0,0,1,0,6,0,0,0,0,0,0,0,0,0,6,52,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Jakub Kindl,2005,19,1,28,18,0,0,0,1,248,0,0,0,0,0,0,0,0,0,0,0,0,3,32,0,48,653,4,55,773,13,1
Martin Hanzal,2005,17,1,28,18,0,0,1,0,493,0,0,0,0,0,0,72,1206,35,74,1210,31,81,1497,33,61,1190,26,64,1180,34,1
Petr Kalus,2005,39,2,28,18,0,0,0,0,11,0,0,0,9,101,5,2,15,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Radek Smolenak,2005,73,3,28,18,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,50,1,1,5,0,NA,NA,NA,NA,NA,NA,0
Vladimir Sobotka,2005,106,4,28,18,0,0,1,0,381,0,0,0,0,0,0,48,424,7,25,264,5,61,677,10,65,1052,29,73,1157,20,1
David Krejci,2004,63,2,29,18,0,0,1,0,551,0,0,0,6,26,0,56,835,27,82,1382,73,79,1441,52,75,1414,62,79,1455,62,1
Jakub Petruzalek,2004,266,9,30,19,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Ladislav Smid,2004,9,1,29,18,0,0,0,1,561,0,0,0,77,1481,10,65,1161,4,60,897,11,51,978,9,78,1582,10,78,1631,15,1
Lukas Kaspar,2004,22,1,30,18,0,0,0,0,16,0,0,0,0,0,0,3,37,0,13,119,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Roman Polak,2004,180,6,29,18,0,0,0,1,480,0,0,0,19,259,0,6,69,1,69,1486,15,78,1558,21,55,1098,12,77,1453,11,1
Rostislav Olesz,2004,7,1,30,18,0,0,0,0,365,59,877,21,75,1163,30,56,956,26,37,488,9,78,1201,29,44,611,17,6,55,0,1
Jan Hejda,2003,106,4,37,25,0,0,0,1,627,0,0,0,0,0,0,0,0,0,39,795,9,81,1711,13,82,1835,21,62,1280,13,1
Kamil Kreps,2003,38,2,30,18,0,0,1,0,232,0,0,0,0,0,0,0,0,0,14,157,2,76,986,25,66,922,19,76,966,14,1
Martin Lojek,2003,105,4,30,18,0,0,0,1,5,0,0,0,0,0,0,0,0,0,3,25,1,2,12,0,NA,NA,NA,NA,NA,NA,0
Michal Barinka,2003,59,2,31,19,0,0,0,1,34,9,124,1,25,366,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Milan Michalek,2003,6,1,30,18,0,0,0,0,697,2,18,1,81,1277,35,78,1307,66,79,1428,55,77,1421,57,66,1205,34,66,1192,33,1
Petr Vrana,2003,42,2,30,18,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,110,1,NA,NA,NA,0
Vojtech Polak,2003,36,2,30,18,0,0,0,0,5,0,0,0,0,0,0,3,20,0,2,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Jakub Klepis,2002,16,1,31,18,0,0,1,0,66,0,0,0,0,0,0,0,0,0,25,185,4,41,408,10,NA,NA,NA,NA,NA,NA,0
Jaroslav Balastik,2002,184,6,35,22,0,0,0,0,74,0,0,0,0,0,0,0,0,0,66,847,22,8,65,2,NA,NA,NA,NA,NA,NA,0
Jiri Hudler,2002,58,2,31,18,0,0,1,0,604,0,0,0,12,98,3,4,29,0,76,763,25,81,1067,42,82,1119,57,73,997,37,1
Petr Kanko,2002,66,3,31,18,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,47,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Petr Prucha,2002,240,8,33,20,0,0,0,0,346,0,0,0,0,0,0,0,0,0,68,931,47,79,1027,40,62,722,17,47,690,19,1
Petr Taticek,2002,9,1,32,18,0,0,1,0,3,0,0,0,0,0,0,0,0,0,3,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Tomas Fleischmann,2002,63,2,31,18,0,0,0,0,581,0,0,0,0,0,0,0,0,0,14,95,2,29,337,8,75,947,30,73,1101,37,1
Ales Hemsky,2001,13,1,32,18,0,0,0,0,748,0,0,0,59,712,30,71,1025,34,81,1375,77,64,1087,53,74,1375,71,72,1343,66,1
Ales Pisa,2001,272,9,38,24,0,0,0,1,53,2,30,0,51,663,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Jaroslav Bednar,2001,51,2,38,24,0,0,0,0,102,22,235,6,67,946,27,13,169,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Jiri Novotny,2001,22,1,32,18,0,0,1,0,189,0,0,0,0,0,0,0,0,0,0,0,0,14,171,3,68,879,19,65,1152,22,1
Karel Pilar,2001,39,2,37,23,0,0,0,1,90,23,369,4,17,314,7,50,903,19,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Lukas Krajicek,2001,24,1,32,18,0,0,0,1,328,5,67,0,18,244,7,67,1240,16,78,1444,16,39,709,11,71,1393,19,50,861,3,1
Marek Zidlicky,2001,176,6,38,24,0,0,0,1,783,0,0,0,0,0,0,82,1643,53,67,1344,49,79,1558,30,79,1645,43,76,1680,42,1
Petr Cajanek,2001,253,8,40,26,0,0,0,0,269,0,0,0,51,812,38,70,1246,26,71,1340,41,77,1251,48,NA,NA,NA,NA,NA,NA,1
Tomas Mojzis,2001,246,8,33,19,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,7,98,1,6,60,1,4,29,1,0
Tomas Plekanec,2001,71,3,32,18,0,0,0,0,761,0,0,0,0,0,0,2,18,0,67,888,29,81,1294,47,81,1464,69,80,1380,39,1
Tomas Plihal,2001,140,5,32,18,0,0,1,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,0,22,238,3,0
David Koci,2000,146,5,34,19,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,43,0,0
Filip Novak,2000,64,2,33,18,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,104,0,6,60,0,0
Ivan Huml,2000,59,2,34,19,0,0,0,0,49,0,0,0,1,16,1,41,523,17,7,65,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Jakub Cutta,2000,61,2,33,18,0,0,0,1,8,3,35,0,2,32,0,3,42,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Libor Pivko,2000,89,3,35,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Pavel Kolarik,2000,268,9,42,27,0,0,0,1,23,10,88,0,13,88,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Roman Simicek,2000,273,9,43,28,0,0,1,0,63,57,629,15,6,80,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Rostislav Klesla,2000,4,1,33,18,0,0,0,1,659,8,147,2,75,1415,16,72,1350,16,47,861,13,51,1094,19,75,1718,22,82,1903,18,1
Tomas Kurka,2000,32,2,33,18,0,0,0,0,17,0,0,0,0,0,0,14,210,5,3,26,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Vaclav Nedorost,2000,14,1,33,18,0,0,1,0,99,0,0,0,25,256,4,42,440,9,32,369,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Zdenek Kutlak,2000,237,8,35,20,0,0,0,1,16,10,161,2,4,21,1,2,23,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Frantisek Kaberle,1999,76,3,41,25,0,0,0,1,523,51,977,16,51,1136,15,61,1316,25,79,1734,26,67,1563,29,77,1510,44,27,419,8,1
Martin Erat,1999,191,7,34,18,0,0,0,0,881,0,0,0,0,0,0,80,1053,33,27,345,8,76,1140,49,80,1180,49,68,1290,57,1
Martin Havlat,1999,26,1,34,18,0,0,0,0,788,0,0,0,73,1006,42,72,1063,50,67,1102,59,68,1138,68,18,327,16,56,1198,57,1
Michal Sivek,1999,29,2,34,18,0,0,1,0,38,0,0,0,0,0,0,0,0,0,38,497,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Patrik Stefan,1999,1,1,35,18,0,0,1,0,455,72,1067,25,66,932,31,59,942,23,71,1195,34,82,1351,40,64,885,24,41,501,11,1
Pavel Brendl,1999,4,1,34,18,0,0,0,0,78,0,0,0,0,0,0,8,72,1,50,554,13,18,266,8,2,18,0,NA,NA,NA,0
Petr Tenkrat,1999,230,8,38,22,0,0,0,0,177,0,0,0,46,589,14,67,802,24,64,801,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Radek Martinek,1999,228,8,39,23,0,0,0,1,486,0,0,0,0,0,0,23,486,5,66,1138,13,47,613,7,74,1351,17,43,856,17,1
Radim Vrbata,1999,212,7,34,18,0,0,0,0,871,0,0,0,0,0,0,52,756,30,76,1108,35,80,1096,25,61,909,39,77,1300,41,1
Vaclav Pletka,1999,208,7,36,20,0,0,0,0,1,0,0,0,0,0,0,1,12,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Zdenek Blatny,1999,68,3,34,18,0,0,0,0,25,0,0,0,0,0,0,0,0,0,4,42,0,16,167,3,5,26,0,NA,NA,NA,0
Ales Kotalik,1998,164,6,36,19,0,0,0,0,542,0,0,0,0,0,0,0,0,0,13,164,4,68,1037,35,62,941,26,82,1276,62,1
David Moravec,1998,218,8,42,25,0,0,0,0,1,0,0,0,1,15,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Jaroslav Kristek,1998,50,2,35,18,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,70,0,NA,NA,NA,NA,NA,NA,0
Jaroslav Spacek,1998,117,5,41,24,0,0,0,1,880,63,1225,15,82,1858,36,62,1306,26,74,1316,18,81,2007,45,58,1359,22,76,1798,43,1
Jaroslav Svoboda,1998,208,8,35,18,0,0,0,0,134,0,0,0,0,0,0,0,0,0,10,94,4,48,699,14,33,301,4,43,304,7,0
Jiri Dopita,1998,123,5,46,29,0,0,1,0,73,0,0,0,0,0,0,0,0,0,52,792,27,21,290,6,NA,NA,NA,NA,NA,NA,0
Jiri Fischer,1998,25,1,35,18,0,0,0,1,305,0,0,0,52,564,8,55,922,9,80,1374,10,15,321,6,81,1499,19,22,456,8,1
Josef Vasicek,1998,91,4,35,18,0,0,1,0,460,0,0,0,0,0,0,76,898,21,78,1107,31,57,909,20,82,1402,45,23,354,9,1
Martin Skoula,1998,17,1,35,18,0,0,0,1,776,0,0,0,80,1460,16,82,1697,25,82,1829,31,81,1495,25,79,1452,25,78,1493,21,1
Milan Kraft,1998,23,1,35,18,0,0,1,0,207,0,0,0,0,0,0,42,491,14,68,849,16,31,432,12,66,1008,40,NA,NA,NA,1
Pavel Patera,1998,153,6,44,27,0,0,1,0,32,0,0,0,12,169,5,20,289,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Petr Hubacek,1998,243,9,36,19,0,0,1,0,6,0,0,0,0,0,0,6,68,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Petr Svoboda,1998,35,2,35,18,0,0,0,1,18,0,0,0,0,0,0,18,269,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Robert Schnabel,1998,129,5,36,19,0,0,0,1,22,0,0,0,0,0,0,0,0,0,1,7,0,1,4,0,20,292,3,NA,NA,NA,0
Tomas Divisek,1998,195,7,36,19,0,0,1,0,5,0,0,0,0,0,0,2,23,0,3,25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Tomas Kloucek,1998,131,5,35,18,0,0,0,1,141,0,0,0,0,0,0,43,719,5,52,623,4,3,29,0,42,354,1,1,3,0,0
Tomas Zizka,1998,163,6,36,18,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,10,154,3,15,254,5,NA,NA,NA,0
Tobias Rieder,2011,114,4,22,18,0,0,1,0,72,0,0,0,0,0,0,0,0,0,72,1217,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Korbinian Holzer,2006,111,4,27,18,0,0,0,1,58,0,0,0,0,0,0,0,0,0,0,0,0,2,26,0,22,407,3,34,582,6,0
Mikhail Grabovski,2004,150,5,31,20,0,0,1,0,476,0,0,0,3,40,0,24,269,9,78,1265,48,59,991,35,81,1568,58,74,1303,51,1
Alexander Sulzer,2003,92,3,31,19,0,0,0,1,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,0,20,268,2,0
