name,CareerGP,NumSeasons,AvgGP,CareerTOI,AvgTOI,CareerPts,Overall,Round,Age,D1_Pos,D2_Pos,Great_160,Great_120,Draft Year
Michael St. Croix,0,0,0,0,0,0,106,4,22,1,0,0,0,2011
Michael Stone,204,4,51,3811,18.68137255,51,69,3,25,0,1,1,1,2008
Michael Tessier,0,0,0,0,0,0,76,3,31,0,0,0,0,2002
Michael Vannelli,0,0,0,0,0,0,136,4,31,0,1,0,0,2003
Michael Ward,0,0,0,0,0,0,197,7,26,0,1,0,0,2007
Michal Barinka,34,2,17,490,14.41176471,2,59,2,31,0,1,0,0,2003
Michal Birner,0,0,0,0,0,0,116,4,29,0,0,0,0,2004
Michal Blazek,0,0,0,0,0,0,167,6,33,0,1,0,0,2001
Michal Jordan,43,2,21.5,659,15.3255814,6,105,4,25,0,1,0,0,2008
Michal Macho,0,0,0,0,0,0,183,6,33,1,0,0,0,2000
Michal Pinc,0,0,0,0,0,0,142,,33,0,0,0,0,2000
Michal Repik,72,4,18,773,10.73611111,20,40,2,26,0,0,0,0,2007
Michal Sersen,0,0,0,0,0,0,130,5,29,0,1,0,0,2004
Michal Sivek,38,1,38,497,13.07894737,6,29,2,34,1,0,0,0,1999
Michal Travnicek,0,0,0,0,0,0,228,,35,0,0,0,0,1998
Michal Vondrka,0,0,0,0,0,0,155,5,32,0,0,0,0,2001
Micheal Ferland,26,1,26,274,10.53846154,5,133,5,23,0,0,0,0,2010
Michel Ouellet,190,4,47.5,2575,13.55263158,116,124,4,33,0,0,1,1,2000
Michel Periard,0,0,0,0,0,0,188,7,35,0,1,0,0,1998
Mickey Renaud,0,0,0,0,0,0,143,5,26,1,0,0,0,2007
Micki DuPont,23,4,5.75,363,15.7826087,4,270,9,35,0,1,0,0,2000
Miguel Delisle,0,0,0,0,0,0,100,4,33,0,0,0,0,2000
Miikka Salomaki,1,1,1,11,11,1,52,2,22,0,0,0,0,2011
Miikka Tuomainen,0,0,0,0,0,0,204,7,29,0,0,0,0,2004
Mika Hannula,0,0,0,0,0,0,269,9,36,0,0,0,0,2002
Mika Zibanejad,200,4,50,2990,14.95,100,6,1,22,1,0,1,1,2011
Mikael Backlund,298,7,42.57142857,4630,15.53691275,128,24,1,26,1,0,1,1,2007
Mikael Granlund,158,3,52.66666667,2664,16.86075949,88,9,1,23,1,0,0,1,2010
Mikael Johansson,0,0,0,0,0,0,289,9,30,1,0,0,0,2003
Mikael Samuelsson,699,13,53.76923077,10373,14.8397711,346,145,5,38,0,0,1,1,1998
Mikael Svensk,0,0,0,0,0,0,185,6,32,0,1,0,0,2001
Mike Bergin,0,0,0,0,0,0,209,7,27,0,1,0,0,2008
Mike Blunden,104,8,13,915,8.798076923,8,43,2,28,0,0,0,0,2005
Mike Bray,0,0,0,0,0,0,228,8,32,0,0,0,0,2001
Mike Brown,349,8,43.625,2897,8.300859599,31,159,5,30,0,0,1,1,2003
Mike Cammalleri,737,12,61.41666667,13193,17.9009498,544,49,2,33,0,0,1,1,2001
Mike Card,4,1,4,18,4.5,0,241,8,29,0,1,0,0,2004
Mike Carman,0,0,0,0,0,0,81,3,27,1,0,0,0,2006
Mike Commodore,484,11,44,8627,17.82438017,106,42,2,35,0,1,1,1,1999
Mike Comrie,589,10,58.9,9485,16.10356537,365,91,3,35,1,0,1,1,1999
Mike Curry,0,0,0,0,0,0,205,7,30,0,0,0,0,2004
Mike Danton,87,3,29,981,11.27586207,14,135,5,34,1,0,0,0,2000
Mike Egener,0,0,0,0,0,0,34,2,30,0,1,0,0,2003
Mike Erickson,0,0,0,0,0,0,72,,32,0,0,0,0,2002
Mike Farrell,13,3,4.333333333,61,4.692307692,0,220,8,36,0,0,0,0,1998
Mike Fisher,946,15,63.06666667,16656,17.60676533,520,44,2,35,1,0,1,1,1998
Mike Gabinet,0,0,0,0,0,0,237,8,33,0,1,0,0,2001
Mike Gauthier,0,0,0,0,0,0,169,6,28,0,1,0,0,2005
Mike Green,575,10,57.5,12757,22.18608696,360,29,1,30,0,1,1,1,2004
Mike Hamilton,0,0,0,0,0,0,175,6,32,0,0,0,0,2003
Mike Hoeffel,0,0,0,0,0,0,57,2,26,0,0,0,0,2007
Mike Hoffman,108,4,27,1526,14.12962963,54,130,5,25,0,0,0,0,2009
Mike Knoepfli,0,0,0,0,0,0,276,9,33,0,0,0,0,2001
Mike Komisarek,551,11,50.09090909,9358,16.98366606,81,7,1,33,0,1,1,1,2001
Mike Lundin,252,6,42,4531,17.98015873,36,102,4,31,0,1,1,1,2004
Mike Morris,0,0,0,0,0,0,27,1,32,0,0,0,0,2002
Mike Pandolfo,3,1,3,25,8.333333333,0,77,3,36,0,0,0,0,1998
Mike Ratchuk,0,0,0,0,0,0,42,,27,0,1,0,0,2006
Mike Reilly,0,0,0,0,0,0,98,4,22,0,1,0,0,2011
Mike Ribeiro,947,15,63.13333333,16666,17.59873284,718,45,2,35,1,0,1,1,1998
Mike Richards,710,10,71,13039,18.36478873,482,24,1,30,1,0,1,1,2003
Mike Rupp,610,11,55.45454545,5302,8.691803279,99,76,3,35,1,0,1,1,2000
Mike Santorelli,336,7,48,4922,14.64880952,120,178,6,29,1,0,1,1,2004
Mike Siklenka,2,2,1,6,3,0,118,5,35,0,0,0,0,1998
Mike Stuart,3,2,1.5,32,10.66666667,0,137,5,35,0,1,0,0,2000
Mike Sullivan,0,0,0,0,0,0,244,8,30,1,0,0,0,2003
Mike Van Ryn,353,8,44.125,7375,20.89235127,129,26,1,36,0,1,1,1,1998
Mike Vernace,22,2,11,323,14.68181818,1,201,7,29,0,1,0,0,2004
Mike Walsh,0,0,0,0,0,0,143,5,32,0,0,0,0,2002
Mike Weber,306,7,43.71428571,5476,17.89542484,48,57,2,27,0,1,1,1,2006
Mike Woodford,0,0,0,0,0,0,117,,33,0,0,0,0,2001
Mike Zigomanis,197,7,28.14285714,2376,12.06091371,40,46,2,34,1,0,1,1,2001
Mikhail Donika,0,0,0,0,0,0,272,,36,0,1,0,0,1999
Mikhail Grabovski,476,9,52.88888889,7825,16.43907563,271,150,5,31,1,0,1,1,2004
Mikhail Kuleshov,3,1,3,34,11.33333333,0,25,1,34,0,0,0,0,1999
Mikhail Lyubushin,0,0,0,0,0,0,215,7,32,0,1,0,0,2002
Mikhail Pashnin,0,0,0,0,0,0,200,7,26,0,1,0,0,2009
Mikhail Stefanovich,0,0,0,0,0,0,98,4,25,1,0,0,0,2008
Mikhail Tyulyapkin,0,0,0,0,0,0,268,9,31,0,1,0,0,2002
Mikhail Yakubov,53,2,26.5,634,11.96226415,12,10,1,33,1,0,0,0,2000
Mikhail Yunkov,0,0,0,0,0,0,62,,29,1,0,0,0,2004
Mikhail Zhukov,0,0,0,0,0,0,72,,30,0,0,0,0,2003
Mikkel Boedker,383,7,54.71428571,5925,15.46997389,174,8,1,25,0,0,1,1,2008
Mikko Eloranta,264,4,66,3135,11.875,76,247,9,43,0,0,1,1,1999
Mikko Hyytia,0,0,0,0,0,0,225,8,34,1,0,0,0,1999
Mikko Jokela,1,1,1,5,5,0,96,4,35,0,1,0,0,1998
Mikko Kalteva,0,0,0,0,0,0,107,4,31,0,1,0,0,2002
Mikko Koivu,681,10,68.1,13305,19.53744493,500,6,1,32,1,0,1,1,2001
Mikko Kuparinen,0,0,0,0,0,0,244,9,38,0,1,0,0,1999
Mikko Lehtonen,17,3,5.666666667,242,14.23529412,3,83,3,37,0,1,0,0,2001
Mikko Luoma,3,1,3,53,17.66666667,1,181,6,39,0,1,0,0,2002
Mikko Ruutu,0,0,0,0,0,0,201,7,36,0,0,0,0,1999
Mikko Viitanen,0,0,0,0,0,0,149,5,33,0,1,0,0,2001
Milan Bartovic,50,3,16.66666667,538,10.76,17,35,2,34,0,0,0,0,1999
Milan Gajic,0,0,0,0,0,0,112,4,34,1,0,0,0,2001
Milan Jurcina,430,7,61.42857143,7315,17.01162791,81,241,8,32,0,1,1,1,2001
Milan Kopecky,0,0,0,0,0,0,287,9,34,0,0,0,0,2000
Milan Kraft,207,4,51.75,2780,13.42995169,82,23,1,35,1,0,1,1,1998
Milan Kytnar,1,1,1,6,6,0,127,5,26,1,0,0,0,2007
Milan Lucic,566,8,70.75,8909,15.74028269,342,50,2,27,0,0,1,1,2006
Milan Michalek,697,11,63.36363636,12294,17.6384505,428,6,1,30,0,0,1,1,2003
Mirko Hoefflin,0,0,0,0,0,0,151,6,23,1,0,0,0,2010
Mirko Murovic,0,0,0,0,0,0,108,4,34,0,0,0,0,1999
Miroslav Blatak,0,0,0,0,0,0,129,4,33,0,1,0,0,2001
Miroslav Durak,0,0,0,0,0,0,220,8,34,0,1,0,0,1999
Miroslav Zalesak,12,2,6,119,9.916666667,3,104,4,35,0,0,0,0,1998
Mitch Callahan,1,1,1,9,9,0,180,6,24,0,0,0,0,2009
Mitch Carefoot,0,0,0,0,0,0,237,8,30,1,0,0,0,2004
Mitch Fadden,0,0,0,0,0,0,107,4,27,1,0,0,0,2007
Mitch Gaulton,0,0,0,0,0,0,171,6,25,0,1,0,0,2008
Mitch Maunu,0,0,0,0,0,0,120,4,29,0,1,0,0,2004
Mitch Wahl,0,0,0,0,0,0,48,2,25,1,0,0,0,2008
Mitchell Theoret,0,0,0,0,0,0,185,7,22,1,0,0,0,2011
Moises Gutierrez,0,0,0,0,0,0,164,6,29,0,0,0,0,2004
Morgan Ellis,0,0,0,0,0,0,117,4,23,0,1,0,0,2010
Morgan McCormick,0,0,0,0,0,0,103,4,34,0,0,0,0,1999
Morgan Warren,0,0,0,0,0,0,126,5,35,0,0,0,0,1998
Morten Madsen,0,0,0,0,0,0,122,4,28,0,0,0,0,2005
Myles Rumsey,0,0,0,0,0,0,221,7,28,0,1,0,0,2005
Myles Stoesz,0,0,0,0,0,0,207,7,28,0,0,0,0,2005
Nate Forster,0,0,0,0,0,0,179,,35,0,1,0,0,1998
Nate Guenin,176,8,22,2804,15.93181818,28,127,4,32,0,1,1,1,2002
Nate Hagemo,0,0,0,0,0,0,58,,28,0,1,0,0,2005
Nate Kiser,0,0,0,0,0,0,160,5,33,0,1,0,0,2000
Nate Thompson,471,8,58.875,6443,13.67940552,103,183,6,31,1,0,1,1,2003
Nathan Barrett,0,0,0,0,0,0,241,8,34,1,0,0,0,2000
Nathan Beaulieu,87,3,29,1322,15.1954023,13,17,1,22,0,1,0,0,2011
Nathan Condon,0,0,0,0,0,0,200,,25,1,0,0,0,2008
Nathan Davis,0,0,0,0,0,0,113,4,29,1,0,0,0,2005
Nathan Gerbe,347,7,49.57142857,5153,14.85014409,131,142,5,28,1,0,1,1,2005
Nathan Horton,627,10,62.7,10821,17.25837321,421,3,1,30,0,0,1,1,2003
Nathan Martz,0,0,0,0,0,0,140,5,34,1,0,0,0,2000
