#,PLAYER,TEAM,GP,G,A,TP,PPG,PIM,Plus/Minus,contract
210,Landon Oslanski(D),Lethbridge Hurricanes,70,7,18,25,0.36,92,-29,0
211,Alexander Kuvayev(RW),Lethbridge Hurricanes,58,11,13,24,0.41,32,-3,0
212,David Conrad(LW),Tri-City Americans,69,10,14,24,0.35,55,-1,0
213,Russell Maxwell(C),Lethbridge Hurricanes,69,9,15,24,0.35,57,-1,0
214,Joshua Winquist(LW),Everett Silvertips,65,8,16,24,0.37,22,-1,0
215,Clayton Cumiskey(C),Everett Silvertips,60,7,17,24,0.4,41,-20,0
216,Zak Stebner(D/W),totals,63,7,17,24,0.38,40,6,0
,,Calgary Hitmen,4,1,0,1,0.25,4,-2,0
,,Tri-City Americans,15,0,7,7,0.47,4,-1,0
,,Kelowna Rockets,44,6,10,16,0.36,32,9,0
217,Hayden Rintoul(D),Kootenay Ice,51,5,19,24,0.47,51,16,0
218,Nathan Burns(LW/C),Vancouver Giants,59,14,9,23,0.39,52,3,0
219,Graham Hood(LW),Lethbridge Hurricanes,64,9,14,23,0.36,93,-21,0
220,Sam Fioretti(C),Moose Jaw Warriors,67,8,15,23,0.34,40,-1,0
221,Christian Magnus(RW),totals,66,6,17,23,0.35,31,-7,0
,,Kootenay Ice,42,5,12,17,0.4,13,1,0
,,Swift Current Broncos,24,1,5,6,0.25,18,-8,0
222,Connor Cox(D),totals,67,6,17,23,0.34,33,11,0
,,Moose Jaw Warriors,18,3,3,6,0.33,12,2,0
,,Saskatoon Blades,49,3,14,17,0.35,21,9,0
223,Mike Reddington(D),Lethbridge Hurricanes,68,5,18,23,0.34,99,-18,0
224,James Bettauer(D/F),Prince Albert Raiders,70,5,18,23,0.33,62,-12,0
225,Tyler Vanscourt(D),Spokane Chiefs,57,4,19,23,0.4,49,3,0
226,Brock Sutherland(D),Tri-City Americans,72,4,19,23,0.32,69,4,0
227,Scott MacDonald(LW),Everett Silvertips,69,9,13,22,0.32,40,-20,0
228,Jason Swyripa(C),Brandon Wheat Kings,72,9,13,22,0.31,25,-18,0
229,Klarc Wilson(RW),Edmonton Oil Kings,66,8,14,22,0.33,109,-11,0
230,Adrian Van de Mosselaer(D),Edmonton Oil Kings,66,7,15,22,0.33,137,5,0
231,Ben Wilson(D/RW),Calgary Hitmen,72,4,18,22,0.31,108,-37,0
232,Killian Hutt(RW),totals,31,11,10,21,0.68,10,-4,0
,,Regina Pats,5,1,2,3,0.6,0,0,0
,,Swift Current Broncos,26,10,8,18,0.69,10,-4,0
233,Dylan Busenius(D),Medicine Hat Tigers,63,7,14,21,0.33,33,14,0
234,Philip Tot(LW),Lethbridge Hurricanes,58,6,15,21,0.36,27,-14,0
235,Greg Lamoureux(RW),Vancouver Giants,60,5,16,21,0.35,39,-10,0
236,Daniel Gayle(LW),totals,67,5,16,21,0.31,41,-21,0
,,Moose Jaw Warriors,18,3,7,10,0.56,8,-2,0
,,Calgary Hitmen,49,2,9,11,0.22,33,-19,0
237,Jagger Dirk(D),Kootenay Ice,71,5,15,20,0.28,46,19,0
238,Teal Burns(C),totals,62,4,16,20,0.32,54,3,0
,,Portland Winterhawks,32,1,6,7,0.22,26,4,0
,,Vancouver Giants,30,3,10,13,0.43,28,-1,0
239,Kyle Verdino(D/LW),Swift Current Broncos,67,4,16,20,0.3,156,-20,0
240,Reid Jackson(D),Lethbridge Hurricanes,51,3,17,20,0.39,64,-17,0
241,Mark Schneider(D),totals,67,3,17,20,0.3,28,-51,0
,,Brandon Wheat Kings,3,0,0,0,0,0,-3,0
,,Regina Pats,64,3,17,20,0.31,28,-48,0
242,Corbin Baldwin(D),Spokane Chiefs,71,2,18,20,0.28,110,5,0
243,Dallas Ehrhardt(D),Moose Jaw Warriors,55,1,19,20,0.36,74,4,0
244,Tyler Fiddler(LW),Calgary Hitmen,41,9,10,19,0.46,58,-16,0
245,Tanner Olstad(C),totals,59,9,10,19,0.32,36,-29,0
,,Tri-City Americans,20,1,2,3,0.15,9,-5,0
,,Regina Pats,39,8,8,16,0.41,27,-24,0
246,Colten Mayor(LW),Red Deer Rebels,65,8,11,19,0.29,38,8,0
247,Taylor Peters(C/LW),Portland Winterhawks,72,8,11,19,0.26,47,5,0
248,Tyler Alos(C),Seattle Thunderbirds,67,6,13,19,0.28,33,-15,0
249,Daniel Johnston(D),Lethbridge Hurricanes,66,4,15,19,0.29,66,-11,0
250,Chad Suer(D),Everett Silvertips,53,0,19,19,0.36,24,-8,0
251,Reid Petryk(C/RW),Medicine Hat Tigers,68,13,5,18,0.26,34,3,0
252,Paul Ciarelli(C),Brandon Wheat Kings,60,8,10,18,0.3,50,0,0
253,Andrew Herle(RW/LW),Prince Albert Raiders,70,7,11,18,0.26,87,-8,0
254,Derek Ryckman(D),Lethbridge Hurricanes,65,5,13,18,0.28,105,-9,0
255,Nathan Deck(D),Prince Albert Raiders,60,2,16,18,0.3,36,4,0
256,Shayne Neigum(D),totals,64,11,6,17,0.27,194,-37,0
,,Chilliwack Bruins,4,0,0,0,0,17,-5,0
,,Kamloops Blazers,23,1,2,3,0.13,69,-8,0
,,Regina Pats,37,10,4,14,0.38,108,-24,0
257,Curtis Valk(C),Medicine Hat Tigers,56,8,9,17,0.3,19,8,0
258,Marek Hrbas(D),Edmonton Oil Kings,64,5,12,17,0.27,30,-4,0
259,Spencer Humphries(D),totals,58,4,13,17,0.29,94,-2,0
,,Tri-City Americans,34,2,3,5,0.15,50,-2,0
,,Calgary Hitmen,24,2,10,12,0.5,44,0,0
260,Matt Konan(D),Medicine Hat Tigers,61,4,13,17,0.28,69,18,0
261,Luke Paulsen(D),Kootenay Ice,51,3,14,17,0.33,18,10,0
262,Michael Sofillas(C),Lethbridge Hurricanes,64,3,14,17,0.27,15,-20,0
263,Davis Vandane(D),totals,50,0,17,17,0.34,14,7,0
,,Saskatoon Blades,8,0,0,0,0,0,0,0
,,Spokane Chiefs,42,0,17,17,0.4,14,7,0
264,Dalton Sward(C/RW),Vancouver Giants,62,10,6,16,0.26,45,-1,0
265,Andrew Johnson(C),Moose Jaw Warriors,55,9,7,16,0.29,26,-2,0
266,Mike Forsyth(LW/C),Chilliwack Bruins,68,8,8,16,0.24,37,-3,0
267,Mikael Jung(RW),Regina Pats,69,8,8,16,0.23,11,-18,0
268,Mitch Topping(D),Chilliwack Bruins,71,5,11,16,0.23,47,-9,0
269,Alex Roach(D),Calgary Hitmen,61,4,12,16,0.26,77,-24,0
270,Tanner Mort(D),Spokane Chiefs,63,3,13,16,0.25,44,-1,0
271,Andreas Stene(C/LW),Kelowna Rockets,55,2,14,16,0.29,19,-3,0
272,Jesse Forsberg(D),Prince George Cougars,57,2,14,16,0.28,144,4,0
273,Aaron Borejko(D),Red Deer Rebels,67,1,15,16,0.24,63,20,0
274,Andrew Rieder(C/RW),Regina Pats,57,9,6,15,0.26,55,-18,0
275,Colton Stephenson(C),Edmonton Oil Kings,50,7,8,15,0.3,18,-5,0
301,Cody Fowlie(RW),Everett Silvertips,70,7,8,15,0.21,39,-7,0
302,Shane Danyluk(C),Prince Albert Raiders,54,3,12,15,0.28,6,4,0
303,Scott McKay(D),Medicine Hat Tigers,64,3,12,15,0.23,52,20,0
304,Jordan Wyton(LW),Moose Jaw Warriors,72,3,12,15,0.21,98,-11,0
305,Taylor Makin(LW),Prince George Cougars,48,7,7,14,0.29,43,3,0
306,Jari Erricson(LW/C),Everett Silvertips,60,7,7,14,0.23,25,3,0
307,Tyson Ness(LW),Red Deer Rebels,68,7,7,14,0.21,11,14,0
308,Dyson Stevenson(W/C),Regina Pats,64,6,8,14,0.22,72,-19,0
309,Travis Bobbee(D),Seattle Thunderbirds,54,5,9,14,0.26,22,-11,0
310,Curt Gogol(LW/D),totals,62,5,9,14,0.23,201,-10,0
,,Saskatoon Blades,15,1,1,2,0.13,59,-4,0
,,Chilliwack Bruins,47,4,8,12,0.26,142,-6,0
311,Andy Blanke(C),Swift Current Broncos,67,5,9,14,0.21,117,-25,0
312,Josh Cowen(RW),Red Deer Rebels,34,3,11,14,0.41,70,5,0
313,Jesse Pauls(D),Chilliwack Bruins,21,1,13,14,0.67,29,1,0
314,Erik Bonsor(D),Seattle Thunderbirds,72,0,14,14,0.19,52,-14,0
315,Austin Connor(RW),Prince Albert Raiders,59,8,5,13,0.22,104,-13,0
316,Brady Gaudet(D),Kamloops Blazers,56,6,7,13,0.23,41,-15,0
317,Chance Lund(LW),Seattle Thunderbirds,72,6,7,13,0.18,67,-15,0
318,Dominick Favreau(C),totals,40,5,8,13,0.33,12,-5,0
,,Regina Pats,1,0,0,0,0,0,0,0
,,Brandon Wheat Kings,39,5,8,13,0.33,12,-5,0
319,Mitch Elliot(LW),Seattle Thunderbirds,72,5,8,13,0.18,118,-27,0
320,Jordan Evans(D),Swift Current Broncos,58,4,9,13,0.22,44,-25,0
321,Logan McVeigh(C),Kamloops Blazers,59,4,9,13,0.22,14,-7,0
322,Rene Hunter(D),Brandon Wheat Kings,66,3,10,13,0.2,50,4,0
323,Dylan Bredo(D/C),Medicine Hat Tigers,72,3,10,13,0.18,53,-1,0
324,Tyler Yaworski(D),Prince Albert Raiders,65,2,11,13,0.2,181,-1,0
325,Mike Aviani(C),Spokane Chiefs,56,7,5,12,0.21,50,7,0
326,Brett Lyon(LW),totals,56,5,7,12,0.21,192,-8,0
,,Vancouver Giants,25,0,3,3,0.12,105,-9,0
,,Moose Jaw Warriors,31,5,4,9,0.29,87,1,0
327,Jaroslav Vlach(LW/C),Prince George Cougars,55,4,8,12,0.22,84,-13,0
328,Ryan Hanes(LW),Kamloops Blazers,70,4,8,12,0.17,167,-9,0
329,Manraj Singh Hayer(C),Everett Silvertips,61,3,9,12,0.2,29,-7,0
330,Tyler Hansen(D),Kamloops Blazers,70,2,10,12,0.17,69,-9,0
331,Brad Deagle(D),Red Deer Rebels,55,0,12,12,0.22,51,12,0
332,Trevor Cameron(RW),Swift Current Broncos,33,6,5,11,0.33,28,-8,0
333,Mackenzie Royer(LW),totals,35,6,5,11,0.31,46,-10,0
,,Calgary Hitmen,16,1,1,2,0.13,15,-2,0
,,Moose Jaw Warriors,19,5,4,9,0.47,31,-8,0
334,Lyndon Martell(F),totals,37,6,5,11,0.3,18,1,0
,,Kamloops Blazers,8,0,1,1,0.13,0,-3,0
,,Regina Pats,29,6,4,10,0.34,18,4,0
335,Neal Prokop(C),Tri-City Americans,17,4,7,11,0.65,23,3,0
336,Drydn Dow(D),Tri-City Americans,53,4,7,11,0.21,12,7,0
337,Luke Fenske(D),Vancouver Giants,55,4,7,11,0.2,64,-2,0
338,Wheaton King(LW),Brandon Wheat Kings,38,2,9,11,0.29,33,1,0
339,Reid Gow(D),Spokane Chiefs,41,2,9,11,0.27,29,9,0
340,Patrik Parkkonen(D),Medicine Hat Tigers,53,2,9,11,0.21,18,5,0
341,Brock Montgomery(RW),Kootenay Ice,54,1,10,11,0.2,81,-11,0
342,Dave Sutter(D),Seattle Thunderbirds,71,1,10,11,0.15,65,-17,0
343,Ryley Miller(D),Brandon Wheat Kings,55,0,11,11,0.2,145,7,0
344,Michal Hlinka(C/LW),totals,45,5,5,10,0.22,21,2,0
,,Moose Jaw Warriors,22,4,2,6,0.27,10,2,0
,,Prince Albert Raiders,23,1,3,4,0.17,11,0,0
345,Brendan Hurley(LW),Kootenay Ice,57,5,5,10,0.18,114,-7,0
346,Erik Benoit(C/LW),Kootenay Ice,52,4,6,10,0.19,20,-3,0
347,Seth Swenson(RW),Portland Winterhawks,59,3,7,10,0.17,38,0,0
348,Kyle Schmidt(D),Calgary Hitmen,65,3,7,10,0.15,74,-36,0
349,Zach Hodder(D),Vancouver Giants,25,2,8,10,0.4,9,-3,0
350,Boston Leier(LW),Medicine Hat Tigers,50,2,8,10,0.2,55,6,0
351,Colton Jobke(D),Kelowna Rockets,51,1,9,10,0.2,84,5,0
352,Brandon Underwood(D),Kamloops Blazers,58,0,10,10,0.17,97,-1,0
