rank,age,nationality,name,pos,GP,G,A,P,PIM,plusMinus,PPG,SHG,GWG,GGP,AGP,PGP
559,26,CA,Eric Faille,F,15,7,3,10,2,5,1,0,,0.467,0.2,0.667
560,22,CA,Kurtis Gabriel,F,66,6,4,10,137,-10,0,0,,0.091,0.061,0.152
561,23,US,Phil Lane,F,56,6,4,10,70,-5,0,0,,0.107,0.071,0.179
562,24,US,Kenny Ryan,F,41,6,4,10,10,3,1,2,,0.146,0.098,0.244
563,24,CA,Alex Belzile,F,25,6,4,10,10,2,1,0,,0.24,0.16,0.4
564,24,US,Chris Wagner,F,15,6,4,10,22,1,1,0,,0.4,0.267,0.667
565,30,CA,Kyle Hagel,F,75,5,5,10,164,-2,0,0,,0.067,0.067,0.133
566,31,CA,Mike Moore,D,48,5,5,10,59,1,0,0,,0.104,0.104,0.208
567,30,CA,Blair Riley,F,45,5,5,10,74,-9,0,0,,0.111,0.111,0.222
568,21,CA,Mitch Moroz,F,40,5,5,10,99,4,0,0,,0.125,0.125,0.25
569,29,AT,Thomas Raffl,F,31,5,5,10,42,-6,1,1,,0.161,0.161,0.323
570,26,CA,Kyle Bonis,F,32,4,6,10,6,6,0,1,,0.125,0.188,0.313
571,23,SE,Fredrik Claesson,D,55,3,7,10,50,-5,1,0,,0.055,0.127,0.182
572,21,SE,Sebastian Collberg,F,42,3,7,10,10,-4,0,0,,0.071,0.167,0.238
573,26,US,Matt Mangene,F,41,3,7,10,26,-2,1,0,,0.073,0.171,0.244
574,24,US,David Shields,D,32,3,7,10,8,12,0,0,,0.094,0.219,0.313
575,22,CA,Tyler Wotherspoon,D,53,2,8,10,16,1,0,0,,0.038,0.151,0.189
576,23,US,Derek Forbort,D,40,2,8,10,40,13,0,0,,0.05,0.2,0.25
577,28,CA,Nicholas Drazenovic,F,35,2,8,10,12,1,0,0,,0.057,0.229,0.286
578,20,CA,Kyle Burroughs,D,31,2,8,10,30,-11,0,0,,0.065,0.258,0.323
579,21,CA,Griffin Reinhart,D,30,2,8,10,16,2,1,0,,0.067,0.267,0.333
580,22,US,Shayne Gostisbehere,D,14,2,8,10,6,-2,2,0,,0.143,0.571,0.714
581,25,FI,Kristian Näkyvä,D,69,1,9,10,32,-5,0,0,,0.014,0.13,0.145
582,22,CA,Graham Black,F,50,7,2,9,20,0,0,0,,0.14,0.04,0.18
583,25,CA,Jonathan Audy-Marchessault,F,11,6,3,9,6,3,1,0,,0.545,0.273,0.818
584,22,CA,Travis Ewanyk,F,66,5,4,9,110,-6,0,1,,0.076,0.061,0.136
585,23,BY,Roman Graborenko,D,47,5,4,9,42,-9,3,0,,0.106,0.085,0.191
586,21,SE,Calle Andersson,D,43,5,4,9,14,-1,4,0,,0.116,0.093,0.209
587,29,US,Kevin Porter,F,16,5,4,9,4,11,0,1,,0.313,0.25,0.563
588,22,FI,Markus Granlund,F,12,5,4,9,10,4,3,0,,0.417,0.333,0.75
589,23,SK,Tomas Jurco,F,5,5,4,9,4,4,4,0,,1,0.8,1.8
590,28,CA,Cody Bass,F,39,4,5,9,84,-1,0,0,,0.103,0.128,0.231
591,23,US,Trevor Cheek,F,34,4,5,9,21,0,0,0,,0.118,0.147,0.265
592,20,CA,Morgan Klimchuk,F,55,3,6,9,10,0,1,0,,0.055,0.109,0.164
593,27,US,Mike Cornell,D,51,3,6,9,132,1,1,0,,0.059,0.118,0.176
594,21,SE,Erik Karlsson,F,49,3,6,9,6,-17,1,0,,0.061,0.122,0.184
595,24,US,Derek Army,F,36,3,6,9,10,0,1,0,,0.083,0.167,0.25
596,23,CA,Alex Guptill,F,23,3,6,9,32,1,0,0,,0.13,0.261,0.391
597,22,US,Cody Corbett,D,23,3,6,9,8,2,2,0,,0.13,0.261,0.391
598,23,CA,Tommy Hughes,D,59,2,7,9,48,-5,0,1,,0.034,0.119,0.153
599,24,CA,Dennis Robertson,D,58,2,7,9,34,15,0,0,,0.034,0.121,0.155
600,21,CA,Troy Bourke,F,56,2,7,9,30,-3,0,0,,0.036,0.125,0.161
601,21,UA,Pavel Padakin,F,41,2,7,9,35,-3,0,0,,0.049,0.171,0.22
602,27,CA,Justin Falk,D,32,2,7,9,43,3,0,0,,0.063,0.219,0.281
603,27,SE,Jonathan Carlsson,D,25,2,7,9,6,4,0,0,,0.08,0.28,0.36
604,22,CA,Jonathan Racine,D,69,1,8,9,89,8,0,0,,0.014,0.116,0.13
605,20,CZ,Jan Kostalek,D,52,1,8,9,20,-12,0,0,,0.019,0.154,0.173
606,24,CA,Jesse Blacker,D,45,1,8,9,28,8,0,0,,0.022,0.178,0.2
607,23,CA,Kyle Baun,F,43,1,8,9,16,-1,0,0,,0.023,0.186,0.209
608,27,US,Andrew Rowe,F,11,7,1,8,2,1,3,0,,0.636,0.091,0.727
