player_id,jersey_no,first_name,last_name,team_id,games_played,total_ice_time,ev_icetime,goals,primary_assists,secondary_assists,ev_goals,ev_primary_assists,ev_secondary_assists,shots,ev_shots,passes,ev_passes,ze_controlled_entry,ze_uncontrolled_entry,ze_controlled_exit,ze_uncontrolled_exit,penalties_taken,penalties_drawn,team_ev_shots_for,team_ev_shots_against
85,29,Jake,DeBrusk,PRO,31,8:23:39,6:18:41,9,7,3,0,6,1,114,94,364,294,62,101,65,61,3,8,459,357
333,12,Max,Friberg,STJ,27,8:23:24,5:46:19,5,2,5,0,1,4,59,47,397,306,52,76,48,41,3,6,292,413
437,24,Ben,Harpur,BNG,24,8:23:15,6:03:16,1,5,2,0,4,2,79,66,507,397,23,89,136,92,9,5,313,404
182,13,Chase,Balisy,SPR,28,8:22:38,5:34:12,5,5,4,0,3,2,35,25,432,303,52,59,57,26,7,6,357,272
171,3,Josh,Brown,SPR,27,8:19:51,6:31:37,1,4,0,0,2,0,50,38,397,300,15,78,58,65,11,8,270,397
410,10,Byron,Froese,TOR,25,8:17:28,5:40:46,11,3,2,0,3,2,108,77,446,299,46,51,41,22,2,5,379,251
251,26,Ben,Thomas,SYR,27,8:16:14,6:07:14,0,3,4,0,3,3,83,68,599,432,22,52,100,44,7,6,349,283
467,2,Erik,Burgdoerfer,RCH,23,8:13:41,6:02:04,1,5,2,0,3,1,80,65,427,329,20,67,98,56,12,5,286,405
62,40,Jordan,Weal,LV,27,8:08:48,5:47:19,13,6,11,0,3,9,102,74,657,451,88,38,74,21,8,11,406,246
358,48,Colby,Robak,UTI,21,8:07:17,5:22:27,1,2,7,0,1,3,125,99,579,424,19,65,112,71,6,5,386,288
16,5,David,Warsofsky,WIL,22,8:04:17,5:19:40,6,6,9,0,4,6,154,123,593,438,48,62,130,62,7,2,427,345
325,24,Daniel,Audette,STJ,30,8:02:22,6:06:27,5,6,2,0,5,1,70,52,421,327,65,48,61,33,7,9,353,355
401,6,Andrew,Nielsen,TOR,25,8:01:01,5:50:41,5,4,6,0,3,3,145,110,795,562,20,56,104,46,11,5,406,238
51,22,Chris,Conner,LV,29,7:59:09,5:29:30,6,10,4,0,7,0,52,43,289,210,56,49,43,15,2,14,416,253
42,4,Robert,Hägg,LV,25,7:57:12,5:59:41,2,2,1,0,2,1,84,59,353,256,20,70,65,72,7,2,257,351
364,25,Darren,Archibald,UTI,27,7:56:53,5:18:56,7,5,4,0,4,3,100,72,275,188,56,82,47,40,7,8,317,289
157,24,Brad,Malone,HER,32,7:52:00,5:35:38,3,3,4,0,1,4,62,46,345,232,42,44,43,24,13,8,251,297
98,37,Jordan,Szwarz,PRO,28,7:49:46,5:25:57,5,5,10,0,5,8,58,51,395,292,51,48,39,28,7,10,385,315
72,6,Chris,Casto,PRO,23,7:49:41,6:10:08,1,3,3,0,3,3,101,83,488,416,26,89,103,67,8,4,354,358
39,41,Anthony,Stolarz,LV,8,7:49:09,5:57:17,0,0,0,0,0,0,1,1,11,6,0,0,0,0,0,0,363,350
97,15,Wayne,Simpson,PRO,31,7:47:58,6:13:02,7,3,4,0,2,4,93,77,580,440,96,52,85,41,3,6,409,306
460,22,Phil,Varone,BNG,23,7:47:32,5:47:40,8,6,3,0,2,1,74,65,509,403,102,55,77,30,4,4,383,367
59,13,Colin,McDonald,LV,29,7:45:39,5:48:04,12,3,3,0,3,1,92,71,392,281,61,72,43,24,6,7,388,295
494,10,Cole,Schneider,RCH,24,7:45:23,5:39:44,6,8,7,0,6,4,70,51,499,369,62,59,43,27,9,7,354,331
154,28,Paul,Carey,HER,26,7:44:14,4:55:02,9,9,6,0,7,4,93,58,493,296,52,64,47,27,6,6,254,197
432,7,Chris,Carlisle,BNG,27,7:44:02,6:35:28,1,2,3,0,2,2,74,62,512,407,29,38,99,29,3,2,367,395
232,13,Nicklas,Jensen,HAR,25,7:43:58,5:18:54,13,6,3,0,5,3,140,116,396,282,96,63,71,40,5,6,389,315
300,18,Blake,Pietila,ALB,25,7:41:49,5:02:07,10,6,4,0,2,4,80,64,355,230,51,42,51,21,8,5,298,279
394,2,Andrew,Campbell,TOR,26,7:39:49,5:53:39,0,3,2,0,1,2,70,47,386,282,17,71,64,65,8,3,284,303
247,4,Jake,Dotchin,SYR,23,7:39:08,5:29:12,2,3,3,0,2,2,103,81,482,392,6,63,72,64,13,6,362,328
443,25,Casey,Bailey,BNG,24,7:38:02,5:40:42,7,2,1,0,1,1,112,93,481,378,65,75,91,30,2,5,368,343
475,23,Tyson,Strachan,RCH,23,7:37:29,5:54:01,1,1,2,0,1,2,61,43,360,299,10,87,72,75,3,2,261,432
30,11,Kevin,Porter,WIL,25,7:36:02,5:03:48,5,5,4,0,4,4,72,59,455,372,87,54,88,36,8,8,384,349
283,5,Andrew,MacWilliam,ALB,25,7:28:40,5:47:04,0,1,1,0,1,1,54,34,461,313,14,70,61,52,13,12,248,277
240,7,Adam,Tambellini,HAR,28,7:28:05,5:32:15,7,6,5,0,5,3,93,80,409,319,61,70,67,41,5,2,352,330
218,8,Steven,Kampfer,HAR,21,7:28:00,5:32:23,1,2,3,0,2,2,114,87,650,490,22,71,103,57,8,8,329,359
180,52,MacKenzie,Weegar,SPR,21,7:27:24,5:07:00,5,2,4,0,1,3,90,73,703,512,35,82,105,54,9,6,322,236
314,26,Julien,Brouillette,STJ,22,7:26:07,5:06:53,2,1,2,0,1,0,69,58,565,472,7,70,114,73,3,6,300,348
276,31,Scott,Wedgewood,ALB,8,7:25:42,4:11:48,0,0,1,0,0,1,0,0,23,9,0,0,0,0,0,2,210,204
492,16,Cal,OReilly,RCH,21,7:25:27,4:57:22,4,9,4,0,7,3,38,30,590,422,61,45,66,17,2,0,287,298
301,17,John,Quenneville,ALB,26,7:24:46,5:07:27,6,8,7,0,8,5,129,89,531,359,62,59,52,22,11,9,338,207
166,12,Nathan,Walker,HER,33,7:24:14,5:47:11,6,5,1,0,3,1,76,56,376,254,62,60,43,43,8,12,264,222
207,31,Brandon,Halverson,HAR,8,7:21:31,6:35:24,0,0,1,0,0,1,0,0,2,2,0,0,1,0,0,0,334,367
287,7,Karl,Stollery,ALB,24,7:21:30,5:13:06,0,2,2,0,2,2,77,50,563,396,17,43,104,57,6,9,272,276
70,43,Matt,Bartkowski,PRO,22,7:20:06,5:31:16,1,3,3,0,2,2,94,70,463,349,35,60,100,49,6,2,323,327
35,19,Garrett,Wilson,WIL,28,7:20:00,5:09:10,6,8,2,0,5,1,80,73,273,211,40,73,42,31,14,8,417,298
