rank,age,nationality,name,NHL/NextYear,NHL/Ever,pos,GP,G,A,P,PIM,plusMinus,PPG,SHG,GWG,GGP,AGP,PGP
19,18,CA,Angelo Miceli,0,0,F,68,36,45,81,35,3,14,0,5,0.529,0.662,1.191
20,20,CA,Michael Beaudry,0,0,F,66,34,47,81,8,8,12,0,3,0.515,0.712,1.227
21,20,CA,Philippe Halley,0,0,F,67,40,38,78,48,4,17,2,1,0.597,0.567,1.164
22,19,CA,Darcy Ashley,0,0,F,66,26,52,78,59,44,6,3,3,0.394,0.788,1.182
23,18,CA,Christopher Clapperton,0,0,F,67,34,43,77,71,17,8,2,5,0.507,0.642,1.149
24,20,CA,Brandon Hynes,0,0,F,63,36,40,76,48,-5,10,0,4,0.571,0.635,1.206
25,17,RU,Valentin Zykov,0,0,F,67,40,35,75,60,29,10,0,9,0.597,0.522,1.119
26,19,CA,Matthew Boudreau,0,0,F,67,36,39,75,24,41,11,0,6,0.537,0.582,1.119
27,18,CA,Jerome Verrier,0,0,F,68,35,40,75,116,0,17,0,9,0.515,0.588,1.103
28,17,CA,Nathan MacKinnon,1,1,F,44,32,43,75,45,40,10,2,7,0.727,0.977,1.705
29,20,CA,Gabriel Desjardins,0,0,F,66,32,42,74,47,29,11,2,7,0.485,0.636,1.121
30,19,CA,Yannick Veilleux,0,0,F,65,34,39,73,102,15,21,2,7,0.523,0.6,1.123
31,20,CA,Mathieu Brisebois,0,0,D,64,19,54,73,103,15,7,0,4,0.297,0.844,1.141
32,20,CA,Stefan Fournier,0,0,F,66,35,37,72,100,17,16,0,3,0.53,0.561,1.091
33,17,US,Adam Erne,0,0,F,68,28,44,72,67,11,9,0,6,0.412,0.647,1.059
34,18,CA,Charles Hudon,0,1,F,56,30,41,71,66,15,9,3,3,0.536,0.732,1.268
35,19,CA,Scott Oke,0,0,F,57,29,42,71,34,17,13,1,6,0.509,0.737,1.246
36,18,CA,Luca Ciampini,0,0,F,65,25,46,71,37,42,9,0,4,0.385,0.708,1.092
37,20,CA,Kevin Gagne,0,0,D,62,17,54,71,36,11,4,1,6,0.274,0.871,1.145
38,18,CA,Emile Poirier,0,1,F,65,32,38,70,101,0,7,3,3,0.492,0.585,1.077
39,20,CA,Guillaume Asselin,0,0,F,68,27,43,70,80,7,5,2,4,0.397,0.632,1.029
40,19,CA,Raphael Bussieres,0,0,F,60,29,39,68,43,27,6,0,6,0.483,0.65,1.133
41,20,CA,Logan Shaw,0,1,F,67,26,42,68,37,30,10,1,5,0.388,0.627,1.015
42,18,CA,Marc-Olivier Roy,0,0,F,65,29,38,67,68,12,13,0,8,0.446,0.585,1.031
43,19,CA,Olivier Archambault,0,0,F,64,32,34,66,56,-6,15,0,4,0.5,0.531,1.031
44,19,CA,Marc-Olivier Brouillard,0,0,F,60,22,44,66,72,-5,7,0,0,0.367,0.733,1.1
45,20,CA,Tommy Giroux,0,0,F,68,32,32,64,18,25,4,3,3,0.471,0.471,0.941
46,20,CA,Cedrick Henley,0,0,F,64,31,33,64,90,15,17,2,3,0.484,0.516,1
47,19,RU,Nikita Kucherov,1,1,F,33,29,34,63,14,17,3,1,4,0.879,1.03,1.909
48,17,CA,Gabryel Paquin-Boudreau,0,0,F,67,22,41,63,43,31,3,0,2,0.328,0.612,0.94
49,20,CA,Stephen MacAulay,0,0,F,59,31,31,62,52,8,14,0,2,0.525,0.525,1.051
50,19,CA,Francis Beauvillier,0,0,F,64,30,32,62,86,6,7,1,1,0.469,0.5,0.969
51,19,CA,Sebastien Sylvestre,0,0,F,68,28,34,62,69,-8,11,1,3,0.412,0.5,0.912
52,20,CA,Alexandre Comtois,0,0,F,68,24,38,62,85,-25,13,3,2,0.353,0.559,0.912
53,17,RU,Ivan Barbashev,0,0,F,68,18,44,62,36,9,2,0,3,0.265,0.647,0.912
54,18,CA,Felix Girard,0,1,F,58,23,38,61,58,18,8,0,5,0.397,0.655,1.052
55,17,CA,Frederik Gauthier,0,0,F,62,22,38,60,26,22,4,1,4,0.355,0.613,0.968
56,20,CA,Mike McNamee,0,0,F,64,22,37,59,16,-22,6,0,1,0.344,0.578,0.922
57,19,CA,Marcus Power,0,0,F,66,17,42,59,30,2,3,5,3,0.258,0.636,0.894
58,17,CA,Laurent Dauphin,0,1,F,62,25,32,57,50,0,10,3,9,0.403,0.516,0.919
59,20,CA,Matt Bissonnette,0,0,F,47,16,41,57,34,20,2,1,1,0.34,0.872,1.213
60,17,CA,Nikolas Brouillard,0,0,D,68,14,43,57,49,-21,6,0,1,0.206,0.632,0.838
61,20,CA,Jordan Murray,0,0,D,64,13,43,56,58,-7,9,0,4,0.203,0.672,0.875
62,18,CA,Christophe Lalancette,0,0,F,62,18,37,55,36,6,6,0,2,0.29,0.597,0.887
63,18,RU,Mikhail Grigorenko,1,1,F,33,30,24,54,8,10,11,0,6,0.909,0.727,1.636
64,18,CA,Louick Marcotte,0,0,F,63,27,27,54,62,15,3,2,4,0.429,0.429,0.857
65,19,CZ,Tomas Hyka,0,0,F,49,20,34,54,24,9,6,0,4,0.408,0.694,1.102
66,18,CA,Adam Chapman,0,0,F,66,19,35,54,168,7,6,0,2,0.288,0.53,0.818
67,20,DE,Konrad Abeltshauser,0,0,D,56,7,47,54,22,35,3,0,1,0.125,0.839,0.964
68,17,CA,Philippe Sanche,0,0,F,62,18,35,53,19,14,6,0,3,0.29,0.565,0.855
69,17,CA,Vincent Dunn,0,0,F,53,25,27,52,98,21,4,1,2,0.472,0.509,0.981
70,20,CA,Carl Gelinas,0,0,F,51,19,33,52,14,11,5,1,3,0.373,0.647,1.02
71,18,RU,Denis Kamayev,0,0,F,64,16,35,51,14,-4,2,0,2,0.25,0.547,0.797
72,17,SK,Martin Reway,0,0,F,47,22,28,50,56,-1,9,1,6,0.468,0.596,1.064
73,17,CA,Anthony Duclair,0,1,F,55,20,30,50,22,23,3,0,3,0.364,0.545,0.909
74,19,CA,Victor Provencher,0,0,F,67,24,25,49,138,7,6,0,5,0.358,0.373,0.731
75,19,CZ,Matej Beran,0,0,F,46,24,25,49,54,18,6,0,5,0.522,0.543,1.065
76,20,CA,Steve Lebel,0,0,F,57,21,28,49,32,4,7,0,1,0.368,0.491,0.86
77,20,CA,Samuel Carrier,0,0,D,68,12,37,49,67,38,7,0,2,0.176,0.544,0.721
78,20,CA,Jeremie Malouin,0,0,F,60,30,18,48,112,4,9,1,3,0.5,0.3,0.8
79,18,CA,Maxime St. Cyr,0,0,F,67,29,18,47,27,3,7,0,4,0.433,0.269,0.701
80,17,CZ,Patrik Zdrahal,0,0,F,64,20,27,47,10,-16,8,0,2,0.313,0.422,0.734
81,18,SE,Nick Sörensen,0,1,F,46,20,27,47,18,10,6,1,3,0.435,0.587,1.022
82,20,CA,Jonathan Narbonne,0,0,D,64,10,36,46,37,15,7,0,2,0.156,0.563,0.719
83,19,CA,Sam Henley,0,0,F,58,22,23,45,59,14,8,0,1,0.379,0.397,0.776
84,20,CA,Peter Sakaris,0,0,F,65,21,24,45,66,-21,5,0,0,0.323,0.369,0.692
85,19,CA,Jonathan Huberdeau,1,1,F,30,16,29,45,48,-1,5,0,3,0.533,0.967,1.5
86,19,CA,Brent Andrews,0,0,F,67,15,30,45,32,19,1,1,4,0.224,0.448,0.672
87,19,CA,Guillaume Gelinas,0,0,D,68,6,39,45,111,15,3,1,1,0.088,0.574,0.662
88,19,CA,Ryan Culkin,0,0,D,67,5,40,45,46,28,1,0,0,0.075,0.597,0.672
89,20,CA,Rock Regimbald,0,0,F,60,20,24,44,68,-7,6,3,1,0.333,0.4,0.733
90,20,CA,Etienne Boutet,0,0,D,64,12,32,44,61,2,5,1,2,0.188,0.5,0.688
91,18,CA,Mackenzie Weegar,0,0,D,62,8,36,44,58,55,2,0,2,0.129,0.581,0.71
92,18,CA,Raphael Lafontaine,0,0,F,68,23,20,43,69,-22,6,2,1,0.338,0.294,0.632
93,20,CA,Loik Poudrier,0,0,F,41,14,29,43,20,19,5,0,2,0.341,0.707,1.049
94,19,CA,Frederick Gaudreau,0,1,F,68,13,30,43,22,-33,2,1,2,0.191,0.441,0.632
95,18,CA,Frederic Gamelin,0,0,F,68,12,31,43,31,18,2,0,1,0.176,0.456,0.632
96,19,CA,Cole Hawes,0,0,F,62,12,31,43,25,-10,2,0,0,0.194,0.5,0.694
97,20,CA,Maxim Lamarche,0,0,D,55,9,34,43,63,31,4,0,1,0.164,0.618,0.782
98,18,CA,Christophe Lalonde,0,0,F,63,28,14,42,27,0,9,0,2,0.444,0.222,0.667
99,18,CA,Taylor Burke,0,0,F,63,23,19,42,69,3,2,8,1,0.365,0.302,0.667
100,18,CA,William Carrier,0,1,F,34,16,26,42,41,-14,4,0,2,0.471,0.765,1.235
101,19,CA,Jimmy Oligny,0,0,D,65,13,29,42,142,3,10,1,2,0.2,0.446,0.646
102,18,CZ,Petr Sidlik,0,0,D,55,9,33,42,44,11,3,0,2,0.164,0.6,0.764
103,18,CA,Danick Martel,0,0,F,68,19,22,41,50,20,0,3,1,0.279,0.324,0.603
104,19,CA,Matt Boudens,0,0,F,63,18,23,41,108,-6,5,1,4,0.286,0.365,0.651
105,19,CA,Ryan Tesink,0,0,F,41,17,24,41,81,6,7,1,1,0.415,0.585,1
106,19,CA,Xavier Ouellet,1,1,D,50,10,31,41,44,14,9,0,0,0.2,0.62,0.82
107,17,CA,Anthony DeLuca,0,0,F,67,22,18,40,33,-7,3,0,1,0.328,0.269,0.597
108,20,CA,Martin Lefebvre,0,0,D,56,7,33,40,16,2,5,0,0,0.125,0.589,0.714
109,18,CA,Andrew Ryan,0,0,F,56,21,18,39,32,18,2,3,4,0.375,0.321,0.696
110,18,LV,Nikita Jevpalovs,0,0,F,60,18,21,39,36,26,2,0,2,0.3,0.35,0.65
111,20,CA,Mathieu Gagnon,0,0,D,64,11,28,39,67,3,5,0,1,0.172,0.438,0.609
112,19,CZ,Tomas Pavelka,0,0,D,56,8,31,39,22,21,3,0,2,0.143,0.554,0.696
113,19,RU,Artyom Sergeyev,0,0,D,55,6,33,39,65,20,2,0,0,0.109,0.6,0.709
114,19,CZ,Jakub Izacky,0,0,F,63,21,17,38,30,-17,7,1,4,0.333,0.27,0.603
115,19,CA,Michael Clarke,0,0,F,67,19,19,38,28,-50,5,0,0,0.284,0.284,0.567
116,20,CA,Alex Micallef,0,0,D,67,14,23,37,37,24,2,3,3,0.209,0.343,0.552
117,19,CA,Carl-Antoine Delisle,0,0,F,68,17,19,36,100,-2,5,1,2,0.25,0.279,0.529
118,19,CA,Philippe Hudon,0,0,F,65,15,20,35,63,-1,7,0,2,0.231,0.308,0.538
119,20,CA,Gabriel Bourret,0,0,D,64,5,30,35,136,-6,0,0,1,0.078,0.469,0.547
120,19,CZ,Lukas Sedlak,0,1,F,48,15,19,34,64,1,5,3,1,0.313,0.396,0.708
121,19,CA,Dominic Beauchemin,0,0,F,60,14,20,34,25,19,1,0,3,0.233,0.333,0.567
122,20,CA,Jess Tanguy,0,0,F,31,9,25,34,26,6,4,0,1,0.29,0.806,1.097
123,19,CA,Francois Godin,0,0,D,68,4,30,34,40,-20,1,0,0,0.059,0.441,0.5
124,19,CA,Jean-Francois Plante,0,0,F,54,8,25,33,18,8,1,2,0,0.148,0.463,0.611
125,18,CA,Justin Hache,0,0,D,68,7,26,33,61,-48,4,0,1,0.103,0.382,0.485
126,19,CA,Randy Gazzola,0,0,D,67,7,26,33,20,20,1,1,1,0.104,0.388,0.493
127,17,CA,Matt Murphy,0,0,D,69,2,31,33,36,22,0,0,0,0.029,0.449,0.478
128,17,CA,Jeremy Gregoire,0,0,F,62,19,13,32,100,-9,5,0,0,0.306,0.21,0.516
129,17,CA,Guillaume Gauthier,0,0,F,60,16,16,32,31,6,3,0,2,0.267,0.267,0.533
130,17,CA,Bronson Beaton,0,0,F,68,13,19,32,34,-32,2,1,2,0.191,0.279,0.471
131,18,CA,Samuel Hodhod,0,0,F,54,13,19,32,25,12,3,0,2,0.241,0.352,0.593
132,19,CA,Samuel Noreau,0,0,D,66,7,25,32,64,19,7,0,2,0.106,0.379,0.485
133,19,CA,Jeremy Beaudry,0,0,D,56,18,13,31,26,-16,9,0,3,0.321,0.232,0.554
134,19,CA,Jason Houde,0,0,F,68,16,15,31,51,2,6,4,1,0.235,0.221,0.456
135,19,CA,Erik Robichaud,0,0,F,67,7,24,31,37,10,0,1,1,0.104,0.358,0.463
136,20,CA,Pierre Durepos,0,0,D,43,6,25,31,14,-27,5,0,0,0.14,0.581,0.721
137,19,CA,Sean Girard,0,0,D,61,3,28,31,111,-18,3,0,0,0.049,0.459,0.508
138,18,CA,Ryan Penny,0,0,F,66,20,10,30,24,6,3,0,3,0.303,0.152,0.455
139,16,CA,Alexis Pepin,0,0,F,64,18,12,30,78,-9,5,0,3,0.281,0.188,0.469
140,18,CA,Charles-Eric Legare,0,0,F,61,17,13,30,34,-20,2,0,1,0.279,0.213,0.492
141,19,FR,Anthony Verret,0,0,F,51,12,18,30,47,-13,2,0,3,0.235,0.353,0.588
142,19,US,J.C. Campagna,0,0,F,60,18,11,29,30,-37,9,0,2,0.3,0.183,0.483
143,18,CA,Kyle Farrell,0,0,F,39,13,16,29,18,-19,4,1,1,0.333,0.41,0.744
144,19,CA,Simon Tardif-Richard,0,0,F,36,13,16,29,17,0,5,0,0,0.361,0.444,0.806
145,17,CA,Michael Joly,0,0,F,50,11,18,29,25,15,1,2,2,0.22,0.36,0.58
146,16,CA,Daniel Audette,0,0,F,54,10,19,29,65,-31,3,0,1,0.185,0.352,0.537
147,19,CA,Francis Turbide,0,0,D,68,7,22,29,16,15,0,3,0,0.103,0.324,0.426
148,18,US,Stefan Matteau,1,1,F,35,18,10,28,70,19,7,1,2,0.514,0.286,0.8
149,19,CA,Jean-Christophe Laflamme,0,0,F,62,17,11,28,73,-17,2,2,3,0.274,0.177,0.452
150,17,CA,Tommy Veilleux,0,0,F,66,11,17,28,129,-6,3,0,1,0.167,0.258,0.424
151,18,CA,Mathieu Lemay,0,0,F,60,9,19,28,50,-13,1,1,1,0.15,0.317,0.467
152,17,CA,Dylan Labbe,0,0,D,61,7,21,28,57,-40,5,0,0,0.115,0.344,0.459
153,20,CA,Vincent Arseneau,0,0,F,50,16,11,27,106,-16,6,1,2,0.32,0.22,0.54
154,18,CA,Stephen Anderson,0,0,F,63,12,15,27,23,-19,3,0,1,0.19,0.238,0.429
155,18,CA,Ross Johnston,0,1,F,53,12,15,27,96,5,3,0,1,0.226,0.283,0.509
156,16,CA,Nicolas Aube-Kubel,0,0,F,64,10,17,27,26,-4,0,0,2,0.156,0.266,0.422
157,17,CA,Alexandre Ranger,0,0,F,55,15,11,26,45,3,0,2,1,0.273,0.2,0.473
158,18,CA,Alexis Loiseau,0,0,F,62,13,13,26,16,-5,3,1,0,0.21,0.21,0.419
159,19,CA,Steven Mercier,0,0,F,68,9,17,26,13,4,0,2,0,0.132,0.25,0.382
160,18,CA,Raphael Corriveau,0,0,F,63,8,18,26,86,-22,2,0,2,0.127,0.286,0.413
161,18,CA,Jonathan Diaby,0,0,D,67,4,22,26,117,12,2,0,0,0.06,0.328,0.388
162,19,US,Troy Vance,0,0,D,67,4,22,26,57,12,2,0,3,0.06,0.328,0.388
163,20,CA,Jonathan Oligny,0,0,D,67,4,22,26,138,-53,2,0,1,0.06,0.328,0.388
164,18,CA,Kurt Etchegary,0,0,F,31,9,16,25,56,10,2,0,3,0.29,0.516,0.806
165,20,CA,Marc-Antoine Carrier,0,0,D,68,8,17,25,46,13,3,0,2,0.118,0.25,0.368
166,18,CA,Dominic Poulin,0,0,D,67,7,18,25,51,-10,3,0,0,0.104,0.269,0.373
167,19,CA,Danick Emond,0,0,D,66,4,21,25,67,18,0,0,1,0.061,0.318,0.379
168,20,CA,Maxime Villemaire,0,0,F,29,13,11,24,55,-8,6,1,1,0.448,0.379,0.828
169,18,CA,Pierre-Maxime Poudrier,0,0,F,63,11,13,24,12,2,0,2,2,0.175,0.206,0.381
170,18,CA,Simon Tremblay,0,0,F,67,10,14,24,94,-9,1,2,0,0.149,0.209,0.358
171,18,CA,Liam O'Brien,0,1,F,65,10,14,24,164,-12,2,0,1,0.154,0.215,0.369
172,17,CZ,Adam Zboril,0,0,F,57,9,15,24,32,-14,0,0,0,0.158,0.263,0.421
173,19,CA,William Cochrane,0,0,F,61,8,16,24,39,-2,0,0,1,0.131,0.262,0.393
174,18,CA,Dillon Fournier,0,0,D,59,6,18,24,61,8,2,0,0,0.102,0.305,0.407
175,19,CA,James Melindy,0,0,D,67,4,20,24,90,13,2,0,2,0.06,0.299,0.358
176,19,CA,Brendan Duke,0,0,D,54,1,23,24,38,43,0,0,1,0.019,0.426,0.444
177,18,CA,Felix-Antoine Bergeron,0,0,F,63,15,8,23,24,0,2,2,1,0.238,0.127,0.365
178,18,CA,Frederic Bergeron,0,0,F,52,15,8,23,27,-3,3,0,1,0.288,0.154,0.442
179,19,CA,Jean-Francois Leblanc,0,0,F,48,10,13,23,37,-11,4,0,0,0.208,0.271,0.479
180,18,CA,Marcus Hinds,0,0,F,65,9,14,23,10,18,0,0,2,0.138,0.215,0.354
181,18,CA,Thomas Gobeil,0,0,F,64,9,14,23,74,-6,0,0,2,0.141,0.219,0.359
182,19,CA,Bryce Milson,0,0,F,63,9,14,23,36,-31,1,1,1,0.143,0.222,0.365
183,19,CA,Samuel Aquin,0,0,F,45,6,17,23,38,-19,0,0,0,0.133,0.378,0.511
184,19,CA,Trey Lewis,0,0,D,59,5,18,23,71,38,0,0,0,0.085,0.305,0.39
185,18,CA,Mark Tremaine,0,0,F,58,4,19,23,33,2,0,1,2,0.069,0.328,0.397
186,18,CA,Olivier Caouette,0,0,F,68,10,12,22,72,-2,1,2,2,0.147,0.176,0.324
187,17,CA,Simon Desbiens,0,0,F,67,10,12,22,51,-17,0,1,1,0.149,0.179,0.328
188,16,CA,Clark Bishop,0,0,F,58,8,14,22,33,-30,1,0,1,0.138,0.241,0.379
189,20,CA,Gabriel Vermette,0,0,D,67,5,17,22,89,4,3,0,2,0.075,0.254,0.328
190,18,CA,Ryan MacKinnon,0,0,D,66,5,17,22,37,-2,1,0,0,0.076,0.258,0.333
191,17,CA,Ryan Falkenham,0,0,F,45,10,11,21,14,17,1,1,1,0.222,0.244,0.467
192,19,CA,Jonathan Racine,1,1,D,61,8,13,21,138,18,3,0,2,0.131,0.213,0.344
193,19,CA,Olivier Picard,0,0,D,61,3,18,21,43,18,0,0,0,0.049,0.295,0.344
194,16,CA,Joey Ratelle,0,0,F,63,7,13,20,63,-5,3,0,0,0.111,0.206,0.317
195,19,CA,Alexandre Roy,0,0,F,51,6,14,20,74,-12,1,0,1,0.118,0.275,0.392
196,17,CA,Maxime Gravel,0,0,D,48,4,16,20,42,-2,1,0,3,0.083,0.333,0.417
197,16,CA,Carl Neill,0,0,D,61,3,17,20,30,-19,1,0,0,0.049,0.279,0.328
198,18,CA,Alec-Jon Banville,0,0,F,63,11,8,19,94,-18,3,0,4,0.175,0.127,0.302
199,18,CA,Adam Stevens,0,0,F,59,8,11,19,10,-3,0,0,1,0.136,0.186,0.322
200,17,CA,Oliver Cooper,0,0,F,67,7,12,19,118,-16,1,0,2,0.104,0.179,0.284
201,18,CA,Dominic Talbot-Tassi,0,0,D,65,5,14,19,22,-20,1,0,0,0.077,0.215,0.292
202,19,CA,Mikael Langlois,0,0,D,55,4,15,19,62,-5,0,0,0,0.073,0.273,0.345
203,18,CA,Julien Lepage,0,0,D,59,3,16,19,14,2,1,0,1,0.051,0.271,0.322
204,19,CA,Alexandre Chenevert,0,0,D,66,1,18,19,74,44,0,0,1,0.015,0.273,0.288
205,18,CA,Michael Rheaume,0,0,F,32,10,8,18,8,0,2,0,3,0.313,0.25,0.563
206,18,CA,Matt Bursey,0,0,F,60,7,11,18,48,3,0,1,0,0.117,0.183,0.3
207,16,CA,Francis Perron,0,0,F,57,7,11,18,28,1,1,0,1,0.123,0.193,0.316
208,19,CA,Stephen Woodworth,0,0,D,68,5,13,18,52,-33,0,1,0,0.074,0.191,0.265
209,17,CZ,Jan Kostalek,0,0,D,48,5,13,18,53,17,0,0,0,0.104,0.271,0.375
210,18,CA,Alexandre Grand-Maison,0,0,F,62,4,14,18,148,-21,0,0,0,0.065,0.226,0.29
211,16,CA,Olivier LeBlanc,0,0,D,60,4,14,18,41,-32,2,0,0,0.067,0.233,0.3
212,18,CA,Deric Boudreau,0,0,F,54,4,14,18,31,-9,1,0,0,0.074,0.259,0.333
213,20,CA,Andrew O'Brien,0,0,D,67,2,16,18,113,19,1,0,0,0.03,0.239,0.269
214,17,CA,Noah Zilbert,0,0,F,67,8,9,17,46,-22,1,0,1,0.119,0.134,0.254
215,19,FR,Axel Rioux,0,0,F,59,8,9,17,24,-3,0,1,1,0.136,0.153,0.288
216,17,CA,Marcus Cuomo,0,0,F,63,6,11,17,31,-24,1,0,0,0.095,0.175,0.27
217,16,US,Conor Garland,0,0,F,26,6,11,17,16,-6,2,0,0,0.231,0.423,0.654
218,18,CA,Julien Leduc,0,0,D,46,3,14,17,38,5,1,0,0,0.065,0.304,0.37
219,17,RU,Vladislav Lysenko,0,0,D,66,7,9,16,89,-6,1,0,0,0.106,0.136,0.242
220,18,CA,Redgie Bois,0,0,D,65,6,10,16,89,4,0,0,1,0.092,0.154,0.246
221,18,CA,Brandon Lesway,0,0,F,53,6,10,16,13,-12,2,0,0,0.113,0.189,0.302
222,19,US,Frank Schumacher,0,0,D,26,6,10,16,28,-4,4,0,2,0.231,0.385,0.615
223,19,CA,Thierry Comtois,0,0,F,67,5,11,16,54,-10,0,1,0,0.075,0.164,0.239
224,17,CA,Samuel Morin,0,0,D,46,4,12,16,117,10,2,0,1,0.087,0.261,0.348
225,17,CA,Ryan Graves,0,0,D,68,3,13,16,90,7,0,0,1,0.044,0.191,0.235
226,19,CA,Guillaume Cloutier,0,0,D,48,3,13,16,28,-13,0,1,0,0.063,0.271,0.333
227,19,CA,Jack Nevins,0,0,F,51,8,7,15,103,-8,0,0,2,0.157,0.137,0.294
228,18,CA,Olivier Knight-Rouleau,0,0,F,38,7,8,15,6,-8,2,0,1,0.184,0.211,0.395
229,17,CA,Michael Lyle,0,0,F,61,4,11,15,10,-10,0,0,0,0.066,0.18,0.246
230,18,CA,Deverick Ottereyes,0,0,F,60,4,11,15,28,-1,0,0,0,0.067,0.183,0.25
231,20,CA,Casey Babineau,0,0,D,60,4,11,15,22,0,0,0,1,0.067,0.183,0.25
232,19,CA,Mitchell Deruelle,0,0,F,30,4,11,15,11,0,0,0,0,0.133,0.367,0.5
233,19,CA,Aiden Kelly,0,0,F,51,3,12,15,21,-16,0,1,0,0.059,0.235,0.294
234,19,CA,Francis Lambert-Lemay,0,0,D,68,1,14,15,79,3,0,0,0,0.015,0.206,0.221
235,17,CA,Jean-Simon Deslauriers,0,0,D,42,1,14,15,29,-14,1,0,0,0.024,0.333,0.357
236,20,CA,Yasin Cisse,0,0,F,27,8,6,14,27,3,0,0,0,0.296,0.222,0.519
237,17,CA,Kris Hodge,0,0,F,42,6,8,14,36,-12,3,0,0,0.143,0.19,0.333
238,17,DE,Alexandre Sills,0,0,F,65,5,9,14,32,-12,0,0,0,0.077,0.138,0.215
239,18,CA,Anthony Cortese,0,0,D,60,5,9,14,22,4,0,0,2,0.083,0.15,0.233
240,19,CH,Christian Marti,0,0,D,46,5,9,14,35,25,0,0,3,0.109,0.196,0.304
241,16,CA,Loik Leveille,0,0,D,52,4,10,14,20,2,1,0,0,0.077,0.192,0.269
242,18,CA,Charles-David Beaudoin,0,0,D,68,2,12,14,107,-3,0,0,0,0.029,0.176,0.206
243,18,CA,Jeremie Fraser,0,0,D,65,1,13,14,109,-2,0,0,0,0.015,0.2,0.215
244,19,CA,Olivier Houle,0,0,D,57,1,13,14,71,-3,0,0,0,0.018,0.228,0.246
245,16,CA,Julien Bahl,0,0,D,62,0,14,14,30,20,0,0,0,0,0.226,0.226
246,17,CA,Mason Gray,0,0,F,52,9,4,13,47,-7,0,0,1,0.173,0.077,0.25
247,18,CA,Brent Turnbull,0,0,F,63,8,5,13,61,-18,1,0,1,0.127,0.079,0.206
248,18,CA,Luke St. Amand,0,0,F,30,7,6,13,9,7,0,1,2,0.233,0.2,0.433
249,17,CA,Charles Guevremont,0,0,F,66,6,7,13,17,-14,1,3,1,0.091,0.106,0.197
250,18,CA,Michael Abbott,0,0,D,52,5,8,13,10,-22,2,0,0,0.096,0.154,0.25
251,17,CA,Yan-Pavel Laplante,0,0,F,18,5,8,13,12,11,0,0,1,0.278,0.444,0.722
252,18,CA,Austyn Hardie,0,0,D,67,1,12,13,55,33,0,1,0,0.015,0.179,0.194
253,18,CA,Stephen Midensky,0,0,D,58,1,12,13,33,-15,0,0,0,0.017,0.207,0.224
254,19,CA,Philippe Archambault,0,0,D,54,0,13,13,58,-6,0,0,0,0,0.241,0.241
255,18,CA,Gabriel Gagnon,0,0,F,44,8,4,12,52,-7,4,0,1,0.182,0.091,0.273
256,17,CA,Alexandre Gosselin,0,0,D,64,6,6,12,40,-12,2,0,1,0.094,0.094,0.188
257,16,CA,Vincent Deslauriers,0,0,F,55,6,6,12,8,-12,0,0,1,0.109,0.109,0.218
258,19,CA,Gabriel Verpaelst,0,0,D,63,5,7,12,115,14,1,1,0,0.079,0.111,0.19
259,19,CA,Brett Hester,0,0,F,53,5,7,12,95,-6,0,1,2,0.094,0.132,0.226
260,16,CA,Jeremy Auger,0,0,F,68,4,8,12,23,-10,1,1,0,0.059,0.118,0.176
261,16,CA,Nathan Yetman,0,0,F,52,4,8,12,6,-1,0,1,0,0.077,0.154,0.231
262,19,CA,Lucas Grundy,0,0,D,42,4,8,12,99,-2,0,0,1,0.095,0.19,0.286
