rank,age,nationality,name,NHL/NextYear,NHL/Ever,pos,GP,G,A,P,PIM,plusMinus,PPG,SHG,GWG,GGP,AGP,PGP
331,18,CA,Jack Kilgour,0,0,F,42,3,3,6,52,-13,0,0,0,0.071,0.071,0.143
332,17,CA,Pierre-Olivier Demers,0,0,D,37,3,3,6,41,-3,1,0,0,0.081,0.081,0.162
333,18,CA,Andrew Cordssen-David,0,0,D,34,3,3,6,19,2,0,0,0,0.088,0.088,0.176
334,17,CA,Yan Dion,0,0,F,48,2,4,6,8,3,0,0,1,0.042,0.083,0.125
335,18,CA,Cole Reginato,0,0,F,48,2,4,6,59,-5,1,0,0,0.042,0.083,0.125
336,17,CA,Ryan Mooney,0,0,D,36,2,4,6,13,6,0,0,1,0.056,0.111,0.167
337,17,CA,Charles-Olivier Ouimet,0,0,F,35,2,4,6,2,1,0,0,0,0.057,0.114,0.171
338,19,CA,Guillaume Archambault,0,0,F,33,2,4,6,4,-6,0,0,0,0.061,0.121,0.182
339,18,CA,Guillaume Bergeron-Charron,0,0,F,26,4,1,5,15,1,0,1,0,0.154,0.038,0.192
340,17,CA,Lucas Thierus,0,0,F,23,4,1,5,0,-4,0,0,1,0.174,0.043,0.217
341,16,CA,Anthony Poulin,0,0,F,20,4,1,5,8,-4,2,0,0,0.2,0.05,0.25
342,16,CA,Alex-Olivier Voyer,0,0,F,38,3,2,5,46,-9,1,0,1,0.079,0.053,0.132
343,16,CA,Anthony Gagnon,0,0,F,29,3,2,5,6,-4,1,0,0,0.103,0.069,0.172
344,16,CA,Cole Rafuse,0,0,F,54,2,3,5,10,-5,0,0,0,0.037,0.056,0.093
345,20,CA,Adam Bateman,0,0,D,29,2,3,5,22,7,0,0,0,0.069,0.103,0.172
346,16,CA,Jason Imbeault,0,0,F,58,1,4,5,10,-3,0,0,0,0.017,0.069,0.086
347,17,CA,Morgan Nauss,0,0,D,48,1,4,5,38,-16,0,0,0,0.021,0.083,0.104
348,16,CA,Christian Huntley,0,0,D,47,1,4,5,16,-14,1,0,0,0.021,0.085,0.106
349,18,CA,Samuel Blier,0,0,F,41,1,4,5,28,-7,0,0,0,0.024,0.098,0.122
350,18,CA,Alexandre Dufour,0,0,F,40,1,4,5,2,-25,1,0,0,0.025,0.1,0.125
351,18,CA,Pascal Aquin,0,0,F,35,1,4,5,27,-8,0,0,0,0.029,0.114,0.143
352,20,CA,Quinn O'Brien,0,0,F,31,4,0,4,76,-8,0,1,0,0.129,0,0.129
353,17,CA,William Leblanc,0,0,F,23,2,2,4,0,-2,0,0,0,0.087,0.087,0.174
354,18,CA,Simon Chevrier,0,0,F,12,2,2,4,32,-9,0,0,0,0.167,0.167,0.333
355,16,CA,Yan Aucoin,0,0,D,59,1,3,4,63,-31,0,0,0,0.017,0.051,0.068
356,16,CA,Jeremy Groleau,0,0,D,42,1,3,4,8,2,0,0,0,0.024,0.071,0.095
357,16,CA,Alexander Krief-Fleming,0,0,D,41,1,3,4,14,0,1,0,0,0.024,0.073,0.098
358,17,CA,Tyler Higgins,0,0,D,39,1,3,4,20,8,0,0,0,0.026,0.077,0.103
359,18,CA,Vincent Chapleau,0,0,F,29,1,3,4,0,-12,0,0,0,0.034,0.103,0.138
360,18,CA,Jacob Garon-Landry,0,0,D,27,1,3,4,29,-12,0,0,0,0.037,0.111,0.148
361,19,CA,Alexander McQuaid,0,0,D,23,1,3,4,37,-4,0,0,0,0.043,0.13,0.174
362,18,CA,Mark Bzowey,0,0,F,19,1,3,4,29,-1,0,0,0,0.053,0.158,0.211
363,16,CA,Felix Meunier,0,0,F,7,1,3,4,2,1,1,0,0,0.143,0.429,0.571
364,17,CA,Logan Johnston,0,0,F,59,0,4,4,4,-2,0,0,0,0,0.068,0.068
365,18,CA,Etienne Montpetit,0,0,G,56,0,4,4,0,,0,0,0,0,0.071,0.071
366,18,CA,Jonathan Legault,0,0,D,53,0,4,4,39,2,0,0,0,0,0.075,0.075
367,17,CA,Guillaume Beck,0,0,D,37,0,4,4,19,3,0,0,0,0,0.108,0.108
368,16,CA,Simon Lefebvre,0,0,F,28,0,4,4,17,-1,0,0,0,0,0.143,0.143
369,19,CA,Ryan Chiasson,0,0,F,12,3,0,3,4,1,0,0,1,0.25,0,0.25
370,16,CA,Mikael Robidoux,0,0,F,34,2,1,3,22,-3,0,0,0,0.059,0.029,0.088
371,17,CA,Jeremy Way-Gagnon,0,0,F,32,2,1,3,2,-7,0,0,1,0.063,0.031,0.094
372,18,CA,Ryan McReynolds,0,0,F,24,2,1,3,6,-1,0,0,0,0.083,0.042,0.125
373,17,CA,Daven Castonguay,0,0,D,23,2,1,3,11,-8,0,0,0,0.087,0.043,0.13
374,20,CA,Quintin Lisoway,0,0,F,20,2,1,3,6,-4,0,0,0,0.1,0.05,0.15
375,17,CA,Johnny Foley,0,0,F,14,2,1,3,4,0,0,0,0,0.143,0.071,0.214
376,17,CA,Simon Benoit,0,0,D,55,1,2,3,22,1,0,0,1,0.018,0.036,0.055
377,17,CA,Francis Thibeault,0,0,D,49,1,2,3,12,-8,0,0,0,0.02,0.041,0.061
378,17,CA,Dominik Blain-Dupuis,0,0,F,34,1,2,3,41,-10,0,0,0,0.029,0.059,0.088
379,16,CA,Samuel Gaumond,0,0,F,30,1,2,3,25,-17,0,0,0,0.033,0.067,0.1
380,17,CA,Adam Cheezo,0,0,F,28,1,2,3,6,3,0,0,0,0.036,0.071,0.107
381,17,CA,Charles-Louis Lemay,0,0,F,26,1,2,3,12,-5,0,0,0,0.038,0.077,0.115
382,18,CA,Eric Theander,0,0,F,23,1,2,3,2,-8,0,0,0,0.043,0.087,0.13
383,19,CA,Lee Dower,0,0,D,15,1,2,3,9,11,0,0,0,0.067,0.133,0.2
384,20,CA,Charles Guevremont,0,0,F,6,1,2,3,4,-5,1,0,0,0.167,0.333,0.5
385,17,CA,Simon Lafrance,0,0,F,3,1,2,3,0,2,0,0,0,0.333,0.667,1
386,20,CA,Alexandre Belanger,0,0,G,57,0,3,3,0,,0,0,0,0,0.053,0.053
387,20,CA,Louis-Philippe Guindon,0,0,G,57,0,3,3,4,,0,0,0,0,0.053,0.053
388,17,CA,Marcus Tesink,0,0,D,51,0,3,3,12,2,0,0,0,0,0.059,0.059
