rank,age,nationality,name,pos,GP,G,A,P,PIM,plusMinus,PPG,SHG,GWG,GGP,AGP,PGP
303,18,CA,Andrew Abou-Assaly,F,34,2,7,9,10,3,0,0,0,0.059,0.206,0.265
304,19,CA,Gabryel Paquin-Boudreau,F,7,2,7,9,6,4,1,0,0,0.286,1,1.286
305,17,CA,Charlie Roy,D,54,1,8,9,22,6,1,0,0,0.019,0.148,0.167
306,18,CA,Jack Van Boekel,D,48,0,9,9,118,0,0,0,0,0,0.188,0.188
307,20,US,Cameron Yarwood,D,16,0,9,9,10,-2,0,0,0,0,0.563,0.563
308,16,CA,Brett Crossley,F,58,6,2,8,16,-8,2,1,0,0.103,0.034,0.138
309,17,CA,Jamie Clavet,F,56,6,2,8,6,1,0,0,1,0.107,0.036,0.143
310,19,CA,Reid Halabi,F,57,3,5,8,181,-7,0,0,0,0.053,0.088,0.14
311,19,CA,Braydon Blight,D,37,3,5,8,53,9,1,0,0,0.081,0.135,0.216
312,17,CA,Philippe Myers,D,60,2,6,8,55,-14,1,1,0,0.033,0.1,0.133
313,18,CA,Nathan Medeiros,F,39,2,6,8,10,-5,0,0,0,0.051,0.154,0.205
314,16,CA,Benjamin Gagne,D,59,1,7,8,36,-8,0,0,0,0.017,0.119,0.136
315,18,CA,Maxime Chevalier,D,33,1,7,8,19,-18,1,0,0,0.03,0.212,0.242
316,17,CA,Skylar Strumas,D,65,0,8,8,56,3,0,0,0,0,0.123,0.123
317,18,CA,Kevin Laliberte,D,64,0,8,8,41,-21,0,0,0,0,0.125,0.125
318,19,CA,Mathieu Leclerc,D,39,0,8,8,12,-7,0,0,0,0,0.205,0.205
319,18,CA,Yannick Turcotte,F,61,3,4,7,135,-6,0,0,0,0.049,0.066,0.115
320,18,CA,Guillaume Archambault,F,51,3,4,7,12,8,0,0,0,0.059,0.078,0.137
321,17,CA,Jean-Sebastien Taillefer,D,65,1,6,7,72,-12,0,0,0,0.015,0.092,0.108
322,17,CA,Will Thompson,D,58,1,6,7,38,-14,1,0,0,0.017,0.103,0.121
323,16,CA,Gabriel Sylvestre,D,56,1,6,7,69,13,0,0,0,0.018,0.107,0.125
324,18,CA,Jonathon Masters,D,25,1,6,7,26,12,0,0,0,0.04,0.24,0.28
325,17,CA,Mikael Sabourin,D,63,0,7,7,99,-12,0,0,0,0,0.111,0.111
326,16,CA,Jeremie Beaudin,D,55,5,1,6,0,1,0,0,0,0.091,0.018,0.109
327,16,CA,Alexander Katerinakis,F,44,3,3,6,26,-8,0,1,1,0.068,0.068,0.136
328,17,CA,Alex Breton,D,40,3,3,6,8,11,0,0,0,0.075,0.075,0.15
329,17,CA,Campbell Pickard,F,34,3,3,6,30,-9,0,0,0,0.088,0.088,0.176
330,17,CA,David Henley,D,64,2,4,6,123,-17,0,0,1,0.031,0.063,0.094
331,17,CA,Jordan King,F,51,2,4,6,2,-15,0,0,0,0.039,0.078,0.118
332,16,CA,Gabriel Bilodeau,D,31,2,4,6,22,2,1,0,0,0.065,0.129,0.194
333,18,RU,Nikita Lyamkin,D,27,2,4,6,10,-15,0,0,1,0.074,0.148,0.222
334,17,CA,Bailey Webster,D,54,1,5,6,61,-7,0,0,0,0.019,0.093,0.111
335,17,CA,Samuel Hunter,D,25,1,5,6,30,0,0,0,1,0.04,0.2,0.24
336,17,CA,Tobie Paquette-Bisson,D,42,0,6,6,14,4,0,0,0,0,0.143,0.143
337,16,CA,Olivier Garneau,F,51,3,2,5,14,-12,0,0,2,0.059,0.039,0.098
338,17,CA,Justin Doucet,F,61,2,3,5,124,-19,0,0,1,0.033,0.049,0.082
339,18,CA,Evan Scott,D,49,2,3,5,84,4,0,0,0,0.041,0.061,0.102
340,20,CA,Francois Brassard,G,46,2,3,5,4,,0,0,0,0.043,0.065,0.109
341,19,CA,Brandon Vuic,F,46,2,3,5,103,-8,0,0,0,0.043,0.065,0.109
342,17,CA,Vincent Lavoie,F,31,2,3,5,8,0,0,0,0,0.065,0.097,0.161
343,18,CA,Justin Samson,F,27,2,3,5,6,-1,0,0,1,0.074,0.111,0.185
344,17,CA,Samuel Hould,D,24,2,3,5,17,7,0,0,0,0.083,0.125,0.208
345,19,CA,Anthony Beaulieu,D,60,1,4,5,67,4,0,0,0,0.017,0.067,0.083
346,18,CA,Martin-Olivier Cardinal,F,55,1,4,5,31,-16,0,0,0,0.018,0.073,0.091
347,19,CA,Alexandre Coulombe,D,52,1,4,5,32,-7,0,0,0,0.019,0.077,0.096
348,16,CA,Matthew Green,F,44,1,4,5,12,-3,0,0,0,0.023,0.091,0.114
349,18,CA,Aaron Dutra,D,38,1,4,5,26,22,0,0,0,0.026,0.105,0.132
350,19,CA,Zachary Taylor,D,19,1,4,5,6,10,0,0,0,0.053,0.211,0.263
351,18,CA,Nicolas Latulippe,D,68,0,5,5,61,-8,0,0,0,0,0.074,0.074
352,20,DE,Marvin Cüpper,G,59,0,5,5,2,,0,0,0,0,0.085,0.085
353,17,CA,Callum Booth,G,41,0,5,5,2,,0,0,0,0,0.122,0.122
354,16,CA,Elijah Francis,D,29,0,5,5,29,-22,0,0,0,0,0.172,0.172
355,19,CA,Francis Robichaud,D,25,0,5,5,21,-4,0,0,0,0,0.2,0.2
356,20,CA,Julien Leduc,D,17,0,5,5,18,3,0,0,0,0,0.294,0.294
357,19,CA,Matthew Nosella,D,62,3,1,4,23,4,1,0,0,0.048,0.016,0.065
358,18,CA,Colin MacSween,F,46,3,1,4,33,-5,0,0,0,0.065,0.022,0.087
359,19,CA,Owen Bennington,F,66,2,2,4,75,-16,0,0,0,0.03,0.03,0.061
360,18,CA,Julien Proulx,F,45,1,3,4,77,-3,0,0,0,0.022,0.067,0.089
361,18,CA,Marc-Antoine Germain,F,44,1,3,4,10,-1,0,0,0,0.023,0.068,0.091
