"id";"PlayerName";"DraftAge";"country_group";"Height";"Weight";"Position";"DraftYear";"Overall";"CSS_rank";"rs_GP";"rs_G";"rs_A";"rs_P";"rs_PIM";"rs_PlusMinus";"po_GP";"po_G";"po_A";"po_P";"po_PIM";"po_PlusMinus";"sum_7yr_GP";"GP_greater_than_0";"sum_wk_xk";"class_0_prob";"LeafNode"
"12795";"Preston Mizzi";"19";"CAN";"71";"192";"C";"1999";"123";"94";"67";"29";"29";"58";"74";"15";"5";"2";"3";"5";"15";"-3";"0";"no";"12.107517000000001";"0.000005517848611913611";"1"
"12834";"Justin Cox";"18";"CAN";"72";"185";"C";"1999";"184";"192";"72";"9";"13";"22";"51";"-10";"7";"1";"0";"1";"13";"-4";"0";"no";"13.189588000000002";"0.000001869966821125962";"1"
"13243";"Jake Riddle";"18";"USA";"73";"212";"L";"2001";"239";"97";"67";"13";"20";"33";"109";"-3";"6";"0";"2";"2";"2";"-1";"0";"no";"11.774392";"0.000007699157126503158";"1"
"13472";"Bill Kinkel";"18";"USA";"77";"238";"L";"2002";"281";"120";"53";"1";"2";"3";"75";"-7";"1";"0";"0";"0";"0";"-2";"0";"no";"11.805146";"0.000007465982913788102";"1"
"14038";"Nikita Korovkin";"19";"EURO";"74";"207";"D";"2002";"192";"44";"72";"4";"23";"27";"103";"33";"1";"0";"0";"0";"2";"-1";"0";"no";"11.916223";"0.0000066810881891835975";"1"
"14409";"Dan Baum";"18";"CAN";"72";"170";"C";"2001";"215";"134";"59";"9";"14";"23";"169";"-15";"6";"1";"2";"3";"27";"-2";"0";"no";"12.934648000000003";"0.0000024129743218210476";"1"
"14953";"Pierre-Olivier Beaulieu";"18";"CAN";"76";"216";"D";"2002";"260";"120";"62";"4";"7";"11";"65";"-2";"9";"0";"0";"0";"6";"-3";"0";"no";"12.418798000000002";"0.000004041874284034852";"1"
"14999";"Brent Gauvreau";"20";"CAN";"75";"198";"C";"2000";"186";"211";"61";"34";"53";"87";"74";"2";"5";"1";"2";"3";"4";"-3";"0";"no";"12.851660000000003";"0.000002621765474827994";"1"
"15108";"Cory Stillman";"18";"CAN";"73";"212";"C";"2001";"101";"19";"68";"29";"27";"56";"39";"16";"4";"2";"0";"2";"0";"-3";"0";"no";"11.525014";"0.000009879744767436736";"1"
"15111";"Chris Heid";"18";"CAN";"73";"205";"D";"2001";"74";"47";"51";"2";"15";"17";"76";"-1";"12";"0";"4";"4";"12";"-1";"0";"no";"11.805389000000002";"0.000007464168913891705";"1"
