id,PlayerName,DraftAge,Country,country_group,Height,Weight,Position,DraftYear,Overall,CSS_rank,rs_GP,rs_G,rs_A,rs_P,rs_PIM,rs_PlusMinus,po_GP,po_G,po_A,po_P,po_PIM,po_PlusMinus,sum_7yr_GP,sum_7yr_TOI,GP_greater_than_0,lmt_prob,LeafNode
11761,"Eric Himelfarb",18,Canada,CAN,69,170,C,2001,171,84,49,31,44,75,48,-1,4,1,7,8,4,-5,0,0,no,0.035173197441475325,1
58429,"Steven Spencer",20,Canada,CAN,75,218,D,2002,266,NULL,65,1,4,5,226,-3,11,0,0,0,36,-2,0,0,no,0.034741127874268134,1
26590,"Thierry Douville",18,Canada,CAN,77,231,D,2001,208,NULL,65,0,4,4,408,-1,11,0,0,0,16,-3,0,0,no,0.03338071616941131,1
15331,"Grant Jacobsen",18,Canada,CAN,75,209,C,2001,270,175,64,10,25,35,40,7,6,0,1,1,4,-1,0,0,no,0.03097039163901433,1
6042,"Eric Johansson",20,Canada,CAN,72,187,C,2002,187,NULL,69,44,59,103,73,8,5,1,2,3,5,-3,0,0,no,0.028483791442447857,1
14953,"Pierre-Olivier Beaulieu",18,Canada,CAN,76,216,D,2002,260,NULL,62,4,7,11,65,-2,9,0,0,0,6,-3,0,0,no,0.027882079228570708,1
20516,"Mikhail Lyubushin",19,Russia,EURO,74,205,D,2002,215,NULL,55,4,7,11,56,-10,3,0,0,0,0,-1,0,0,no,0.026588134456003294,1
14409,"Dan Baum",18,Canada,CAN,72,170,C,2001,215,134,59,9,14,23,169,-15,6,1,2,3,27,-2,0,0,no,0.023462886670912907,1
59120,"Dale Sullivan",18,Canada,CAN,71,170,R,2001,265,133,72,8,14,22,31,-17,5,2,1,3,0,-1,0,0,no,0.02337306584813675,1
22961,"Michal Vondrka",19,"Czech Rep.",EURO,73,190,L,2001,155,NULL,43,10,14,24,39,1,7,0,1,1,0,-6,0,0,no,0.022318144727259195,1
59121,"Peter Reynolds",20,Canada,CAN,74,190,D,2001,274,NULL,60,2,27,29,85,-17,5,0,1,1,7,-2,0,0,no,0.021994120560131076,1
10298,"David Bararuk",19,Canada,CAN,72,174,C,2002,147,NULL,72,33,29,62,31,10,12,3,2,5,0,-4,0,0,no,0.021208975367730303,1
15842,"Marek Tomica",20,"Czech Rep.",EURO,72,181,C,2001,285,NULL,70,7,15,22,22,6,11,0,0,0,0,-2,0,0,no,0.021182322783239532,1
17119,"Jason Kostadine",19,USA,USA,74,185,R,2002,251,NULL,70,8,5,13,295,-10,12,1,0,1,37,-1,0,0,no,0.02102761814067458,1
58285,"Jakub Hulva",18,"Czech Rep.",EURO,73,179,R,2002,108,NULL,46,24,24,48,36,29,6,1,0,1,2,-1,0,0,no,0.01904887654978277,1
