id,PlayerName,DraftAge,country_group,Height,Weight,Position,DraftYear,Overall,CSS_rank,rs_GP,rs_G,rs_A,rs_P,rs_PIM,rs_PlusMinus,po_GP,po_G,po_A,po_P,po_PIM,po_PlusMinus,sum_7yr_GP,GP_greater_than_0,sum_wk_xk,class_0_prob,LeafNode
8471718,"Marc-Andre Cliche",18,CAN,72,202,C,2005,56,49,19,4,4,8,8,1,0,0,0,0,0,0,1,yes,-0.11493000000000042,0.5287009146484647,2
8471719,"Matt Kassian",19,CAN,76,240,L,2005,57,103,69,3,3,6,172,-11,6,1,2,3,14,0,28,yes,0.1933950000000016,0.4518013819957716,2
8471746,"Phil Oreskovic",18,CAN,76,217,D,2005,82,136,61,1,6,7,147,12,6,0,0,0,4,-4,10,yes,0.9732100000000001,0.2742411436915136,2
8471748,"Mark Fraser",19,CAN,76,220,D,2005,84,50,58,0,8,8,96,3,15,0,3,3,26,-3,98,yes,0.16945500000000063,0.45773733266401423,2
8471807,"Tom Wandell",18,EURO,73,200,C,2005,146,250,5,1,2,3,4,0,0,0,0,0,0,0,211,yes,2.4947920000000003,0.07622408761443895,2
8473560,"Korbinian Holzer",18,EURO,75,215,D,2006,111,236,48,4,4,8,100,0,0,0,0,0,0,0,24,yes,2.179749,0.10158383301097706,2
8473562,"John McCarthy",20,USA,73,195,C,2006,202,236,33,2,2,4,12,0,0,0,0,0,0,0,51,yes,1.9423170000000003,0.1253935305096953,2
8474000,"Steven Kampfer",19,USA,71,192,D,2007,93,210,35,1,3,4,24,0,0,0,0,0,0,0,61,yes,2.150821000000001,0.10425452869123865,2
8474048,"Keith Aulie",18,CAN,78,222,D,2007,116,108,66,1,8,9,82,3,11,0,2,2,14,0,136,yes,1.1714920000000002,0.2365854041502007,2
8474061,"Anthony Peluso",18,CAN,75,235,R,2007,160,183,52,7,3,10,176,-33,0,0,0,0,0,0,58,yes,0.2582490000000005,0.4357941913925408,2
8474139,"Maxime Macenauer",18,CAN,71,188,C,2007,63,210,14,1,3,4,10,-2,0,0,0,0,0,0,29,yes,1.6162160000000008,0.16572739137528789,2
8474162,"Jake Muzzin",18,CAN,75,216,D,2007,141,210,41,1,6,7,12,0,13,0,4,4,6,0,132,yes,2.0560629999999995,0.11344118094805851,2
8474597,"Cody Goloubef",19,CAN,73,200,D,2008,37,48,40,4,6,10,36,0,0,0,0,0,0,0,53,yes,0.4884969999999998,0.38024769990888646,2
8474662,"Johan Motin",19,EURO,74,220,D,2008,103,13,46,2,7,9,30,0,0,0,0,0,0,0,1,yes,0.12399900000000053,0.469039909394156,2
8474681,"Andrei Loktionov",18,EURO,71,190,C,2008,123,15,5,0,1,1,0,0,1,0,0,0,0,0,155,yes,0.9405570000000005,0.2807878449111259,2
