id,PlayerName,DraftAge,country_group,Height,Weight,Position,DraftYear,Overall,CSS_rank,rs_GP,rs_G,rs_A,rs_P,rs_PIM,rs_PlusMinus,po_GP,po_G,po_A,po_P,po_PIM,po_PlusMinus,sum_7yr_GP,GP_greater_than_0,sum_wk_xk,class_0_prob,LeafNode
9610,"Ondrej Nemec",18,EURO,72,203,D,2002,35,14,87,12,22,34,218,16,8,0,0,0,16,3,0,no,127.46382699999997,4.397069110249557e-56,4
9614,"Jakub Koreis",18,EURO,75,216,C,2002,19,10,73,18,16,34,54,2,0,0,0,0,0,0,0,no,8.084280999999997,0.0003082531180514507,4
9636,"Rene Vydareny",18,EURO,73,214,D,1999,69,12,69,5,13,18,73,6,2,0,0,0,2,0,0,no,9.536881999999997,0.00007213623032588379,4
9638,"Sven Helfenstein",18,EURO,70,176,L,2000,175,15,56,13,13,26,36,2,9,0,1,1,0,0,0,no,10.769321,0.000021034596260278628,4
9640,"Patrik Bartschi",18,EURO,70,196,R,2002,202,30,49,21,17,38,18,2,13,5,4,9,4,0,0,no,7.7134579999999975,0.0004465743410988175,4
10635,"Michal Macho",18,EURO,73,198,C,2000,183,95,12,2,5,7,6,1,0,0,0,0,0,0,0,no,9.866163,0.00005189879944472351,4
10847,"Viktor Hubl",23,EURO,72,179,C,2001,284,176,74,21,32,53,34,23,11,0,2,2,6,2,0,no,84.433687,2.1424744386060647e-37,4
10854,"Libor Ustrnul",18,EURO,78,265,D,2000,42,17,68,0,15,15,208,24,23,0,3,3,29,10,0,no,405.09253800000005,1.1763758125874035e-176,4
11562,"Jekabs Redlihs",20,EURO,74,190,D,2002,119,113,90,12,28,40,69,2,0,0,0,0,0,0,0,no,8.050360000000001,0.0003188853461633222,4
11584,"Luke Fritshaw",18,CAN,76,207,D,2002,173,120,64,0,17,17,69,15,0,0,0,0,0,0,0,no,5.680649999999997,0.003399742672003971,4
11610,"Jared Newman",18,USA,74,198,D,2000,110,55,50,1,15,16,123,11,23,0,5,5,34,9,0,no,363.328881,1.6153694515129781e-158,4
11822,"Kevin Baker",20,CAN,72,192,R,1999,193,192,68,44,37,81,66,32,12,12,5,17,12,14,0,no,561.351705,1.6145522772761107e-244,4
12028,"Dan Cavanaugh",19,USA,74,196,C,1999,38,54,36,6,8,14,60,1,0,0,0,0,0,0,0,no,6.816092000000001,0.0010947958236168474,4
12033,"John Adams",20,USA,74,187,D,2002,82,63,25,0,5,5,20,14,0,0,0,0,0,0,0,no,7.8681470000000004,0.0003825964920551457,4
12044,"Alexandre Rouleau",18,EURO,73,192,D,2001,96,135,70,8,17,25,124,16,21,1,0,1,46,9,0,no,362.6552790000001,3.168206620868456e-158,4
12048,"Lance Monych",18,CAN,74,203,C,2002,97,27,71,18,30,48,96,2,19,4,3,7,20,0,0,no,0.8910999999999963,0.29088287821958564,4
12233,"Dmitri Kazionov",18,EURO,75,205,C,2002,100,35,17,1,2,3,4,1,0,0,0,0,0,0,0,no,10.586621000000001,0.00002525096333013514,4
12308,"Andre Lakos",20,EURO,79,238,D,1999,95,102,68,4,23,27,46,33,12,3,3,6,8,3,0,no,125.27672899999999,3.917489890608464e-55,4
12476,"Dustin Johner",18,CAN,71,179,C,2001,169,128,72,25,31,56,45,5,9,1,5,6,6,0,0,no,2.0366289999999996,0.11541043443610602,4
12550,"Agris Saviels",18,EURO,74,201,D,2000,63,38,75,9,27,36,70,7,0,0,0,0,0,0,0,no,9.506322999999998,0.00007437450294086401,4
12577,"Chris Lyness",18,CAN,74,205,D,1998,229,92,65,2,15,17,100,9,6,0,1,1,12,2,0,no,84.455917,2.095372707263692e-37,4
12636,"Matt Kinch",19,CAN,71,187,D,1999,146,192,68,14,69,83,16,50,21,7,23,30,8,14,0,no,562.071171,7.863067390380047e-245,4
12648,"Thomas Nussli",20,EURO,75,209,L,2002,277,88,42,8,6,14,107,3,0,0,0,0,0,0,0,no,8.677577999999999,0.00017033416928895117,4
12671,"Robin Leblanc",18,CAN,73,198,R,2001,67,92,61,24,38,62,33,16,11,7,8,15,8,5,0,no,202.817015,8.27350529934645e-89,4
12678,"Severin Blindenbacher",18,EURO,71,190,D,2001,273,37,45,5,6,11,45,4,10,0,0,0,14,0,0,no,8.375309999999999,0.00023043529244770765,4
12753,"Scott Cameron",18,CAN,72,187,L,1999,185,42,66,10,32,42,14,23,12,2,2,4,2,4,0,no,166.799629,3.6294560500066045e-73,4
12836,"Sean Curry",19,USA,77,229,D,2001,211,76,72,5,12,17,113,1,0,0,0,0,0,0,0,no,5.151170999999999,0.0057592564284044846,4
12848,"Cliff Loya",19,USA,74,205,D,2000,207,62,31,0,5,5,22,5,0,0,0,0,0,0,0,no,7.309868000000001,0.0006684582064845917,4
13405,"Lane Manson",18,CAN,81,249,D,2002,124,120,67,4,3,7,88,1,12,0,1,1,6,2,0,no,83.200302,7.354750572101388e-37,4
13435,"Michael Jacobsen",18,CAN,73,201,D,1999,134,125,68,5,27,32,33,33,21,0,4,4,10,15,0,no,607.1601129999999,2.059269998686612e-264,4
13641,"Michel Periard",19,CAN,71,185,D,1998,188,92,68,14,30,44,64,10,5,0,0,0,18,0,0,no,2.135759999999998,0.105669414467529,4
13648,"Frantisek Lukes",19,EURO,71,187,R,2001,243,112,61,23,33,56,37,16,18,4,9,13,12,3,0,no,124.642305,7.388133371858698e-55,4
