id,PlayerName,DraftAge,Country,country_group,Height,Weight,Position,DraftYear,Overall,CSS_rank,rs_GP,rs_G,rs_A,rs_P,rs_PIM,rs_PlusMinus,po_GP,po_G,po_A,po_P,po_PIM,po_PlusMinus,sum_7yr_GP,sum_7yr_TOI,GP_greater_than_0
58284,Anton Kadeykin,18,Russia,EURO,75,205,D,2002,51,,41,2,2,4,62,-8,0,0,0,0,0,0,0,0,no
58285,Jakub Hulva,18,Czech Rep.,EURO,73,179,R,2002,108,,46,24,24,48,36,29,6,1,0,1,2,-1,0,0,no
58428,John Toffey,20,USA,USA,75,205,C,2002,287,,24,2,3,5,4,-2,0,0,0,0,0,0,0,0,no
58429,Steven Spencer,20,Canada,CAN,75,218,D,2002,266,,65,1,4,5,226,-3,11,0,0,0,36,-2,0,0,no
58431,Bryan Hamm,18,Canada,CAN,78,247,D,2002,210,,39,1,1,2,127,2,4,0,0,0,2,0,0,0,no
58464,Konstantin Baranov,20,Russia,EURO,71,185,R,2002,126,,31,3,6,9,26,8,3,0,2,2,0,1,0,0,no
58469,Marcus Smith,19,Canada,CAN,73,190,D,2002,249,,65,6,25,31,63,20,4,1,0,1,8,0,0,0,no
58597,Igor Valeyev,20,Russia,EURO,72,223,L,2001,122,,62,17,61,78,175,4,7,0,2,2,24,-2,0,0,no
59113,Brett Scheffelmaier,20,Canada,CAN,77,227,D,2001,190,,62,3,10,13,279,0,0,0,0,0,0,0,0,0,no
59119,Yevgeni Gamalei,19,Russia,EURO,76,198,D,2001,257,,4,0,0,0,0,0,4,0,0,0,4,0,0,0,no
59121,Peter Reynolds,20,Canada,CAN,74,190,D,2001,274,,60,2,27,29,85,-17,5,0,1,1,7,-2,0,0,no
59127,Dmitri Bezrukov,24,Russia,EURO,75,196,R,2001,259,,35,7,10,17,54,0,4,0,2,2,2,0,0,0,no
59303,Derek Krestanovic,19,Canada,CAN,73,176,C,2002,92,,63,15,33,48,93,16,12,7,4,11,16,2,0,0,no
60618,Paul Elliott,18,Canada,CAN,73,216,D,1998,128,,72,11,27,38,47,-44,0,0,0,0,0,0,0,0,no
60620,Morgan Warren,18,Canada,CAN,74,209,R,1998,126,,58,11,10,21,80,0,10,2,2,4,2,0,0,0,no
