@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1-2,8-9,24-25'

@attribute DraftAge_norm numeric
@attribute country_group {EURO,USA,CAN}
@attribute Height_norm numeric
@attribute Weight_norm numeric
@attribute Position {L,D,C,R}
@attribute CSS_rank_norm numeric
@attribute rs_GP_norm numeric
@attribute rs_G_norm numeric
@attribute rs_A_norm numeric
@attribute rs_P_norm numeric
@attribute rs_PIM_norm numeric
@attribute rs_PlusMinus_norm numeric
@attribute po_GP_norm numeric
@attribute po_G_norm numeric
@attribute po_A_norm numeric
@attribute po_P_norm numeric
@attribute po_PIM_norm numeric
@attribute po_PlusMinus_norm numeric
@attribute sum_7yr_GP numeric

@data
0.222222,EURO,0.5625,0.524752,C,?,0.55,0.179487,0.045455,0.101064,0.102041,0.357798,0.448276,0.045455,0,0.021739,0.176471,0.310345,3
0.222222,EURO,0.6875,0.544554,L,?,0.41,0.346154,0.236364,0.281915,0.302721,0.357798,0.241379,0.272727,0.166667,0.23913,0.088235,0.310345,243
0,EURO,0.6875,0.60396,D,?,0.48,0.051282,0.036364,0.042553,0.340136,0.357798,0,0,0,0,0,0.310345,24
0.222222,USA,0.5625,0.405941,C,?,0.33,0.025641,0.018182,0.021277,0.040816,0.357798,0,0,0,0,0,0.310345,51
0.222222,USA,0.4375,0.336634,R,?,0.36,0.076923,0.254545,0.180851,0.108844,0.357798,0,0,0,0,0,0.310345,155
0.111111,EURO,0.6875,0.841584,L,0,0.65,0.24359,0.127273,0.175532,0.136054,0.357798,0.103448,0,0,0,0.029412,0.310345,475
0.111111,CAN,0.6875,0.455446,L,0,0.71,0.384615,0.409091,0.398936,0.404762,0.715596,0.241379,0.045455,0.2,0.152174,0.147059,0.310345,402
0,CAN,0.4375,0.455446,C,0,0.73,1,1,1,0.319728,0.357798,0.62069,0.909091,0.733333,0.913043,0.323529,0.310345,434
0,EURO,0.6875,0.693069,C,0,0.52,0.589744,0.281818,0.409574,0.163265,0.357798,0.448276,0.045455,0.033333,0.043478,0.029412,0.310345,475
0,USA,0.75,0.70297,D,0,0.53,0.25641,0.354545,0.31383,0.391156,0.357798,0,0,0,0,0,0.310345,329
0.111111,EURO,0.5625,0.584158,C,0,0.5,0.128205,0.145455,0.138298,0.102041,0.357798,0.034483,0,0,0,0.029412,0.310345,413
0,EURO,0.6875,0.405941,C,0.004032,0.48,0.115385,0.154545,0.138298,0.173469,0.357798,0,0,0,0,0,0.310345,352
0,CAN,0.6875,0.683168,D,0.004032,0.73,0.269231,0.418182,0.356383,0.391156,0.513761,0.827586,0.136364,0.366667,0.304348,0.411765,0.310345,271
0.111111,CAN,0.6875,0.49505,L,0.004032,0.67,0.371795,0.345455,0.356383,0.346939,0.422018,0.413793,0.272727,0.266667,0.304348,0.294118,0.413793,257
0,EURO,0.875,0.712871,C,0.004032,0.59,0.346154,0.245455,0.287234,0.312925,0.357798,0.275862,0.045455,0.066667,0.065217,0.117647,0.310345,352
0,CAN,0.75,0.653465,C,0.004032,0.68,0.358974,0.363636,0.361702,0.234694,0.504587,0.793103,0.454545,0.233333,0.369565,0.323529,0.551724,479
0,EURO,0.5625,0.39604,R,0.004032,0.51,0.038462,0.081818,0.06383,0.108844,0.357798,0.206897,0.136364,0.3,0.26087,0.088235,0.310345,349
0,EURO,0.5625,0.415842,D,0.008065,0.45,0.038462,0.063636,0.053191,0.170068,0.550459,0.275862,0.045455,0.033333,0.043478,0.117647,0.172414,0
