@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1-2,8-9,23-24'

@attribute DraftAge_norm numeric
@attribute country_group {EURO,CAN,USA}
@attribute Height_norm numeric
@attribute Weight_norm numeric
@attribute Position {D,C,L,R}
@attribute CSS_rank_norm numeric
@attribute rs_GP_norm numeric
@attribute rs_G_norm numeric
@attribute rs_A_norm numeric
@attribute rs_P_norm numeric
@attribute rs_PIM_norm numeric
@attribute rs_PlusMinus_norm numeric
@attribute po_GP_norm numeric
@attribute po_G_norm numeric
@attribute po_A_norm numeric
@attribute po_P_norm numeric
@attribute po_PIM_norm numeric
@attribute po_PlusMinus_norm numeric
@attribute GP_greater_than_0 {no,yes}

@data
0.071429,USA,0.214286,0.192308,L,?,0.577778,0.219178,0.156863,0.202532,0.077244,0.552,0,0,0,0,0,0.375,no
0.071429,CAN,0.285714,0.230769,D,?,0.755556,0.191781,0.294118,0.278481,0.133612,0.632,0.166667,0,0,0,0.15,0.375,no
0,EURO,0.714286,0.567308,D,?,0.622222,0.013699,0.088235,0.063291,0.137787,0.552,0,0,0,0,0,0.375,no
0.142857,USA,0.714286,0.548077,D,?,0.4,0.013699,0.009804,0.012658,0.11691,0.552,0,0,0,0,0,0.375,no
0,USA,0.428571,0.317308,D,?,0.722222,0.136986,0.45098,0.35443,0.152401,0.64,0.433333,0.047619,0.346154,0.217391,0.116667,0.5,no
0.142857,CAN,0.571429,0.355769,C,?,0.677778,0.465753,0.519608,0.550633,0.154489,0.568,0.166667,0.047619,0.076923,0.065217,0.033333,0.25,no
0,CAN,0.357143,0.423077,C,?,0.811111,0.260274,0.333333,0.335443,0.273486,0.32,0,0,0,0,0,0.375,no
0.285714,EURO,0.357143,0.144231,C,?,0.711111,0.219178,0.166667,0.208861,0.037578,0.552,0,0,0,0,0,0.375,no
0,CAN,0.428571,0.25,L,?,0.044444,0.027397,0.009804,0.018987,0,0.56,0,0,0,0,0,0.375,no
0.142857,EURO,0.428571,0.355769,R,?,0.755556,0.452055,0.568627,0.575949,0.029228,0.584,0.766667,0.380952,0.307692,0.347826,0.066667,0.25,no
0,CAN,0.642857,0.423077,D,?,0.755556,0.027397,0.127451,0.094937,0.150313,0.584,0.166667,0,0,0,0.016667,0.333333,no
0,CAN,0.714286,0.634615,C,?,0.622222,0.041096,0.058824,0.056962,0.083507,0.48,0,0,0,0,0,0.375,no
0.142857,CAN,0.642857,0.673077,L,?,0.622222,0.452055,0.323529,0.417722,0.148225,0.832,0.3,0.285714,0.076923,0.173913,0.033333,0.625,no
0,CAN,0.285714,0.317308,C,?,0.533333,0.232877,0.117647,0.183544,0.016701,0.664,0.166667,0.047619,0,0.021739,0.033333,0.291667,no
0.071429,USA,0.5,0.278846,C,?,0.411111,0.465753,0.362745,0.449367,0,0.552,0,0,0,0,0,0.375,no
0.142857,USA,0.357143,0.384615,D,?,0.366667,0.082192,0.166667,0.14557,0.070981,0.552,0,0,0,0,0,0.375,no
0.142857,EURO,0.214286,0.230769,R,?,0.733333,0.739726,0.431373,0.620253,0.108559,0.736,0.633333,0.142857,0.153846,0.152174,0.033333,0.458333,no
0.142857,CAN,0.5,0.509615,D,?,0.522222,0.109589,0.205882,0.183544,0.129436,0.536,0.233333,0.047619,0.076923,0.065217,0.133333,0.416667,no
0.142857,EURO,0.285714,0.105769,C,?,0.533333,0.164384,0.137255,0.164557,0.041754,0.512,0,0,0,0,0,0.375,no
0,CAN,0.571429,0.721154,D,?,0.555556,0.068493,0.107843,0.101266,0.064718,0.568,0.366667,0.095238,0.038462,0.065217,0.033333,0.458333,no
0.071429,EURO,0.357143,0.211538,C,?,0.422222,0.232877,0.068627,0.151899,0.050104,0.632,0.233333,0.238095,0.115385,0.173913,0,0.666667,no
0.214286,EURO,0.357143,0.125,R,?,0.533333,0.150685,0.137255,0.158228,0.05428,0.64,0.266667,0.047619,0.038462,0.043478,0.033333,0.291667,no
0.142857,CAN,0.5,0.336538,D,?,0.777778,0.438356,0.480392,0.512658,0.217119,0.552,0.366667,0.142857,0.269231,0.217391,0.15,0.375,no
0.142857,EURO,0.642857,0.442308,C,?,0.488889,0.136986,0.068627,0.107595,0.083507,0.448,0,0,0,0,0,0.375,no
0.071429,EURO,0.5,0.298077,R,?,0.4,0.136986,0.088235,0.120253,0.029228,0.552,0.266667,0,0,0,0,0.375,no
0.214286,EURO,0.5,0.423077,D,?,0.411111,0.027397,0.088235,0.06962,0.121086,0.552,0,0,0,0,0,0.375,no
0,EURO,0.357143,0.317308,L,?,0.111111,0.027397,0.009804,0.018987,0.004175,0.552,0,0,0,0,0,0.375,no
0.142857,EURO,0.214286,0.336538,C,?,0.488889,0.082192,0.088235,0.094937,0.050104,0.6,0.1,0,0.038462,0.021739,0.033333,0.375,no
0.142857,EURO,0.285714,0.192308,C,?,0.655556,0.684932,0.529412,0.658228,0.091858,0.584,0.1,0.047619,0.115385,0.086957,0.016667,0.375,no
0.071429,EURO,0.571429,0.442308,D,?,0.433333,0.027397,0.088235,0.06962,0.031315,0.552,0,0,0,0,0,0.375,no
0.142857,EURO,0.214286,0.173077,R,?,0.644444,0.328767,0.245098,0.310127,0.206681,0.544,0.133333,0,0.038462,0.021739,0,0.375,no
0.142857,EURO,0.285714,0.403846,D,?,0.555556,0.027397,0.039216,0.037975,0.033403,0.56,0,0,0,0,0,0.375,no
0.071429,EURO,0.714286,0.596154,D,?,0.455556,0.041096,0.04902,0.050633,0.177453,0.504,0,0,0,0,0,0.375,no
0.214286,EURO,0.5,0.403846,L,?,0.533333,0.287671,0.156863,0.234177,0.050104,0.552,0,0,0,0,0,0.375,no
0.142857,EURO,0.428571,0.336538,D,?,0.555556,0,0.058824,0.037975,0.156576,0.6,0,0,0,0,0,0.375,no
0,EURO,0.428571,0.355769,C,?,0.544444,0.273973,0.117647,0.202532,0.087683,0.552,0,0,0,0,0,0.375,no
0.285714,EURO,0.428571,0.403846,C,?,0.477778,0.273973,0.098039,0.189873,0.137787,0.608,0.166667,0.047619,0.038462,0.043478,0.033333,0.375,no
